start,end,text
0,2000," Tutteluttelut!"
2000,9000," Jeg ved ikke, om I faktisk ved det, men jeg har lavet en efterhånden, meget omfattende diamantkollektion."
9000,12000," Og hvad er det, vi siger? Diamants are a girl's best friend."
12000,15000," Nu vil jeg lige vise nogle af mine diamantdesigns."
15000,23000," Man kan se det hele inde på hjemmesiden, og så kan man se det hele i vores butikker, men kun efter aftale med mig."
23000,28000," Og det er kun mig, der viser det frem, fordi det er meget kostbare sager, og kun efter aftale."
28000,37000," Hvis I vil se det hele live, så skal I sende mig en direct message, privat besked, og så finder vi en dag, hvor det passer både dig og mig."
37000,39000," Det er så nært."
39000,46000," Men diamanter er jo mange ting. Vi kender jo alle sammen den her type, som er det omvendte isbjerg."
46000,52000," Det er en klassisk brillant. Nu er det her en ret høj karat. Det er faktisk 5 karat."
52000,57000," Jeg arbejder både med den her type klassiske brillanter, det er jo også rigtig meget på bestilling."
57000,64000," Men jeg arbejder også rigtig meget med det, der hedder single cut, som er den originale slipning, som er det, I ser her."
64000,68000," Det er stadig det her omvendte isbjerg, men det er kun 16 facetter."
68000,75000," Det er en lavere color clarity, og det får et mere rådt look, fordi man også arbejder med det i sølv."
75000,80000," Hvor at brillanter, jamen det arbejder vi altid med i 18 karat guld."
80000,87000," Her, prøv at se inde i midten, det er det, der hedder en princess cut, som er en firkantet slipning."
87000,89000," Er den ikke fantastisk?"
89000,92000," Det her er faktisk ingen ringer i min mors forlov til trin."
92000,95000," Jeg er ked af, at den ikke kan være helt skarp. Den driller mig lidt."
95000,99000," Den er så smuk. Prøv også at se, jeg har lavet også med en stor princess cut."
99000,102000," Nu skal jeg lige finde den. Hvor er den?"
102000,105000," Øh, bum bum. Den er lige her."
105000,113000," Jeg elsker princess cut. Jeg siger altid, at den dag, jeg finder en mand, og den dag, jeg vil giftes dig,"
113000,119000," skal han bare give mig en ordentlig ring med princess cut."
119000,125000," Så laver jeg også rigtig mange smykker på bestilling fra Diamant Kollektion."
125000,130000," Og her kan I se dem, som er her. Her er det med små diamanter i 18 karats guld,"
130000,135000," med brillanter på. Meget smukt sommerfugl."
135000,139000," Priser og alt sådan noget, der må I bare skrive til mig, og så sender jeg dem bagefter."
139000,141000," Jeg kan simpelthen ikke huske det hele i hovedet."
141000,145000," Det her var et af mine første brillantdesigns."
145000,149000," Prøv at se her, når man har den på, så er den høj her."
149000,154000," Meget smuk, synes jeg selv. Meget stolt designer. Yes."
154000,158000," Men altså tilbage til single cut, så er det simpelthen også bare så fantastisk,"
158000,162000," fordi jeg kan lave nogle designs, som ikke koster en bunde gård."
162000,166000," Prøv at se her. 0,35 karat, og så er det en stor hvid topaz i midten."
166000,170000," Det er faktisk et af mine ikoniske designs fra Diamant Kollektion,"
170000,175000," som er med en stor hvid topaz. Det koster omkring 4400."
175000,180000," Min mest populære diamantring overhovedet, det er Treasure."
180000,184000," Som jeg faktisk også har selv. Her kan I se den."
184000,189000," Det er selvfølgelig også mine egen designsringe, og så Stardust, og så Twisted,"
189000,194000," og så en klassisk Infinity Ring, og så selvfølgelig en stor 3 karat, som jeg lavede, da jeg blev 30."
194000,199000," Så når jeg blev 40, ved I godt, hvad jeg også skal have. Jeg sagde også."
199000,204000," Det her er også en af mine meget populære diamantringe."
204000,209000," Den er så i hvid gulv og i rød gulv, og det var altså også mega flot med de to sammen."
212000,216000," Det var lidt af det, jeg ville vise fra Diamant Kollektion. Der er selvfølgelig rigtig meget, jeg kan vise jer."
216000,220000," Ej, jeg skal også næsten lige vise her, hvor jeg har kombineret hvid topaz med single cut,"
220000,224000," så det gør, at det ligner en stor diamant, der er i midten."
224000,231000," Så I kan godt se, at der er rigtig, rigtig, rigtig mange forskellige typer af designs i min Diamant Kollektion."
231000,236000," Her er det også en klassiker, kors med små brillanter på."
236000,240000," Det kan jo altså også noget, fordi det har det her helt enkelt."
240000,246000," Og så kan I også se her, det her er så forskellige Tahiti og Sao Tii perler med en stor diamant."
246000,251000," Og der er nogle øreringe, der Mathia og jeg også har lavet med Sao Tii perler og en lille diamant."
251000,258000," Og når vi nu... Nej, jeg skal lige vise også... Det her er også nogle helt klassiske ørestikkers med diamanter."
258000,262000," Meget flot, ikke? Ja, meget flot."
262000,265000," Jeg skal lige sige... Nej, jeg skal også lige vise dem her."
265000,272000," Jeg kan blive ved altså. Prøv at se her med London Blvv, Topaz og så hvide Topazer og diamanter rundt om."
272000,280000," Den er så flot. London Blvv er jo en dyreblå Topaz, en Swiss Blvv, som er den lyse blå Topaz, som I kender."
280000,284000," Det sidste, jeg lige vil vise, det er nogle af mine meget smukke perlekæder."
284000,287000," Begge er med Sao Tii perler."
287000,293000," Perler er jo et organisk materiale til forskel fra ædersten, der jo er et mineral. Diamanter er et mineral."
293000,297000," Sao Tii perler er så også meget dyre perler."
297000,301000," Prøv lige at se også, hvor smukt det er."
301000,307000," Gule Sao Tii perler. Og her er det så barokke Sao Tii perler, som jo er lidt mere rå."
307000,311000," Der er en, der kommenterer med tørket i hjernen, men det er jo dem, jeg har fra Ortiga Cecilia."
311000,316000," Jeg elsker det også. I Silke Casimir til 1999."
316000,320000," Vil man bestille sådan et, så skriver man også bare en besked til mig."
320000,324000," Så det var lidt af diamanterne, jeg havde lyst til at vise."
324000,331000," Jeg har selvfølgelig også lavet både klassiske ørestikkers, som her, og så klassiske hoops, som her."
331000,334000," Både hvidgul og rødgul og rosegul kan man også få."
334000,339000," Jeg laver rigtig mange diamanter på bestilling, også for lotusringer rigtig meget."
339000,344000," Udover at jeg også har en helt klassisk model i min kollektion, her i hvidgul, men den kan også fås i rødgul."
344000,347000," Men jeg laver rigtig mange diamantsmykker på bestilling."
347000,353000," Så er der noget, du er interesseret i, du drømmer om, så send mig også bare en privat besked, så tager vi den derfra."
353000,360000," Det her er også en klassiker kvadrum med små single cut diamanter og så en stor hvid topaz i midten."
360000,364000," Så det var, hvad jeg havde i gotteposen til jer for i dag."
364000,370000," Men som sagt, vil I se min diamantkollektion live, så må I altid skrive en besked til mig, så finder vi en dag."
370000,372000," Det er kun mig selv, der fremviser den."
372000,380000," Det er en meget kostbar kollektion, men jeg fremviser den meget gerne efter aftale, og det foregår både i København og i Aarhus."
380000,383000," Så send mig en privat besked, og så tager vi den derfra."
383000,386000," Kan I have en rigtig dejlig aften allesammen. Tak fordi I så med."
