start,end,text
0,12000," Tillykke derude! Mit navn er Maja Manike, og jeg har glædet mig så meget til at præsentere min nye kollektion for jer, som har fået navnet Passion."
12000,18000," Og nu er det ikke nogen hemmelighed, at jeg for træk var ude for en meget alvorlig ulykke, hvor jeg fik endnu mindre end 3 rød."
18000,24000," Det er også derfor, at jeg ser rigtig godt ud her, og jeg har også et ben, der er lidt pakket ind."
24000,29000," Og det var egentlig lidt sjovt, fordi før ulykken havde jeg navnhed allerede med kollektion Passion,"
29000,32000," fordi for mig er smykker lige med kærlighed og passion."
32000,37000," Og jeg er nu endnu mere bekræftet i det, også i lyset af den her ulykke, hvor meget vi skal være sigtede i,"
37000,40000," fordi det skal vi satme være sigt, at vi har det."
40000,49000," Kollektionen Passion er bygget op omkring meget, her ser I så de røde nuancer, alt er med 24 grader forgyldt sterlingesøl."
49000,53000," Her er det så med fuchsia calcedon, rød onyx."
53000,57000," Den her blouse er helt fantastisk modellen."
57000,61000," Priserne må I skrive i kommentarer, og så lover jeg at sende jer priserne,"
61000,64000," fordi det hele kan jo også ses på vores hjemmeside."
64000,67000," Jeg kan ikke huske det hovedet, desværre."
67000,70000," Det var så rød granat og fuchsia calcedon."
70000,73000," Prøv også at se den her. Wow!"
73000,76000," Prøv at se her. Ej, den er bare så smuk."
76000,80000," Med fuchsia calcedon, rød agat, rainbow moonstone og hvid topaz."
80000,83000," Mega flot, hvis jeg skal sige det selv."
83000,88000," Det er et nyt design. Det her er en klassiker fra mig, Jim Cluster."
88000,93000," Her er vi så igen med fuchsia calcedon, og det er jo også sindssygt flot til vinter."
93000,96000," Brændte nuancer med de her røde farver."
96000,99000," Meget festligt, meget smukt, meget livsbekræftende."
99000,103000," Her er min bloom modell."
103000,108000," Det, der er så smart med bloom her, det er rød agat, rosa calcedon og granater."
108000,113000," Jeg har lavet den sådan, at man kan bruge den som en ørestik alene."
113000,116000," Det er ret smart, hvis jeg selv skal sige det."
116000,123000," Så er der så det grønne univers her, som er med grøn onyx, krysoprase."
123000,127000," Krysoprase er en meget, meget smuk grøn farve."
127000,130000," Har man grøn onyx, er det bare outstanding."
130000,133000," Og så med guld. Prøv at se, hvor flot det er."
133000,136000," Det er min mor, der filmer i dag."
136000,140000," Hvis der er nogen råber over fyndning, så er det hende, I skal sige det til."
140000,144000," Det her er så også en klassiker med græsis og grøn onyx."
144000,147000," Så har jeg også lavet den nye modell her."
147000,150000," Nu skal jeg lige vise den her."
150000,153000," Med krysoprase, rainbow moonstone og hvid topaz."
153000,156000," Prøv at se, hvor flot det er."
