start,end,text
0,2000," To the love, søde venner!"
2000,8000," I dag skal vi simpelthen snakke om do's and don'ts om store ørerringe og halskæder."
8000,12000," Inden jeg går i gang, vil jeg lige sige velkommen til. Mit navn er Mai Manneke."
12000,16000," Jeg er smykkedesigner, og jeg har haft djur til BH i nu snart 16 år."
16000,18000," Så det er nogle år, jeg har på bagende efterhånden."
18000,23000," Når vi nu snakker ørerringe, så er der rigtig mange, der kommer til mig og siger,"
23000,26000," at jeg overhovedet ikke kan gå med store ørerringe."
26000,29000," Der må jeg bare stoppe, jeg er allerede der, og sige, at det passer ikke."
29000,35000," Det, det bare gælder om, er at finde ud af, hvad er det for nogle store ørerringe, der er flotte til dig."
35000,39000," Det næste folk, de siger, det er, at jeg ikke kan have med store ørerringe,"
39000,42000," fordi jeg kommer til at få sådan nogle tunge ører."
42000,46000," Der stopper jeg af også igen og siger, at nej, det gør du ikke."
46000,51000," Hvis du har fået meget tunge ører, så er det formentlig fordi, du er gået med,"
51000,54000," eller ikke tunge ører, lange ører hedder det, så er det formentlig fordi,"
54000,59000," at du har købt noget, der er bare metal, messing, som altså er tungere."
59000,64000," Jeg går rigtig meget op i, når jeg laver de store ørerringe, at de er relativt lette."
64000,69000," Det vil sige, at de vejer ikke særlig meget, og man får ikke lange ører af dem."
69000,74000," Nu vil jeg så snakke lidt om do's and don'ts omkring store ørerringe,"
74000,78000," halskæder, hvad synes jeg fungerer, hvad synes jeg ikke fungerer."
78000,84000," I kan godt se, at jeg har taget meget kraftigt læbestift på i dag."
84000,89000," Så har jeg stort set ikke nogen øjenmake-up på, og det ved vi godt allesammen,"
89000,95000," hvis man har røde læber eller en kraftig læbestift, så skal vi holde øjenmake-uppen til ikke at være særlig vildt,"
95000,98000," for så bliver det simpelthen too much, hvis man har for meget sammen."
98000,101000," Det er lidt det samme med ørerringe og halskæde."
101000,106000," Nu har jeg så de store, eller relativt store, Constance ørerringe,"
106000,110000," det er nogle af mine favoritter, prøv lige at se, de er så smukke, i rosa guld på."
110000,116000," Så har jeg så valgt at tage en kort halskæde på, fordi det passer proportionelt sammen,"
116000,118000," og det er et lille vedhæng."
118000,121000," Hvis jeg derimod tænkte, at jeg gerne vil have et stort vedhæng på,"
121000,126000," så vil jeg tage kæden på i langt, som her."
126000,131000," Det vil simpelthen blive for komprimeret, hvis jeg havde den på som kort."
131000,134000," Se det, hvordan jeg så lige pludselig kommer til, at jeg ikke har en kort hals,"
134000,136000," men det kommer lige pludselig til at se kort ud."
136000,141000," Det er jo også et rigtig, rigtig godt trick, hvis man har en kort hals,"
141000,144000," så skal man generelt ikke have helt korte halskæder,"
144000,149000," så skal man hellere have en, der hedder 54 cm, eller helt lang, som den her."
149000,154000," Lange halskæder skaber en længde i overkroppen."
154000,156000," Nu har jeg så også løst hår."
156000,160000," Når man har løst hår, så bliver ørerringe mindre festlige,"
160000,163000," det vil sige, at det er nemmere at have store ørerringe på til hverdag,"
