start,end,text
0,8000," Vi er allerede i gang. Jeg troede ikke, der var gået i gang endnu, men så er vi i gang, venner."
8000,11000," Nu skal det handle lidt om, om du er bange for farver."
11000,16000," Der er rigtig mange, der kommer til mig og siger, at de har det bedst i sort."
16000,21000," Jeg har det bedst i sort, og så må jeg bare sige, at jeg godt kan forstå det, fordi det er nemt at gå i sort."
21000,24000," Men det giver ikke rigtig noget glæde."
24000,30000," En måde at spare sort op på, er ved at have lidt farverige smykker på. Det er et rigtig godt udgangspunkt."
30000,37000," Men det næste er også, at man har en svætter på. At man har et eller andet, som har noget farve på."
37000,43000," Nu har jeg f.eks. den her. Det er en meget klassisk, meget enkelt svætter."
43000,47000," Lilla, bordeau-agtig, jeg ved ikke rigtig, hvad man kalder den her farve."
47000,49000," Men den er jo meget kedelig."
49000,51000," Men den er stadig farve."
51000,54000," Jeg har så nogle farverige smykker på."
54000,58000," Nu har jeg startet med at tage de her på i Diamanterne med Fyre-Opal."
58000,61000," For at vise jer, at man kan sagtens have diamantsmykker på til hverdag."
61000,63000," Det er på ingen måde too much."
63000,65000," Som i overhovedet."
65000,67000," Prøv lige at se, hvor godt det ser ud."
67000,70000," Jeg har bare nul make-up på. No nothing."
70000,72000," Kun i en lidt mascara."
72000,74000," Men smykkerne gør bare rigtig meget."
74000,76000," Synes jeg så?"
76000,81000," Det er flot. Nu er den her Fyre-Opal også bare helt out of standing."
81000,83000," Jeg elsker Fyre-Opal."
83000,85000," Det er jo en eddesten, der står for lidenskab og passion."
85000,89000," Så jeg har selv også et par, og jeg havde dem på i byen i lørdags."
89000,92000," Det synes jeg var meget passende."
92000,94000," Men det er også en perfekt gave."
94000,96000," Netop hvis man giver noget, som har opal."
96000,100000," Hvis man skal give det til sin kæreste, eller en man elsker på den ene eller anden måde."
100000,102000," Så er Fyre-Opal."
102000,104000," Det er så faktisk også oktober måneds fødselssten."
104000,108000," Så har I fødselsdag lige om lidt i oktober måned, så er det her også din fødselssten."
108000,110000," Jeg har andet med opal og også armbånd."
110000,114000," Jeg kunne også, og det er faktisk dem, jeg har haft på tidligere i dag."
114000,118000," Havde et balloon øreringe her på med rosakasse då."
118000,120000," Det er en super flot kontrast."
120000,123000," Fordi det er jo ikke kontrast, det er jo det samme univers."
123000,126000," Det her med det pasteller, med det rosa i det lilla."
126000,128000," Mega flot."
128000,132000," Jeg synes nogle gange godt, det kan blive for meget, hvis man har den samme farve på i ørering."
132000,134000," For så bliver det meget ud i et."
134000,138000," Hvor man i stedet tænker, jeg har lige en lille kontrast, men i det samme univers."
138000,140000," Kan I følge mig?"
140000,142000," Hvis I har nogle spørgsmål, så må I endelig sige til undervejs."
142000,146000," Jeg kunne så også have noget på med lilla."
146000,153000," Jeg vil så sige, at den her med det sorte sølv, det gør jo looket lidt mere rot."
153000,155000," Lilla og sort sølv."
155000,157000," Kontra hvis det var her med gulv."
159000,164000," Så kan man se to vidt forskellige looks, men præcis den samme ørering."
164000,168000," Det er så lidt, der skal til, og så stor en forskel det gør."
168000,175000," Prøv at se, hvis nu jeg, det her sorte, synes jeg er helt perfekt at bruge som en hverdags-entiantet i sort sølv."
175000,178000," Med hvide topazer og lille armatys."
178000,180000," Det vil også være rigtig flot."
180000,182000," Nu er det jo ved at være tørklædselsæson."
182000,184000," Eller det er tørklædselsæson."
184000,186000," Og så har vi jo alle de her farver."
186000,189000," Nu har vi så også lige fået dem her i den her farve."
189000,191000," Lys og rød. Nu skal jeg lige vente en rigtig vej."
191000,194000," Sådan der. Prøv at se, hvor flotte de er."
194000,199000," Det gode ved dem er, at de har så mange farver i sig, så man kan virkelig bruge dem til meget."
199000,202000," De koster så 1399."
202000,204000," Prøv at se, hvor flot det ser ud."
204000,206000," Ej, wow."
206000,208000," Virkelig, virkelig flot."
208000,212000," Og altså, så er det tørklædelsen, den spiser jo virkelig også bare sådan et par jeans op."
212000,217000," Jeg kan så rigtig godt lide at bruge tørklæderne på den måde, at man så bare vikler dem rundt her."
217000,219000," Det synes jeg ser rigtig godt ud."
219000,221000," Der er forskellige måder at bruge tørklæder på."
221000,223000," Jeg synes bare, at det her ser mega godt ud."
223000,229000," Og I kan også se, at det er flot med de lille af her, men det havde også været super flot med dem, som jeg havde på til at starte med."
229000,231000," De havde faktisk været rigtig, rigtig flot."
231000,233000," Prøv at se her."
233000,235000," Med de lys og røde. Wow."
235000,238000," Det synes jeg selv er ret pænt."
238000,244000," Jeg kunne også sagtens finde på at tage store ørering på til den her sweater."
244000,247000," For netop at sige, at nu spiser vi den op."
247000,250000," Så er der mange, der siger, at jeg ikke kan have store øring på til hverdag."
250000,255000," Jeg bliver nødt til at minde jer om, at det, det også handler om, det er noget, der foregår op i hovedet."
