start,end,text
0,6000," Tutteløse venner, I tænker, at jeg er lidt kedelig i tøjet."
6000,9000," Ja, jeg er faktisk rigtig kedelig i tøjet lige nu."
9000,17000," Men det er simpelthen fordi, at jeg vil vise jer, hvordan et enkelt tørklæde og de rigtige ørerringe kan gøre rigtig meget for look."
17000,24000," Faktisk skal jeg også lige erkende, at jeg har træningsbukser på, fordi jeg har været ude og svømme."
24000,26000," Så det er egentlig mit træningsræs, jeg har nu."
26000,31000," Men det skal ikke afholde mig fra at stadig kunne pæppe det gevaldigt op."
31000,40000," Og det gør jeg blandt andet med, eller først og fremmest med, et af vores fantastiske tørklæder fra Otige & Cezinia."
40000,42000," Jeg har så her det mørkeblå."
42000,50000," De er alle sammen i det, der hedder silkekasmir, som er 8% kasmir og 92% af det, der hedder modal, som er silkeagtigt."
50000,56000," Det er et naturligt materiale, men det er bedre end silke i forhold til, at det holder rigtig flot på farven."
56000,60000," Og så kryller det i, og det kan vi jo godt lide."
60000,71000," Anyways, det her tørklæde, nu har jeg så taget det her på, der er 70x200, det koster 1499, og så er det mørkeblå."
71000,73000," Man kan få dem i vores butikker og på Maimundu."
73000,76000," Der er jo så forskellige måder at bruge dem på."
76000,80000," Det her er måden, jeg bruger sådan et tørklæde på."
80000,88000," Hvis I spørger min elskede mor, så vil hun sige, at nej, nej, det er sådan et tørklæde, det skal bruges sådan her."
88000,92000," Sådan der."
92000,95000," Det synes jeg er lidt damet."
95000,100000," Men det er jo smag og behage, det er jo det, der er så fantastisk, at vi har forskellige smag."
100000,104000," Men vi kan godt blive enige om, at tørklædet er mega smukt."
104000,111000," Det der så også er ved det her tørklæde, det er, at der er rigtig mange farver i tørklædet."
111000,113000," Så det vil sige, at man kan bruge rigtig mange farver."
113000,116000," Ørering og ændrer udtrykket markant."
116000,127000," Det første, jeg vil vise jer, nu viser jeg primært Majestic, fordi jeg synes Majestic er en absolut amazing model til når vi snakker brug af ørering til tørklædet."
127000,133000," Fordi den sidder på øret, og dem der ikke ved hvad Majestic er, det er den her model."
133000,135000," En af mine klassikere."
135000,140000," Og den første, jeg tager her, det er heller ikke helt tilfældet, at jeg tager med Labradorit."
140000,142000," Den her er så i sølv med Labradorit."
142000,145000," De her Labradoritter er særlig meget tyrkise."
145000,153000," Og I ved jo godt, at hvis der er en Labradorit især, og I synes den er helt fantastisk i ædersten, så skal I slå til."
153000,156000," Fordi de er alle sammen unikke."
156000,158000," Så det vil sige, at den her ser sådan her ud."
158000,161000," Den næste pege, jeg laver, det ser anderledes ud."
161000,164000," Og sådan er det, fordi det er ligesom naturen med Labradoritter."
164000,176000," Den her er som sagt rigtig flot med det blå, men jeg kunne også tage en mere mørkeblå, som er den blå Aventurine, som også vil være super flot."
176000,178000," Som vil være et helt andet look."
178000,182000," Og så er det et guld, som giver lidt mere glød til Aventurinen."
182000,188000," Jeg kunne også gå over i det røde, fordi der også er rødt i tørklædet."
188000,194000," Den her røde Aventurine er mega smuk, men der er også en anden rød ædersten."
194000,197000," For eksempel rød Rubin."
197000,201000," Der er mange, der tænker, at Rubin plejer at være mere rød."
201000,204000," Jamen prøv at høre, der er fem forskellige varianter af Rubiner."
204000,208000," Det her er så det, der hedder den indiske Rubin, fordi den oprinder ud fra Indien."
208000,211000," Den er mere lilla i det, og har sit eget liv."
211000,214000," I kan se, hvordan den har lidt lilla i sig også."
214000,216000," Den er helt fantastisk."
216000,225000," Det er så også en størrelse af Rubiner, hvor hvis det her skulle være den der røde Rubin, I kender fra jeres mormors smykker, så vil den være voldsomt dyr."
225000,227000," Jeg elsker den her røde Rubin."
227000,231000," Den er jo en helt anden rød farve, end for eksempel Aventurinen."
231000,234000," Ej, så pænt."
234000,241000," Jeg kunne også, og nu holder jeg lige den her oppe, mens jeg finder den, jeg ellers tænker, prøv at se her, nu har vi noget helt andet."
241000,243000," GUL! Tænker I."
243000,245000," GUL! Ja, GUL!"
245000,250000," Fordi der er gult i tørklæderne der, og det er det, der er så fedt med de her Ortigia tørklæder."
250000,258000," Der er så mange forskellige farver i dem, at de kan passe til rigtig mange smykker, og virkelig dresse et vært look op."
258000,260000," Det her er gul Månesten."
260000,265000," Den bliver kaldt Månesten, fordi den har ligesom en måneskær."
265000,267000," I kan godt se, at den ikke er gul gul."
267000,273000," En Månesten har sådan lidt en den her måneskin i sig."
273000,275000," Kan man godt kalde det."
275000,276000," Helt fantastisk."
276000,278000," Månesten kommer i mange forskellige varianter."
278000,280000," Holder vi lige den her."
280000,282000," Den sidste, jeg vil lige..."
282000,284000," Den var levende."
284000,286000," To sekunder."
286000,289000," Det gode er, at det er ædersten, så det kan tåle det."
289000,292000," Det her er så hvid topaz, som også er..."
292000,295000," I kan se, at jeg bruger kun meget fine varianter af ædersten."
295000,297000," Alt er håndslæbende."
297000,299000," I kan også se, hvordan den spiller i lyset."
299000,303000," Mega, mega smukt."
303000,305000," Og det ligner jo en stor diamant."
305000,308000," Det er jo en klassiker, så den kan man jo selvfølgelig altid bruge til tørklæder."
308000,313000," Her er den så med gul, fordi jeg synes, at gul også er lidt mere feminin i det."
313000,318000," Den sidste, jeg vil vise, inden I får lov at slippe for i aften,"
318000,320000," det er pyrite."
320000,322000," Nej, det er ikke pyrite, det her."
322000,324000," Det er hæmatit. Vågn op mig!"
324000,326000," Jeg kan også godt nogle gange lige være lidt træt i hovedet."
326000,329000," Det er hæmatit. Prøv lige at se, hvor smukt den er."
329000,331000," Og så med gul kant rundt om."
331000,335000," Det synes jeg faktisk er helt perfekt, fordi gul kanten fanger det gule, der er i."
335000,338000," Og så har vi det sorte til hæmatitten."
338000,343000," Har I nogle spørgsmål til priser eller noget, så må I altid bare skrive til mig."
343000,345000," Jeg elsker, når I skriver til mig."
345000,351000," Så det var altså lidt om forskellige ørerringe til et fantastisk tørrklæde."
351000,354000," De kommer i andre farver og andre størrelser."
354000,359000," De kommer blandt andet i rødt, lyserødt, guld og grøn."
359000,363000," Men I kan se mig alle sammen inde på Maimundu og i vores butikker."
363000,369000," Tak fordi I så med, siddevenner, og kan I have verdens bedste aften."
369000,370520," [Skabt af Trine M. Duhausen, SMK]"
