start,end,text
0,4680," Tutlu derude. Nu skal jeg lige se, om jeg kan finde ud af at vende kameraet sådan her,"
4680,11720," fordi det jeg vil sige her, det er, at jeg vil lige vise jer, hvad vi igen har fået på lager"
11720,17880," fra min ekstremt populære Happy Sommer kollektion, som jeg lavede her i juni,"
17880,21760," som er med et kæmpe kys og kram til livet."
21760,25080," Fordi hvis der er noget, vi har brug for, så er det glæde og få livet tilbage."
25080,28720," Og det var min inspiration, da jeg lavede Happy Sommer kollektion."
28720,33240," Man kan også se det i forhold til, at det er meget farverige smykker."
33240,34680," I love it!"
34680,37520," Men den har været mega populær, Happy Sommer kollektion,"
37520,41320," og derfor har jeg nu fået lidt hjem igen. Kun en af hver."
41320,46600," Så derfor, hvis der er noget, I er interesseret i, så har jeg kun lavet den ene i serien nu."
46600,50880," Så må I skynde jer at sende mig en direct message og sige mig, haps, det er min den der."
50880,51880," Eller kom ind."
51880,54240," Det vi har nu, er i butikken i København."
54240,59000," Den første er Majestic med rosa katador."
59000,60000," Wow!"
60000,63720," Altså, den her rosa farve er simpelthen gudsmuk."
63720,68200," Og hele Happy Sommer kollektion har jeg lavet i 24 karat forgyldt sterningssølv,"
68200,70200," som bliver så varm i det."
70200,75320," De koster er det, nu skal jeg lige se, om jeg kan huske, 3399."
75320,80480," Den har jeg også lavet i Gracies modellen her til 2099."
80480,82360," Gracies er jo simpelthen en klassiker."
82360,87120," Og så har vi her med granat oppe i toppen."
87120,91960," Den er lidt svær at vise på sådan en ring light her, men den er altså lidt rød oppe i toppen."
91960,94640," Meget smuk eddesteen."
94640,96920," Granater er jo sindssygt flotte."
96920,97920," Kan I se?"
97920,98920," Kan I se?"
98920,100920," Ja, der kan I se lidt det røde skær."
100920,106840," De er meget mørkerøde, men mega smukt også, fordi der er lige det røde skær, når man har dem på."
106840,108600," Så er det her helt nyt."
108600,111640," Den har jeg ikke lavet før i Happy Sommer og overhovedet."
111640,113640," Det er Majestic med 10-øje."
113640,115080," Woo!"
115080,116080," Wooo!"
116080,117080," Wooo!"
117080,120480," Ej, hvor er den bare guddommende smuk, altså."
120480,121880," 10-øje er jo ret unikke."
121880,124040," De er forskellige alle sammen."
124040,126720," De her, de koster så 3999."
126720,128200," Wow!"
128200,133200," Jeg synes jo, det er mega fedt, også man til et hverdagslook har store ørering på, og så ikke nogen halskæde."
133200,137920," Og så til sommer kan vi jo godt generelt bruge lidt flere smykker, er det ikke rigtigt?"
137920,142160," Så er der den her også helt ny, der jeg også først lige har lavet."
142160,145640," Lotus med 10-øje."
145640,148320," Og de ligger til 2699."
148320,149320," Meget smukt."
149320,154560," 10-øje er jo en virkelig, virkelig smuk ædesten, der også giver meget varme, og specielt kombineret med guld,"
154560,155720," giver den ekstra meget glød."
155720,158120," Prøv at se, hvor flot det vil være til det, jeg har på nu."
158120,159120," Vum!"
159120,160640," Vum, vum, vum!"
160640,165840," Så har vi også her, nu siger vi, jeg har her Aqua Calcedon."
165840,168880," Den får en virkelig til at tænke på sommer og sol og Hawaii."
168880,169880," Det gør jeg i hvert fald."
169880,171720," Jeg vil ønske, jeg var på Hawaii."
171720,173720," Jeg føler, jeg er en lille smule på Hawaii, når jeg har dem her på."
173720,174720," Yes!"
174720,181000," Så er der her Lotus med Labradorit også."
181000,183040," Prøv lige at se det fantastiske, smukke skær."
183040,187800," Og når vi snakker Labradorit, så skal I skynde jer og se, åh, dem her."
187800,188800," Wow!"
188800,193720," Altså det der jo er med Labradoritterne er, at de er forskellige alle sammen."
193720,196560," Så det par, jeg har her, lavet nu, det er sådan her."
196560,198560," Det næste par er måske mere grønt."
198560,199560," Det næste er mere blåt."
199560,202160," Det her er så lidt mere gråt, blåt."
202160,203160," Prøv at se."
203160,210160," Ej, altså, jeg bliver bare, når jeg ser Labradoritterne, jeg bliver bare sådan lidt, they are crazy."
210160,213840," Tænk, at naturen formår at skabe sådan noget."
213840,215320," Det synes jeg er fantastisk."
215320,218320," Tak til vor herre, siger jeg bare."
218320,220920," Og her har vi så Rainbow Moonstone i Lotus."
220920,224240," Det er lidt sjovt med den her Lotus, fordi jeg har jo lavet den for rigtig mange år siden,"
224240,226600," som er i kollektionen fortsat, en lille modell Lotus."
226600,229600," Så tænkte jeg, ej, det er mega fedt at lave sådan en oversize."
229600,232600," Nå, men så havde jeg designet det, og så fik jeg de første prøver hjem."
232600,235080," Så viste jeg dem til min mor, og jeg var sådan, mor prøv at se, hvor flot de er."
235080,236920," Og hun var sådan, ej, nej, den er da for stor, ikke?"
236920,239680," Nå, vi er ikke altid enige, og det er også meget godt."
239680,244400," Men, så gik der jo ikke længere tid, end at jeg selv lige havde haft dem på en uge."
244400,248760," Og så lige pludselig, hvem sagde jeg, spangulere rundt med et par Lotus?"
248760,249840," Det gjorde min mor."
249840,251880," Am, nu måtte hun sige, de var faktisk rigtig flotte."
251880,254680," Og det er de også, de er mega flotte."
254680,259000," Og det her er så Rainbow Moonstone, som har det blåt i sig."
259000,263640," Så har jeg også lavet nu, og det har jeg faktisk også sæt på her,"
263640,266760," armbåndene her, Adele, med hvid topaz."
266760,270320," Og så mixerer jeg det her med et armbånd med sort onyx, diamanter,"
270320,273320," og et diamanterarmbånd, fordi diamanter gjorde mit fødsen."
273320,276920," Så har jeg også lavet det i sort hematid."
276920,278400," Og det ved I jo godt, at jeg elsker."
278400,280160," Så der er det nyt, at jeg har lavet de..."
280160,283360," Hov, det var begge to sorte hematider, det var ikke det, jeg skulle vise."
283360,285280," Jeg skulle vise det her."
285280,288160," Dem har jeg så to af hver."
288160,291880," Mega flotte, 1799 og 1999."
291880,293760," Så det var nogle af Happy Summer."
293760,297920," De mest populære stege, der er på lager igen, men der er altså kun et par af hver."
297920,300760," Så hvis der er noget, I bare tænker, det skal jeg have det der,"
300760,306080," så er det bare med at slå til nu og sende mig en direct message, så klarer vi det."
306080,309400," I kan betale på mobilepag, og jeg sender i hele Danmark."
309400,313920," Tak fordi I så med, og husk spørgsmål, et eller andet, altid bare skriv til mig."
313920,315240," Vi ses!"
