start,end,text
0,1000," God."
1000,4240," Hej med dig derude. Mit navn er Maj Malikke."
4240,6440," Jeg har smykkefirmaet Djurl CBH."
6440,10720," Er du i tvivl om, hvilke smykker, der klæder lige præcis dig,"
10720,13520," eller en, der måske skal forkendes,"
13520,16360," så er det super nemt at shoppe hos os,"
16360,20000," fordi der er fuld returret og hurtig levering."
20000,24160," Og jeg har en lille gave til alle jer derude."
24160,28120," Det er 20% rabat på jeres første kø."
28120,33720," Og det får du ved at gå ind og shoppe online med rabatkode RABAT20."
33720,38040," Og altså, et smykke, et smukt smykke, et ægte smykke,"
38040,41720," det gør simpelthen bare en verden til en forskel."
41720,43720," Få en god stig."
