start,end,text
0,6640," Toodlede du derude? Så er jeg live og i dag har jeg faktisk lyst til at blære mig lidt,"
6640,10240," men alligevel, fordi jeg vil vise nogle af mine ikoniske designs."
10240,14200," Designs, hvor folk er sådan, \"gud, det er mig, man kan designe det der\","
14200,16200," og hvor det bare gør mig så stolt ind i hjertet."
16200,20000," Det var lidt svært at udvælge, fordi der er rigtig mange af mine designs,"
20000,23000," som heldigvis er meget genkendelige efterhånden,"
23000,25400," også fordi det er mange år siden, jeg har designet dem."
25400,28800," Men jeg bliver bare stolt helt ind i hjertet."
28800,31400," Og dem vil jeg vise jer nu udvalgte af."
31400,35000," Den første er faktisk den, jeg har på, \"Multihoops\","
35000,41400," som er mange små cirkler, men jo i det hele taget en stor dråbe."
41400,44600," Man skal jo passe på med at have bare en lille rund ørering,"
44600,46200," fordi så kan man komme til at se bredt ud,"
46200,50000," men den her, når den ender med at blive en dråbe, så er den bare perfekt."
50000,51600," Nu har jeg den på i rosagulv."
51600,54600," Hvis man til gengæld havde den på i det sorte sølv,"
54600,57200," så ville den blive mere grå."
57200,60800," Så metallet gør også en rigtig stor forskel i forhold til,"
60800,62800," hvad er udtrykket."
62800,66000," Et andet af mine ikoniske designer, som jeg nu starter med at vise,"
66000,67600," er i det sorte sølv, det er \"Queen\"."
67600,73000," Og de vejer bare ingenting og er en mega fed ørering."
73000,74000," Prøv at se her."
74000,75600," Den ser bare så godt ud."
75600,78000," Og den har jeg selvfølgelig også lavet i alle de forskellige metaller."
78000,82800," Den tekstur, som jeg genbruger her også i \"Triple Leaves\","
82800,86200," det er den samme, som jeg også bruger i \"Queen\"."
86200,89000," Det er en helt særlig tekstur, som jeg har udviklet,"
89000,92000," sammen med min produktion, som ingenting vejer."
92000,94800," Og prøv at se den måde, jeg har præget ned i dem,"
94800,97600," hvordan de så spiller, når de er oppe i lyset."
97600,100600," \"Triple Leaves\" kommer også i en mini-model."
100600,105000," Jeg skal lige vise jer den, fordi den er også i sølv."
105000,108400," Det er også en af vores mest populære øreringer."
108400,110600," Jeg tror, det er 749, de ligger til."
110600,113200," Så fedt, mini \"Triple Leaves\"."
113200,115200," Perfekt julegavide også."
115200,119200," Den sidste, jeg lige vil vise, inden jeg går over i nogle af Edderstens designene,"
119200,121200," det er \"Constance\" her."
121200,125200," Det gode ved \"Constance\" er også, at den er lidt slankende,"
125200,128800," fordi den er lang i det, og det er jo rigtig godt i forhold til ansigtet,"
128800,130600," og fremhæver ens kinbæl."
130600,132600," Den har jeg selvfølgelig også lavet i alle fire metaller,"
132600,136200," dvs. sølv, sort sølv, rosa og forgyldt."
136200,138600," En klassiker."
138600,141400," Så går vi lidt over i Edderstens-varianterne,"
141400,144800," og der må jeg fremhæve først min \"Gracious\" model."
144800,148400," Som jeg har lavet i et hav af eddersten."
148400,150800," Det er virkelig en klædelig ørering."
150800,153800," Nu viser jeg den så sjovt nok i broen, \"Røgetopads\","
153800,158800," fordi I kan godt se, hvordan den broende røgetopads går op og siger \"vum\" i mine øjne."
158800,161800," Røgetopads fremhæver broende øjne,"
161800,163800," hvor f.eks. hvis det var noget med en blå eddersten,"
163800,165800," så fremhæver det blå øjne,"
165800,167800," grønt fremhæver det grønne øjne."
167800,171800," Og I kan se også, at nu vil jeg så også bare vise en helt anden,"
171800,173800," som er en af mine egne favoritter fra."
173800,177800," Jeg elsker jo hematit. Prøv at se."
177800,179800," Den er bare super cool."
179800,183800," Sort sølv med hematit er bare altid en vinder."
183800,185800," Meget, meget smuk."
185800,189800," Og det her med, at den er lidt dråbeformet, er også meget klædeligt for ansigten."
189800,191800," Den var lignende."
191800,195800," En lidt mindre model, det er \"Goddess\" modellen her."
195800,198800," Nu viser jeg den så med hvidtopads i sølv,"
198800,200800," så man er sådan lidt mere skandinavisk enkel."
200800,203800," Men den har jeg også lavet i rigtig mange forskellige eddersten,"
203800,206800," og der gælder det jo bare om, at det handler om,"
206800,208800," hvad er det for en eddersten, man ønsker,"
208800,210800," og hvad er det for en udtryk, man ønsker."
210800,212800," Hvidtopads i sølv."
212800,214800," Klassisk og enkel."
214800,219800," Den lille her \"Pure Drop\" er perfekt, når man starter med"
219800,222800," at skulle bruge en ørering, der bare hænger en lille smule."
222800,226800," Nu viser jeg den med labradorit, som er rigtig flot til grønblå øjne i rosagulv."
226800,229800," Men det er en rigtig god ørering, fordi den ikke fylder meget,"
229800,232800," og den bare lige hænger og giver noget op til ansigtet."
232800,235800," Det er den ørering, når jeg starter med at vejlede i forhold til,"
235800,237800," hvis man kun er vant til at bruge ørestikker,"
237800,239800," så er \"Pure Drop\" en rigtig god model,"
239800,243800," fordi den lige har lidt liv i sig og giver mere op til ansigtet,"
243800,246800," end bare en ørestik altså gør."
246800,251800," Den sidste, nej, næst sidste, jeg vil vise fra edderstenskollektionen,"
251800,253800," min klassiker, det er \"Magestic\"."
253800,256800," Ja, og den bruger jeg selv rigtig, rigtig meget."
257800,262800," Den er bare perfekt størrelse, og når man er vant til at bruge store ørering,"
262800,265800," er det super flot til hverdag, også uden en halskæde."
265800,268800," Nu her med labradorit, prøv at se, den er bare så smuk."
268800,271800," Det er også virkelig en af mine klassiske designs."
271800,274800," Den sidste fra edderstenskollektionen, det er \"Enchanted\"."
274800,280800," Det er egentlig \"Pure Drop\" eddersten, som jeg gør lidt mere feminin,"
280800,283800," med små hvide topaz-eddersten rundt om."
283800,286800," Kan I se? Den skal lige fokusere."
287800,292800," Kan I se? Jeg håber, I kan se, som jeg også har lavet i mange forskellige eddersten."
292800,296800," Så viser jeg lige lidt af diamanterne."
296800,302800," \"Superior\" er selvfølgelig den første ring, som rigtig mange har set,"
302800,305800," også efterhånden, hvor jeg har lavet i mange forskellige varianter eddersten i midten."
305800,311800," Og så er det 0,45 karat single-cut-diamanter, der er rundt om."
311800,313800," Jeg elsker den ring."
313800,315800," Jeg elsker den ring."
315800,317800," Man kan bruge den nu. Den er lige lidt for stor til mig her."
317800,319800," Det var lige den, vi havde på lager."
319800,321800," Men den er også mega fed på den her finger."
321800,323800," Den er også mega fed på den her finger."
323800,326800," Altså, det er meget forskelligt. Det kommer øjen på, hvordan hånden er."
326800,329800," Derfor er det så vigtigt, altid med smykker, at man jo prøver det på,"
329800,331800," og ser, hvad er det, der klæder i en."
