start,end,text
0,9000," Jeg er så glad, fordi det her er min første live fra butikken i jeg kan slet ikke huske hvor mange uger."
9000,17000," Det er fem uger siden min ulykke, så det er i hvert fald før det, og jeg er ved at afbløve sindssygt over, at jeg ikke kunne komme ind i butikken."
17000,25000," Men det kan jeg nu, så jeg er tilbage. Jeg vil ikke sige, at jeg er tilbage i fuld krumspring, fordi jeg kan ikke gå så hurtigt endnu, men jeg er tilbage."
25000,31000," Derfor fik jeg også lige lyst til at lave lidt live med min nye kollektion Passion."
31000,39000," Jeg har i dag Mini Majestic på med fuchs og kalsedon. Det er en mega flot farve og superklædelig."
39000,48000," De her ligger til 2399 kr. Nogle spørgsmål, noget I gerne vil se close up af det, jeg viser undervejs, så må I bare skrive eller sende mig en privat besked."
48000,52000," Kommenter herunder eller skriv til mig. Jeg elsker, når I skriver til mig."
52000,58000," Her har vi også noget fra min nye kollektion Passion. Jeg har meget med de her røde nuancer."
58000,61000," Og så har jeg også noget grønt, det viser jeg bagefter."
61000,68000," Med de røde eddesteen bruger jeg bl.a. det, der hedder rød agat og granat oppe i toppen. Prøv at se, hvor flot det er."
68000,78000," Så bruger jeg også meget den, der hedder Iconic Wonder med fuchs og kalsedon, rød agat, rosa kalsedon og hvid topaz."
78000,84000," Det er en meget klædelig ørering, fordi den er lang. Prøv at se, hvor flot den er. Og så passer den med, at den lige går ned til hagen."
84000,86000," Så klædelig ørering."
86000,93000," Så har vi Bloom her med rød agat, granat og rosa kalsedon."
93000,98000," Der er lavet den så smart, at man kan tage bunden af, så det vil sige, at man kun har en ørestik også."
98000,100000," Så det er hele to i en."
100000,106000," Min klassiske design, Divine, her. Husk spørgsmål, skriver I bare til mig."
106000,110000," Her, rød granat, rød agat. Meget flot."
110000,119000," De ligger til 3.099. Det her er også et nyt design med rød granater, gem hoops."
119000,126000," Meget flot og meget klædeligt. Meget, meget enkelt. Og det er jo altså også rigtig pænt nogle gange, at man bare har noget på, der er helt klassisk og helt enkelt."
126000,129000," Lotus med rød agat også."
129000,133000," Så er der måske noget at vise af denne her Amazonit-ædesten."
133000,137000," Amazonit er en sindssygt flot farve. Prøv at se her."
137000,139000," Prøv at se, hvor flot den er."
139000,143000," Den er lidt grøn, turkis, grå. Den er lidt svær at sige præcis, hvad farven er."
143000,146000," Den er bare mega smuk. Og så er den super klædelig."
146000,150000," Her som et hjemmekloster også. Kan I se, hvor flot det er?"
150000,154000," Og her har vi så også, hvor var den henne?"
154000,161000," Vi så Baluen selvfølgelig, men prøv også at se her. Supreme med Labradorit og med Chrysoparas i toppen."
161000,165000," Chrysoparas har sådan lidt mere turkisk grøn. Meget smuk farve."
165000,169000," Nyt, jeg også er begyndt at bruge den, ligesom den også er heroppe."
169000,173000," Turkiser. Turkiser er der jo meget delt af meninger omkring."
173000,178000," Jeg synes, det er mega smukt, når det er kombineret med gulv, fordi det bliver sådan mere varmt i farven."
178000,182000," Så har jeg også det grønne."
183000,188000," Se her. Grøn Onyx har jo sådan lidt det her smaragd look."
188000,192000," Det er ikke en smaragd, men det har lidt det der smaragd look."
192000,194000," Og de kan også have slægt det samme som en smaragd."
194000,199000," Og så er der Chrysopraser, som har den der lyssegrønne nuance."
199000,203000," Det er så flot. Og store øreringer til hverdag er jo rigtig flot."
203000,207000," Hvis man har løst hår, så er det aldrig too much."
207000,211000," Og så ikke nogen halskæder til hverdag. Så er det bare perfekt."
212000,215000," Så er der også blom her fra min nye kollektion."
215000,219000," Laboratoriet, Chrysopras og Turkiser."
219000,222000," Man kan tage bunden af, så man også har alene en ørestik."
222000,225000," Det er jo altså lidt smart med to i en."
225000,228000," Så er den sidste, jeg lige viser jer for i dag."
228000,232000," Det er her med bl.a. det lille Calcedon."
232000,235000," Prøv at se her. Den er så flot, den lille farve her."
235000,238000," Hvis jeg havde det på nu her, ville det jo også være mega smukt."
238000,241000," Kan I se, hvor flot det havde været?"
241000,245000," Også bare til sort. Den er en meget flot lille farve."
245000,248000," Lille Calcedon er den."
248000,251000," Og så er der også klassisk med hvid topaz."
251000,253000," Så det var lidt om min nye kollektion."
253000,256000," I kan jo se den ude i Dækkeborgs butikker."
256000,258000," Blandt andet her på Blandersvagen, hvor jeg er."
258000,260000," Tilbage, det er så dejligt."
260000,262000," Og så kan I selvfølgelig også se den i Aarhus."
262000,265000," Og så husk, smykkerne gør alt for et look."
265000,267000," Prøv at se her. Uden ørerringe."
267000,270000," Det er da pæt og farve i, men ørerringe topper det."
270000,273000," Og så kan smykkerne også ændre markant på et look."
273000,277000," Så lov mig, at I bliver bedre til, når I i morgen tager tøj på og tænker over,"
277000,279000," hvad har jeg på? Hvad skal jeg have på at smykke i dag?"
279000,283000," Fordi ja, du skal have nogle smykker på, fordi det gør alt for dig."
283000,287000," Nogle spørgsmål, et eller andet, skriv altid bare til mig."
287000,290000," Jeg vejleder og guider alt, jeg elsker, når I skriver til mig."
290000,293000," Tak, fordi I så med og ha' verdens bedste dag."
293000,295420," - så du ikke bare længer det."
