start,end,text
0,2400," Kærlighed er passion, obsession."
2400,5400," Nogen man kan handle uden."
5400,7400," Jeg siger, fald over Hughes."
7400,11000," Få nogen du kan kære, som er gal og vil kære dig samme vej tilbage."
11000,14400," For det er sant, der er ingen måske, at du lever dit liv uden det."
14400,17400," At gøre rejsen, og ikke falde dybt i kærlighed."
17400,21400," Nu, du har ikke levet en liv på alt."
21400,24000," Men du må prøve."
24000,27400," For hvis du ikke har prøvet, så har du ikke levet."
27400,29400," It's Been A Long Time - Please Subscribe to MyS stubbornboy"
