start,end,text
0,2000," Tillykke med det."
2000,4000," Det er helt rigtigt, hvad I lige læste."
4000,8000," Jeg har skrevet som overskrift, nemlig, at jeg må ikke bruge øreringen."
8000,10000," Så i dag er der fokus på halskæder."
10000,12000," Og hvorfor må jeg så ikke bruge ørering?"
12000,18000," På grund af noget, der er helt genialt, og som rigtig mange kvinder kunne få glæde af."
18000,22000," Nemlig, at jeg har fået filler i dag i mine øreflipper."
22000,26000," Og det vil sige, at øret er blevet puffet op og fyldt ud."
26000,31000," Og jeg havde, specielt i det venstre øre af det, så havde jeg fået et langt hul."
31000,34000," Og det var helt tilbage fra, da jeg var lille og blev hævet i øret."
34000,36000," Så jeg har egentlig haft det altid."
36000,43000," Men der er rigtig mange kvinder, der har fået lange øreflipper, fordi de har brugt alt for tunge og for store øreringen."
43000,46000," Det er typisk, hvis de har brugt noget, der har været messing, som er et tungt metal."
46000,48000," Det gør så, at jeg fik det lavet i dag."
48000,50000," Jeg fik øret også lavet mine sorte rænder her."
50000,52000," Det er helt vildt, hvad man kan med filler."
52000,53000," I love it."
53000,57000," Men det gør så, at jeg må ikke bruge øreringen de næste tre dage."
57000,58000," Den er jeg selvfølgelig varm med."
58000,60000," Men jeg skal selvfølgelig have smykker på."
60000,67000," Så derfor tænker jeg, at det er oplagt, at jeg lige nu viser jer lidt om, hvor stor en forskel gør halskæden for looket."
67000,69000," Nu kan I godt se, at jeg har en sort top på."
69000,71000," Meget enkelt, meget klassisk."
71000,74000," Det er der rigtig mange kvinder, der går med til hverdag."
74000,76000," Jeg er rigtig glad for sort hematit."
76000,78000," Og jeg har taget den her på."
78000,79000," Den tog jeg på i morges."
79000,82000," Graces halskæden med den sorte hematit."
82000,85000," Og det gode ved den sorte hematit er, at den shiner lige op."
85000,87000," Ude og være."
87000,89000," Det vil sige, at den ikke er kedelig sort."
89000,90000," Den giver lige en glans."
90000,91000," Så prøv at se."
91000,93000," Det er ligesom sådan en medaillon også."
93000,97000," Graces modellen her er også en af mine mest populære halskæder."
97000,100000," Den er bare så klædelig og nem at bruge til alt."
