start,end,text
0,2000," Toodeloot!"
2000,4000," Hej derude sidde venner!"
4000,6000," Jeg håber I nyder af en fantastisk lørdag."
6000,8000," Jeg har lige lyst til at fortælle jer lidt om diamanter."
8000,10000," Kæft, en diamant!"
10000,12000," Fordi hvad er diamanter?"
12000,14000," Lad os lige starte fra toppen."
14000,16000," En diamant det er den dyreste eddesten."
16000,18000," Vi har den fineste eddesten."
18000,20000," Den består alene af kulstof,"
20000,22000," der er totalt presset sammen"
22000,24000," til at få den her fantastiske eddesten,"
24000,26000," en diamant,"
26000,28000," som altså har været milliarder af år"
28000,30000," undervejs for at blive"
30000,32000," så smuk som den er i dag."
32000,34000," I starten fandt man,"
34000,36000," eller helt oprindeligt var det i Indien,"
36000,38000," man fandt diamanterne."
38000,40000," Man anslår, at det går tilbage til"
40000,42000," omkring 440 kristig fødsel."
42000,44000," Men det var fortsat,"
44000,46000," det var noget for de royale,"
46000,48000," det var noget for de velhavende,"
48000,50000," det var noget for eliten, det var ikke noget for dig og mig."
50000,52000," I 1400-tallet begynder man så"
52000,54000," at importere diamanter til Europa."
54000,56000," Vi begynder at få øjnene op for"
56000,58000," fantastisk smukke diamanter."
58000,60000," Vi begynder at bruge de indiske"
60000,62000," diamanter i kronjuvelerne,"
62000,64000," i de antikke smykker."
64000,66000," Helt crazy flot, men det er stadig"
66000,68000," kun noget for eliten,"
68000,70000," for de royale."
70000,72000," Så sker der det i 1800,"
72000,74000," at man begynder at finde diamanter i Sydafrika."
74000,76000," Og her begynder det at tage fart."
76000,78000," Fordi det er så de birs,"
78000,80000," som I helt sikkert har hørt om,"
80000,82000," som er en diamantforhandler,"
82000,84000," hvad hedder det, mine,"
84000,86000," de står for det hele,"
86000,88000," jeg skulle lige høre om der kom nogen,"
88000,90000," de står for det hele med diamanter."
90000,92000," De står for 90% af diamantmarkedet."
92000,94000," Det er ret meget."
94000,96000," De begyndte så med en meget aggressiv marketing,"
96000,98000," hvor man begyndte, at diamanter skulle ud til alle."
98000,100000," Det vil sige, at det skulle være"
100000,102000," noget for dig og mig, noget vi drømte om."
102000,104000," Og i 1900-tallet sker der jo så"
104000,106000," også den her ekstreme marketingstrategi,"
106000,108000," får virkelig fart på,"
108000,110000," og selv i film kommer det til at være noget med"
110000,112000," Diamanta er a girls best friend."
112000,114000," Det var en kvinde, der også sagde Marilyn Monroe."
114000,116000," Diamanter bliver noget,"
116000,118000," som vi kvinder drømmer om."
118000,120000," Det bliver noget, som mænd skal give til os kvinder."
120000,122000," I starten af 1900-tallet,"
122000,124000," der var det ikke almindeligt,"
124000,126000," at man fik en forlåsestring med en diamant."
126000,128000," Men det blev det, takket være de birs"
128000,130000," og deres meget aggressiv marketing."
130000,132000," Helt fantastisk."
132000,134000," Og de sørgede også for at holde,"
134000,136000," hvor mange diamanter der var på markedet,"
136000,138000," fordi det er jo også en del af det."
138000,140000," Er der ikke så mange diamanter,"
140000,142000," så bliver det jo dyrere."
142000,144000," Så der er rigtig mange ting der."
144000,146000," Men det ændrer ikke på, at diamanter er"
146000,148000," outstanding smukke."
148000,150000," Sindssygt smukke."
150000,152000," Og jeg synes, det er så vildt,"
152000,154000," at naturen, moder natur,"
154000,156000," thank god for you,"
156000,158000," kan skabe sådan nogle ting her."
158000,160000," I 1900-tallet,"
160000,162000," begyndte det at blive meget mere,"
162000,164000," så alle kvinder drømte om en diamant."
164000,166000," Og mændene skal give os diamanter."
166000,168000," Det er lidt sjovt med de birs faktisk."
168000,170000," Så prøvede de også at gøre diamanter til sådan noget med,"
170000,172000," at vi skulle have forlåsningsringen for manden,"
172000,174000," men så skulle vi også give os selv en ring,"
174000,176000," som var sådan en forlåsningsgave-agtig til os selv."
176000,178000," Den var den så ikke helt gevindt."
178000,180000," Men det der med, at Diamantower gør spørgsmål,"
180000,182000," og at det skal være to måneders løn,"
182000,184000," en forlåsningsring skal koste,"
184000,186000," det er takket værd, de birs."
186000,188000," Man begyndte så også i 1900-tallet"
188000,190000," at finde diamanter i Sovjetunionen."
190000,192000," Og man er så også nu her for et par år siden,"
192000,194000," begyndt i Australien og i Canada."
194000,196000," Men man har også fået en del,"
196000,198000," som er begyndt i Australien og i Canada."
198000,200000," Men man skal også bare huske med diamanter,"
200000,202000," at der er dem, der er."
202000,204000," Man er jo så begyndt at kunne grave endnu dybere efter dem,"
204000,206000," så man skal nok begynde med at finde nogen."
206000,208000," Men der er altså kun dem, som naturen har givet os."
208000,210000," Fantastisk."
210000,212000," Hvad er så en diamant?"
212000,214000," Jamen, der er mange forskellige typer af diamanter."
214000,216000," Der er mange, der siger til mig,"
216000,218000," hvad er forskellen på en brillant og en diamant?"
218000,220000," Jamen, allerede der skal jeg stoppe jer,"
220000,222000," fordi man burde sige brillant-slebende diamanter."
224000,226000," Det bringer mig til de fire C'er."
226000,228000," Når vi snakker om diamanter,"
228000,230000," så snakker vi altid om"
230000,232000," color, clarity, cut og karat."
232000,234000," Det eneste, som mennesker kan ændre på,"
234000,236000," det er cutting."
236000,238000," Selvfølgelig ændrer det så også lidt på karaten,"
238000,240000," hvordan man cutter den."
240000,242000," Men det er reelt kun cuttingen,"
242000,244000," vi kan gøre noget ved."
