start,end,text
0,9600," Tutteløse venner, jeg skal lige starte med at sige, at jeg er lidt skæv i den her, fordi jeg er i vores butik, og ringline er gået i stykker."
9600,15200," Men jeg er her, og jeg vil først selvfølgelig altid lige starte med at introducere mig selv."
15200,20320," Jeg hedder Maja Manneke, jeg er smykkedesigner, jeg har nu haft julebehov i 16 år."
20320,21760," That is crazy!"
21760,26000," Og jeg elsker det. Jeg driver det med min mor i dag, og det er en fest."
26000,33200," Vi elsker det, vi elsker ædersten, og fantastiske designs, og alle de dejlige kvinder, der går med smykkerne, og tak for jer."
33200,40560," Men det, det skal handle om nu, det er ædersten og deres betydning i forhold til laboratoriet."
40560,45840," Jeg har jo lavet her for nogle dage siden, jeg overordnede, hvor jeg snakkede om rigtig mange ædersten."
45840,53040," Så tænker jeg, at jeg hen over de næste uger, dykker ned i hver ædersten, og fokuserer lidt på, hvad den enkelte ædersten betyder."
53040,55040," Lidt mere uddybende."
55040,60080," Og den, jeg vil starte med, jeg har det lidt varmt, der er det lidt varmt i dag, og det er 30 grader."
60080,63680," Den, jeg vil starte med at fortælle om i dag, det er laboratoriet."
63680,68080," Fordi at for some reason, og jeg viser den lige her."
68080,74720," For some reason, når hvis man er meget spirituelt anlagt, jeg har ikke altid gået op i det her med energier."
74720,81760," Jeg har syntes, det var mega spændende, men jeg har ikke rigtig ville over det i forhold til at fortælle jer om det, fordi jeg synes, man skal være 100% inde i det."
81760,84560," Det er jeg så nu, fordi jeg har læst rigtig meget op på det."
84560,92880," Men tilbage til, hvis man er meget spirituelt anlagt, så gennem årene, når der har været nogen, der har kommet ind til mig, så har de været sådan, nej nej nej, hvad har du med laboratoriet?"
92880,96400," Og jeg har været sådan, jeg har masser af med laboratoriet, jeg elsker laboratoriet."
96400,112080," Det viser sig så, at grunden til, at de har været så vilde med at få fat på noget med laboratoriet, er fordi, at det har en meget stærk spirituel betydning i forhold til, at det står for nye begyndelser."
112080,119280," Og det kan vi jo godt mene, nye begyndelser, og jeg tænker, hvis der er noget, vi har brug for lige nu, så er det faktisk nye begyndelser."
119280,122800," Så det er rigtig godt, men i det hele taget i livet er det rigtig godt."
122800,133360," Jeg synes jo altid, det er super positivt med nye begyndelser, jeg tror jo selv meget på det her udvikling frem for afvikling, og udvikling er jo også lige med, at man er villig til at kaste sig ud i noget nyt."
133360,136800," Og det er lige præcis det, som laboratorieten står for."
136800,145600," Den står så også for, og det bliver også rigtig sjovt at fortælle, fordi det er også noget, jeg tror meget på selv, at man skal følge sin intuition."
145600,158080," Det vil sige, at det kan godt være, at der nogle gange er noget, der er godt på papiret at gøre, det kan være et samarbejde, det kan være et forhold, men nej, din mave den siger nej, nej, nej, nej."
158080,160720," Det skal vi blive bedre til at lytte til."
160720,168480," Fordi jeg må bare sige, når jeg kigger tilbage, at min intuition har aldrig taget fejl, men til gengæld de gange, hvor jeg ikke har fulgt min intuition, der er det ikke gået så godt."
168480,173520," Og det er laboratorieten med til at forstærke, at vi følger vores intuition."
173520,179600," Så på mange måder en meget positiv og en meget fantastisk ædede sten."
179600,185440," Husk, hvis der er nogle spørgsmål eller noget, I gerne vil høre undervejs, så siger I bare til, at jeg er lige her."
185440,192960," Og priser og alt sådan noget, det kan det svære at huske i hovedet, så dem må I sende mig en direct message om, og så lover jeg at svare jer."
192960,197760," Men tilbage til laboratorieten, nye begyndelser og det at følge sin intuition."
197760,202640," Meget kraftfuld, meget spirituel, og jeg har selv været helt vildt draget af den altid."
202640,204960," Og det giver jo mening nu, at jeg har det."
204960,213040," Den er så også, hvis man skal kigge på farverne, prøv at se her, hvordan den ligesom changerer det grønne, tjerkiseblå."
213040,216960," Den changerer, og det er rigtig flot, hvis man har grøn-blå øjne."
216960,221120," I forhold til det her med, at den står for nye begyndelser, så synes jeg jo også, at det er lidt fantastisk,"
221120,225520," fordi man kan jo ikke sige, at en ny begyndelse er den samme hver gang."
225520,229680," Den er jo forskellig fra menneske til menneske, fra gang til gang med alt."
229680,235120," Og det må man også sige, at laboratorieterne er bare helt unikke og meget, meget forskellige."
235120,237120," De er mega flotte."
237120,242160," Når nu jeg har kombineret med gulv, som jeg har gjort rigtig meget i Happy Summer, den nye kollektion,"
242160,244160," så bliver de mere varme i tone."
244160,249200," Prøv også at se her. Jeg får lidt ondt i hånden, fordi jeg skal holde den her telefon."
249200,256880," Den her er crazy smuk. Laboratoriet gennem kloster. Prøv at se. Wow."
256880,261200," Og det er jo ikke kun et festørereng, det her. Det er også mega flot til hverdag."
261200,264480," Prøv at se, nu har jeg jo også sat store ørereng på i dag, fordi håret er løst."
264480,269680," Så kan man altså bare meget mere. Store ørereng, håret løst, det er super lækkert."
269680,272720," Og hvis man så sætter håret op, så bliver det mere festet."
272720,276880," Se også lige her. Balloon-modellen fra den nye kollektion."
276880,284960," Det der sker, når man har en lidt tykkere ædersten som den her, kontra den her, Gracious,"
284960,289200," det er, at de bliver lidt mere grå laboratorieterne i det."
289200,292240," Men det har jo altså også virkelig bare sin charme."
292240,296400," Den her model er så god, fordi den er bare perfekt i størrelsen."
296400,300880," Det bliver altså en klassiker-balloon. Jeg har lavet den her til Havis sommerkollektion,"
