start,end,text
0,2000," Toodaloo!"
2000,8000," Der var rigtig mange, der har skrevet og spurgt, om vi kunne udvide lagersalget også i dag fredag."
8000,12000," Fordi det var svært for jer at nå onsdag og torsdag. Så det har vi simpelthen gjort."
12000,19000," Her til morgen, det har været forsat online her hele formiddagen, og fortsætter online indtil kl. 24 i aften."
19000,25000," Og butikken her på Blandersvej, den er åben fra nu kl. 2 til kl. 6."
25000,30000," Og altså, der er bobler derovre, så der er bobler til alle dem, der kigger forbi her på Blandersvej."
30000,34000," Men inden butikken åbner, vil jeg lige vise noget af det, der er tilbage på lagersalget."
34000,37000," Jeg vender lige kameraet."
37000,45000," Så kan I se, hvis der er noget, I er interesseret i, så sender I mig bare en direct message, som det så fancyt hedder."
45000,49000," Og så overfører I på MobilePay, og vi sender."
49000,53000," I kan også se det helt inde i gruppen, Facebook-gruppen, som jeg også linker længere ind til."
53000,56000," Nu vender jeg lige kameraet rundt, så kan I se med."
56000,59000," Det er altså så smart at kunne vende det kamera."
59000,62000," Prøv at se her."
62000,67000," Det er rigtig mange af mine kollektionsprøver, der er på lagersalget."
67000,69000," Det vil sige, at der kun er den ene af hver."
69000,73000," Her har vi pyrite og røgtopas, de ligger til 2.000 kr. på lagersalget."
73000,80000," Her har vi med grøn onyx og rød onyx en klassiker hjemmekloster til 2.000 kr. på lagersalget."
80000,83000," Prøv at se dem her."
83000,88000," Wow! Så smukke med labradorit og med månesten."
88000,92000," Det her, synes jeg selv, er så smukt et par."
92000,94000," Prøv at se her."
94000,97000," Wow! Med rubiner."
97000,100000," Det er meget godt, at jeg selv kan være begejstret, ikke sandt?"
100000,103000," Og her."
106000,110000," Så har jeg også lavet her en klassiker i sort hematid Majestic."
110000,112000," Eller hvad hedder det? Elegant Drops."
112000,120000," Men så har jeg også lavet her, hvor det er med krog til 1.200 kr."
120000,127000," Her har vi nogle hoops med grøn onyx, rosa kalsedoren."
127000,132000," Hvis der er noget, I vil se på, mens jeg går forbi her, så siger I bare til."
132000,137000," Det er meget tilfældigt, hvad der er på lagersalget."
137000,142000," Der er mange gode ting tilbage."
142000,146000," Prøv at se, hvor smukke de er."
146000,150000," Nu vender jeg kameraet om, for dem skal I lige se på."
150000,153000," Wow! Der var bare jeg."
153000,158000," Se her. De er mega fede."
158000,165000," Jeg skal prøve at begrænse mig lidt, men det har jeg meget svært med."
165000,170000," Jeg laver meget store kollektioner, men når de skal summe sammen til den nye kollektion,"
170000,172000," så er der nogen, der ikke kommer med."
172000,179000," Og bl.a. den her med Mother of Pearl, grøn onyx og aqua kalsedon, som jeg synes er mega smuk."
179000,182000," Det er meget godt, jeg kan være lidt stolt af mig selv. Det er okay Maja."
182000,185000," Så er der også en enkelt queen her i sort sølv."
185000,188000," Som I kan se, har den en lidt anden overflade."
188000,192000," Jeg er begyndt at eksperimentere med at have lidt andre overflade, derfor er det her en prøve."
192000,196000," Jeg siger ikke, at der måske kommer en queen i en ny variant her til efteråret."
196000,198000," Who knows?"
198000,201000," Jeg vender kameraet op igen, så kan I lige se med igen."
201000,204000," Det er så smart det her."
204000,206000," Wupdi."
210000,215000," Og så er jeg tilbage, for så går vi lige ned her til nogle af de andre bakker."
215000,218000," Det er lidt billigere bakker, der vender jeg også de kameraer om."
218000,222000," Husk, hvis der er noget, I vil se, så skriver I bare."
222000,226000," Jeg beklager, at det ligger lidt og ruder, men der har simpelthen også været så travlt,"
226000,229000," så nu prioriterer jeg bare lige at få lavet en live til jer,"
229000,233000," så I kan se, hvad der var tilbage af lækkerier på lagersalget."
236000,240000," Prøv at se, også den her kollektionsprøve. Mega fed."
240000,243000," Det er meget tilfældigt, hvad der ellers er af smykkerne."
243000,246000," Det er også, hvis det har været til fotografering, udlån, presse,"
246000,251000," så sælger vi det jo selvfølgelig ikke i butikken, for så har det været på andre mennesker."
251000,256000," Så nu viser jeg lige den sidste omgang hernede."
256000,261000," Det er fra hele min gamle urban-kollektion udgået smykker."
261000,265000," Alt her er udgået, så der er ligesom kun det, der er."
265000,289000," Så fik I ikke mere fra den 25. venner, men I kan jo se det hele inde i online-gruppen."
289000,292000," Jeg lægger lige et link ind til den, og hvis der var nogle spørgsmål til noget af det, I så nu,"
292000,295000," og I ikke lige kan finde det i online-gruppen, så skriver I bare til mig."
295000,301000," No worries. Og her fra kl. 2 til kl. 6, så er de her altså åbne,"
301000,305000," fordi jeg ved, I vadlander. Det er fredag, og vi skal fejre livet, og vi skal fejre hinanden."
305000,309000," Så der er bobler i dag, og jeg glæder mig."
309000,313000," Tak fordi I så med, og spørgsmål? Send mig en direct message."
