start,end,text
0,6720," Jeg har simpelthen lyst til at sige, at vi skal leve livet."
6720,8720," Vi skal ikke frygte, vi skal leve det."
8720,15280," Og derfor skal vi snakke store farve i ørling, som også skal på til hverdag."
15280,17280," I kan godt se mig lige nu."
17280,21760," Jeg synes jo egentlig, at det er ret smart det her sorte tøj, og det er lidt korvretagtigt, eller hvad man nu kalder det."
21760,23760," Men det er sort."
23760,27760," Så det vil sige, at hvis ikke jeg havde nogle farve i ørling på, så ville det være helt smukt at købe i."
27760,31040," Så har jeg simpelthen gjort det for både at højde min egen humør."
31040,36240," Og så har folk, der har mødtet mig i løbet af i dag, jeg har taget nogle store farve i ørling på."
36240,43280," Det her er så Blue fra min nye kollektion Passion, hvor det er korsopras og labradorit."
43280,46480," Og så kan jeg faktisk ikke huske, hvad den sidste er, jeg kan ikke lige se, hvad fanden det er."
46480,48480," Det er, skal vi lige se?"
48480,50480," Turkise."
50480,52480," Jeg skulle lige huske, hvad det er, jeg har brugt her."
52480,54480," Ja, de er så flotte."
54480,56480," Og store ørling, I kan godt se, hvad det gør."
56480,60480," Hvis det er noget løs, så bliver det slet ikke for meget til hverdag overhovedet."
60480,64480," Så lad mig vise lidt favoritter af store ørling."
64480,68480," Jeg tager lige den anden blue variant her, du kan godt komme tættere på, Sophie, hun filmer lige."
68480,72480," Det er med rød agav, granater og fuchsia calcedon."
72480,78480," Og det, der faktisk også er rigtig smart med den her store ørling, er, at man kan tage droge med."
78480,80480," Så er det bare en ørestik."
80480,82480," Bum bum, der var jeg lige smart, da jeg designede den."
82480,88480," Det her er også en sindssygt flot store ørling."
88480,94480," Det er med fuchsia calcedon, rød agav, rosa calcedon og hvid topaz."
94480,96480," Bare \"vum\" siger jeg bare."
96480,100480," Nu, Sophie, du står meget stille med kameraet, du må gerne gå væk en lille smule, det er okay."
100480,104480," Prøv at komme lidt ned og se på smykkerne her."
104480,110480," Der er det med turkise, labradorit, grøn onyx og amazonit."
110480,118480," Det, der også er rigtig godt med den her ørling, er, at den er lidt lang og slank."
118480,122480," Og det er rigtig flot også i forhold til ens kinben."
122480,126480," Til hverdag er store ørlinger bare på med dem."
126480,130480," Og det er ikke kun dig selv, der bliver glade, det er også dem, du møder på din vej, der ser noget farver og tænker,"
130480,134480," \"Wow, ja, vi skal leve livet og vi skal have glæde og kærlighed.\""
134480,138480," Her er det så grøn onyx og kussopras."
138480,140480," Og det er min modem, glow."
140480,142480," Og det er ikke too much til hverdag."
142480,144480," Få se her, fuchsakasse-doen."
144480,146480," Det kan også bare være så flot."
146480,148480," Det er jo det gode, hvis det går med meget sort tøj."
148480,152480," Det er, at uanset hvad du har på af tøj, så er det flot med nogle store ørlinger til."
152480,154480," Og så mix og match med forskellige."
154480,156480," Jeg ser også altid, at man skulle tro, at jeg shopper helt vildt meget."
156480,160480," Det gør jeg faktisk ikke, men jeg kan jo selvfølgelig mange gange have en ørling."
160480,164480," Og skifter meget udtryk alt efter, hvad er det for nogle ørlinger er på."
164480,168480," Det her er så Amazonit. Prøv at mærke her med guldkanten."
168480,172480," Den smukke, smukke, smukke grøn-grå farve."
172480,174480," Den har sådan lidt tyrkis. Den er outstanding."
174480,176480," Jeg skal faktisk næsten lige vise også de store her."
176480,180480," Prøv at se her, hvor den viser bare."
180480,182480," Det er så godt, når man kan få hjælp til det."
182480,186480," Prøv at se her, Magnolia. Wow."
186480,188480," Kussopras, der er på ryggen og Amazonit."
188480,192480," Det er bare, altså, den bruger jeg jo selv rigtig meget."
192480,196480," Den er så smuk. Og igen her har jeg også lavet sådan, at man kan tage bunden af."
196480,198480," Ret smart, Maja Mægel."
198480,202480," Så er der en ny Majestic med lille kalsedon."
202480,204480," Jeg har kun lavet det ene par til at starte med."
204480,206480," Prøv at se den smukke, smukke lille farve, den har."
206480,208480," Dem har jeg også lavet i sort."
208480,209800," Okay, vi slår til den."
