start,end,text
0,5600," Toodloo derude! Ja, så er jeg sørme live igen."
5600,12320," Og inden jeg fortsætter med den her live, så bliver jeg simpelthen helt nødt til at vise, at jeg kan næsten gå helt almindeligt nu."
12320,16800," Og man skal simpelthen bare være så delt ude, man har. That's for sure."
16800,23760," Men det, jeg godt kunne tænke mig at vise jer lidt af nu, det er nogle smukke grønne smykker."
23760,29200," Det er jo meget oplagt at vise rød, men grøn er jo også et hit her til jul."
29200,33840," Og den første, jeg lige vil vise, det er faktisk den her, jeg har på."
33840,44160," Den er lidt mere aquafarvet, fordi den er aquarød. Og det er faktisk en helt særlig, meget særlig ædesten."
44160,49920," Det er kvarts, som jeg så har fået indfarvet, så den rammer de her nuancer."
49920,54880," Vi kalder den aquaterra kvarts, og I kan godt se, prøv lige at se, hvor flot den er."
54880,61520," Jeg har også lavet den, hvor den hedder rainbow. Kan I se her? Wow!"
61520,70400," Jeg må gerne være stolt af mig selv, og det er jeg altså med den her, fordi jeg synes, prøv lige at se her, hvordan den ser ud, når den er på."
70400,74400," Det spiller jo outstanding. Og her er det så rainbow."
74400,80400," Jeg har også lige lavet den i den her cherry. Prøv lige at se."
80400,85680," Er det ikke bare fantastisk? Er det ikke bare sindssygt fantastisk?"
85680,87680," Det synes jeg faktisk selv, hvis jeg skal sige det."
87680,90160," Så, det var lige nogle af dem, jeg vil snakke om."
90160,94400," Men jeg vil så også vise, og jeg skal lige huske at sige, at priser er rigtig dårlige til."
94400,101200," Så I må endelig bare kommentere herunder, eller skrive til mig bagefter på Messenger, så lover jeg at sende priserne."
101200,106720," Og vi har jo 30% til på mandag, fordi det er Black Friday, eller man skulle måske hellere sige Black Week,"
106720,110400," fordi jeg tror, at Black Friday har været i gang siden i mandags hos de fleste."
110400,112400," Det er lidt sjovt, ikke?"
112400,114400," Men videre til det grønne."
114400,121200," Nu har jeg jo en grøn sweater på, og så er det jo oplagt at tage den her på fra min nye kollektion."
121200,124400," Iconic Star. Det er min yndlings."
124400,128400," Den er med hvid topaz, rainbow moonstone og chrysopras."
128400,130400," Amen altså."
130400,136400," Det der er ved rainbow moonstone, jeg ved ikke, om I kan fornemme det, at jeg er virkelig dårlig til at få lyset til at fange."
136400,141400," Rainbow har en lidt blåligt skær i sig også."
141400,144400," Mega, mega smukt."
144400,149400," Det er jo så også fulgt og plagt at have noget på, der er helt grønt."
149400,157400," Her er det så Balloon, en af mine nye klassikere, her i Grøn Onyx, som jo også er rigtig flot til det grønne."
157400,161400," Den her har vi slet ikke. Den er helt ny også."
161400,163400," Her, Glow med Grøn Onyx."
163400,169400," Grøn er virkelig en smuk eddesten. Grunden til, at jeg bruger Grøn Onyx er, fordi den ligner smaragder."
169400,173400," Den koster slet ikke det samme, som en smaragd gør, men den har det her smaragd look."
173400,178400," I den nye kollektion begyndte jeg også rigtig meget at arbejde med chrysopraser."
178400,185400," Den har den her lidt lyssegrønne, lidt mere skarp grøn eddesten, som I også kan se."
185400,188400," Nu viser jeg lige den helt store model her."
188400,192400," Stay tuned. Den her. Wow. Magnolia."
192400,197400," Det synes jeg også er mega fedt. Jeg skal næsten lige tage den på, så I kan se, hvordan den ser ud."
197400,204400," Mega fedt at have sådan en stor ørerring her på til hverdag, hvis man så har håret løst,"
204400,208400," fordi så bliver den mindre festig. Prøv at se her."
208400,215400," Jeg skal næsten tage partneren på, fordi der er en, der skriver \"God lørdag\","
215400,218400," og jeg må bare sige, at Grøn er også fantastisk."
218400,223400," Det skriver du også, Lotte. Grøn er virkelig smuk, og det er en meget skandinavisk farve,"
223400,227400," også fordi vi er lyse i huden og har lyst hår, mange af os. Så er det rigtig flot med grønt."
227400,234400," Prøv at se her. Og I kan godt se, at nu har jeg bare jeans på og en grøn svætter her,"
234400,238400," og så ser det virkelig flot ud, at jeg har nogle store ørerring på."
238400,243400," Altså virkelig, virkelig flot. Og det er på ingen måde too much til hverdag,"
243400,247400," fordi det er meget tone i tone, og så giver det et helt andet udtryk, end hvis jeg..."
247400,251400," Prøv at se her. Hvis jeg slet ikke havde nogen ørerring på, så vil jeg faktisk våbe at påstå,"
251400,256400," at det var en lille smule kedeligt, det her look. Mhm, lidt kedeligt."
256400,263400," Men altså, den her er jeg nu ret glad for. Prøv at se den. Wow."
263400,267400," Altså, den dag, jeg ikke bliver bare en lille smule stolt og glad i bolden,"
267400,269400," og jeg ser mine smukke designs, der skal jeg altså lave noget andet."
269400,273400," Men det kommer aldrig til at ske, fordi jeg er så stolt, og jeg elsker det."
273400,277400," Man kan vist godt se, at der er kærlighed i det hele. Det er i hvert fald meningen."
277400,281400," Det ville også være rigtig flot at have den her Iconic Wonder på,"
281400,285400," fordi den har noget turkis og amazonit i, og det er en fed kontrast til det grønne."
285400,288400," Det der er det gode ved den her er også, at det er sådan en lang ørerring,"
288400,291400," så den er faktisk meget slankende. Så den er awesome."
291400,295400," Den behøver ikke kun at være grøn til det her. Nu er det bare, fordi jeg havde lyst til at vise det."
295400,299400," Men inden jeg ligesom... Nej, I skal lige se den her."
299400,304400," Prøv at se her. Amazonit glow. Ren glow, amazonit. Det er også bare pænt."
304400,307400," Amazonit er jo også en ny adelsing, jeg er begyndt at bruge."
307400,313400," Den har sådan lidt mere gråt, blåt turkis skær."
313400,315400," Hvor smukt."
315400,318400," Hvis I har nogle spørgsmål, så må I endelig bare skrive."
318400,323400," Jeg kan være rigtig dårlig til at huske og sige alt det, jeg skal."
323400,327400," Her har vi så Laboratoriet. Det er også en klassiker."
327400,330400," Det der jo er med Laboratorier er, at de er hver deres egne."
330400,332400," Så det vil sige, at de har et helt unikt fagspil alle sammen."
332400,334400," Og det gør dem jo meget fantastiske."
334400,339400," Så derfor, hvis man ser en Laboratoriet-adesten, og man tænker, at det er lige mig, den der ørerring,"
339400,342400," så skal man ikke tænke over det, fordi den næste ser altså anderledes ud."
342400,346400," Prøv at se det skær, der er i lige præcis den her Laboratoriet også."
346400,350400," Den sidste jeg lige vil vise... Nej, jeg skal lige vise en ny model."
350400,353400," Det er Pure Drop, Iconic Pure Drop."
353400,355400," Som er rigtig fint."
355400,358400," Der er mange, der har været rigtig glade for, og er rigtig glade for Pure Drop."
358400,364400," Her har jeg så lavet en anden type fatning, som faktisk gør den en lille smule mere elegant, synes jeg selv."
364400,370400," Og det er altså en perfekt gaveidé, også den her størrelse, fordi den klæder bare alle."
370400,372400," Nu er det jo jul lige om lidt."
372400,375400," Der er også rigtig mange... Nu har vi jo holdt Black Friday og alt det her, og der er rigtig travlt med det."
375400,378400," Der er også rigtig mange, der har begyndt at købe gavekorts til julegaver."
378400,380400," Og det synes jeg jo også er en rigtig god idé."
380400,384400," Så kan man jo give det, og så er hende, der skal forkales, hun kan selv vælge, hvad det skal være."
384400,388400," Og man kan også købe et gavekort, hvor man så får personlig smykkestejling med."
388400,392400," Så køber man et gavekort for over 2.000 kr., så får man personlig smykkestejling."
392400,394400," Enten med mig eller min mor."
394400,397400," Så det skriver man bare, hvis man er interesseret i det."
397400,399400," Jeg tror faktisk, bummelum, at det var det."
399400,403400," Nej, det sidste jeg lige vil vise, det er Aqua Calcedon."
403400,407400," Som jo også er en grøn, men den er mere grønblå ædesten."
407400,410400," Det vil da også være rigtig flot her."
410400,412400," Det bliver sådan lidt mere sart."
412400,415400," Det er også sådan en super smuk farve, når vi når til foråret."
415400,417400," Det gør vi jo heldigvis snart."
417400,421400," Ej, jeg elsker julen, men jeg kan også godt lide, når det bliver lidt varmere igen."
421400,423400," Og så er fødselsdag til foråret. Det glæder jeg mig også til."
423400,426400," Nå, det var det, jeg havde til jer for i dag."
426400,432400," Dog vil jeg også lige sige, at jeg står her i vores dejlige, dejlige butik på Østerbro."
432400,435400," Og jeg er her også igen i morgen, søndag 1. advent."
435400,437400," Fra kl. 12 til kl. 4."
437400,440400," Og der er lige nu musikken er slukket, fordi I selvfølgelig skulle kunne høre, hvad jeg siger."
440400,443400," Men ellers er der bare dømt julemusik og julehygge."
443400,446400," Og rimelig meget juleknald, synes jeg selv."
446400,448400," Så det er bare med at kigge forbi."
448400,451400," Okay, så har I verdens bedste aften, allesammen."
451400,452400," Kys til jer."
