start,end,text
0,2000," Tillykke med det derude!"
2000,10000," Jeg tænker, at i dag vil jeg fortælle jer lidt om de fantastiske dufte fra Ortigia Sicilia,"
10000,16000," som jeg har eksklusiv forhandling på i mit skønhedsunivers Maimundu."
16000,22000," I kender mig jo alle sammen som smykkedesigner, og jeg har haft Jules C.B.H. i snart 16 år."
22000,25000," Jeg elsker alt med smykker."
25000,31000," Jeg elsker det, det gør mig glad i bolden, når jeg ser smykker, når jeg designer dem, når jeg ser på de fantastiske eddersten."
31000,36000," Men det gør mig også total glad i bolden med skønhed."
36000,44000," Skønhed, når man ser fantastisk impakning, når man dufter."
44000,47000," Jeg skulle bare lige høre om der er noget, der ringer på."
47000,52000," Når man dufter. Jeg elsker. Jeg elsker dufte."
52000,59000," Derfor er jeg meget stolt af, at jeg har de produkter fra Ortigia Sicilia,"
59000,68000," som er en italiensk duft- og parfumebrand, som bliver produceret på Sicilien i en by, der hedder Ortigia."
68000,75000," Det er 100 procent naturlige ingredienser, og så bliver det produceret i små..."
75000,79000," Den ene landsby producerer den duft, den anden den duft, og den tredje den duft."
79000,83000," Så det er meget, meget lokalt, og det er virkelig eksklusivt."
83000,91000," Og deres impakning er simpelthen bare i sig selv helt, helt, helt crazy fantastisk."
91000,95000," Jeg har så fra dem fem forskellige dufte."
95000,97000," Og nu fortæller jeg lige lidt om duftene."
97000,102000," Den ene duft, det er den, der hedder Florio, som er en meget..."
102000,107000," Den er sådan, hvis man er til det lidt blomsterduft, den er sådan med jasmin i, den er frisk."
107000,113000," Så har Florio kendetegnet ved, at al emballage har de blå farver."
113000,114000," Det er Florio."
114000,119000," Så har vi Figur d'India, som faktisk er..."
119000,123000," Nu kan I jo ikke dufte den derude, men jeg kan fortælle lidt om den."
123000,126000," Den har sådan en citrus, frisk duft."
126000,131000," Figur d'India, det er faktisk også, at det ligner Jolie's favoritduft."
131000,133000," Og det har hun ikke betalt for, det er helt oprigtigt."
133000,137000," De har altså altid den her genkendelige grønne emballage."
137000,143000," Alt, altså alt Utikias er kendetegnet ved, at hver duft har sin egen emballage."
143000,150000," Uanset om det så er parfume, body lotion, hård shampoo, hvad det er, har det sin egen farvemballage."
150000,155000," Hvis man er til det mere krødrede, så har vi den, der hedder Ambranera."
155000,160000," Som er sådan en mere varm krødder med noget musk i sig."
160000,164000," Den har altid den her sorte genkendelige emballage."
164000,169000," Det er faktisk en Juli's 6 parfume, og George Clooney bruger den også."
169000,172000," Han er ikke skidt at kigge på, hvad det er."
172000,177000," Så har vi så også den, der hedder, nu skal vi se, Sandalo, som er sådan..."
177000,180000," Der var en i går, så siger hun, at den har sådan lidt indisk over sig."
180000,184000," Jamen det er faktisk også det der Sandal Tree, den har som en af essenserne,"
184000,189000," hvad hedder det, duftnuderne, det er også et meget eksotisk træ."
189000,194000," Den har altid den her, det er jo Elefant Blå Impakning,"
194000,198000," og det er lidt sjovt, at hun sagde, at den har den indiske vibe,"
198000,201000," fordi elefanten er jo Indiens lykkefigur."
201000,205000," Så der er måske noget om snakken, der er sjovt for bakken."
205000,209000," Så den sidste duft, jeg har, det er den, der hedder Milgrano."
209000,214000," Den har jeg kun valgt at have som en duftdiffuser og som sæbe,"
214000,217000," fordi den har granatæble, ikke fordi der er noget med det,"
217000,221000," men den har en lidt skarv duft, jeg synes, den er primært en duft til,"
221000,223000," at man har ude på badeværelset."
223000,225000," Og det er der ikke noget dårligt, jeg har den selv på badeværelset,"
225000,228000," men der vil man gerne have sådan en skarv duft."
228000,232000," Alle produkterne, altså, åh nej, det jeg skulle sige er,"
232000,236000," en god måde, hvis du er lidt i tvivl om, hvad for en duft der er lige dig,"
236000,241000," det er at starte med den her til 135, som er en roll-on,"
241000,243000," den her roll-on parfume."
243000,246000," Så finder man ud af, kan man egentlig lide det, kan man ikke."
246000,251000," Alle produkterne fås jo i vores butikker, både her i København og i Aarhus,"
251000,256000," og inde på mymundu.dk, som er mit skønhedsunivers."
256000,260000," Prægneret bare så lækkert, altså."
260000,266000," Og altså, de her, så er det duft, det sæber 275."
266000,270000," Prisen starter på 90 kroner, så det er overhovedet ikke vildt."
270000,279000," Så der er altså her et stort udvand af en masse lys, sæber, parfumer, duftdiffuser,"
279000,284000," og så har vi også herovre, skal jeg lige vise nogle af dem, kan I se der,"
284000,293000," det er så de her meget, meget smukke Kermik Refill sæbebeholdere til 375 kroner."
293000,298000," Så køber man en, og så kommer der 500 ml sæbemæd,"
298000,302000," og når det er brugt op, så kan man købe Refill, så det er meget, meget bæredygtigt."
302000,305000," Og den her blå flaske er simpelthen så smuk."
305000,311000," Den har så florioduften, som er det der jasmin, lidt friske blomsterduft."
311000,316000," Og her har vi så figu, den grønne, ved I jo godt, at det er også den, der hedder citrus,"
316000,320000," som er figu d'India, den der friske citrusduft."
322000,328000," Så har de også lavet Autechias nogle meget smukke make-up punkter til 449,"
328000,332000," så der er Silky Bilour og Napa Leder her."
332000,335000," Jeg har selv den lyserøde, den kommer også i grøn og i blå,"
335000,338000," den er perfekt til lige at have liggende i tasken."
338000,341000," Så er der også lidt forskelligt til kroppen,"
341000,346000," Bars Shower, Body Oil, hvad hedder det, Shampooer."
346000,350000," Og så prøver lige at se, når man køber i butikkerne, så får man den her smukke pose her."
350000,352000," Er det ikke bare flot? Jeg elsker det."
