start,end,text
0,16000," Jeg står fuldstændig line up. Jeg vil fortælle lidt om lovebeats-halskæderne."
16000,20000," Jeg kan se, at jeg allerede i farten havde lagt en derovre."
20000,26000," Nu lægger vi lige den der på med lågen. Så I er godt rustet til at se min smukke lovebeats."
26000,32000," Historien med lovebeats-halskæderne er, at det er unika halskæder."
32000,36000," Det er nogen, der er designet med så meget kærlighed i det er alle mine smykker."
36000,44000," Men det her er bare noget helt særligt, fordi det er kombinationen af hver enkelt ædesten, der til sammen skaber en fantastisk enhed."
44000,49000," Synes jeg selv. Og de er mega monster populære."
49000,54000," Og der er altså kun en af hver. Jeg laver ikke to, der er fuldstændig identiske."
54000,60000," Så når man ser en, og tænker, at den bare lige drager mig, så skal man altså slå til."
60000,63000," Hvis I har nogle spørgsmål undervejs, så siger I bare til."
63000,69000," Hvis der er nogen, I er interesseret i, så må I lige skrive til mig bagefter i forhold til priser og helt specifikt ædesten."
69000,75000," Og jeg fortæller også meget gerne, hvad det er, hver ædesten i den kæde, I har kigget på, betyder."
75000,77000," Fordi det har en mening."
77000,81000," Den jeg har på nu, jeg laver jo lovebeats i flere forskellige længder."
81000,85000," Jeg har sat helt pjat ud med den helt lange, som jeg har på her."
85000,89000," Som også er den sidste nye, jeg lige har lavet."
89000,95000," Som er med sort onyx, med hvid agat og med perlemor og hvid topaz."
95000,98000," Den er outstanding."
98000,100000," Hvis jeg selv skal sige det."
100000,102000," Nej, det er da ikke den sidste nye, jeg har lavet."
102000,105000," Det er fordi, jeg står og lægger, jeg var lidt forvirret. Jeg har det lidt varmt i dag."
105000,108000," Den sidste nye, jeg har lavet, det her er min Chanel kæde."
108000,111000," Jeg stod også, da jeg kiggede på den og tænkte, den er da ikke lige lavet."
111000,114000," Det her er min Chanel kæde, den har jeg lavet for lang tid siden."
114000,117000," Den bruger jeg rigtig meget. Det er min egen, den her."
117000,119000," Det er den her, der er den sidste nye."
119000,121000," Godt nok ind i kampen, mig og manneken."
121000,126000," Det er med røg topaz og perlemor og hvid agat og hvid topaz."
126000,131000," Den er sindssygt, sindssygt smuk."
131000,135000," Og det der med, at den har røg topaz i forhold til den sorte, jeg viser jer."
135000,141000," Det giver selvfølgelig lidt mere varme, hvor den sorte og den er mere hår i det."
141000,143000," Prøv at se, hvor smuk den er."
143000,145000," Her har jeg også lavet armbånd, der matcher til."
145000,148000," Jeg synes, det er flot, at man har mange armbånd på sammen."
148000,150000," Det gør det også lidt mere rødt."
150000,154000," Det der er med de helt lange lovebeads, det er også, at man kan have dem på dobbelt."
154000,160000," Og det er lidt, hvad man er til, men pointen er også, at det er flot, at man har mulighed for begge dele."
160000,167000," Prøv at se, det bliver lidt mere femini, når jeg har den lang eller dobbelt, end når jeg har den lang, så bliver det lidt mere rødt."
167000,170000," Så det var den sidste nye."
170000,173000," Husk endelig, skriv til mig med priser."
173000,179000," Alt det der, det tager du privat, for så kan jeg slutte til at jeg også mere om, hvad ædesten betyder."
179000,182000," Den her har jeg også lige lavet."
182000,184000," Den er rigtig sommeragtig."
184000,187000," Etro, hvis I kender det brand med alle deres kombinationer af farver."
187000,192000," Her har vi røgtopas, pink jade og grøn jade."
192000,196000," Her er det så i en lidt kortere model, jeg har lavet."
196000,202000," Den kan man ikke have dobbelt rundt om, men det er super flot også med den her længde."
202000,205000," Hvis I spørger min mor, så synes hun, at den her længde er perfekt."
