start,end,text
0,7000," og jeg har samlet i alt 27 meget afslørende fortællinger om mænd og de værste."
7000,12000," Jeg har skrevet en bog om det, og det er en bog, der er skrevet i dag."
12000,17000," Jeg har skrevet en bog om det, og det er en bog, der er skrevet i dag."
17000,22000," Jeg har skrevet en bog om det, og det er en bog, der er skrevet i dag."
22000,27000," Jeg har skrevet en bog om det, og det er en bog, der er skrevet i dag."
27000,31000," Jeg har skrevet en bog om det, og det er en bog, der er skrevet i dag."
31000,35000," Jeg har skrevet en bog om det, og det er en bog, der er skrevet i dag."
35000,39000," Jeg har skrevet en bog om det, og det er en bog, der er skrevet i dag."
39000,43000," Jeg har skrevet en bog om det, og det er en bog, der er skrevet i dag."
43000,47000," Jeg har skrevet en bog om det, og det er en bog, der er skrevet i dag."
47000,51000," Jeg har skrevet en bog om det, og det er en bog, der er skrevet i dag."
51000,55000," Jeg har skrevet en bog om det, og det er en bog, der er skrevet i dag."
55000,59000," Det er primært kvinder, der bliver udsat for de her ting hermed."
59000,62440," Det kan også være at det er en stor fag."
