start,end,text
0,9000," Tillykke! Jeg havde lige lyst til igen at vise jer min nye passion kollektion, som vi netop er blevet lagt til af vores butikker."
9000,16000," Og jeg er som altid mega stolt, og jeg tænker altid, det var en flot kollektion, du har lavet mig, men det er meget godt, jeg har det sådan."
16000,22000," Det der er temaet i den her kollektion, det er, som navnet også ansyder, passion."
22000,29000," At vi skal være selv i livet, vi skal smykke os med noget smukt, vi skal se godt ud, vi skal være glade."
29000,31000," Og det gør vi altså bare, når vi også har nogle smukke smykker på."
31000,38000," Gerne noget med noget farve. Det er fint nok at gå i en sort skjorte, men komme noget farve på, sætte det fuldt på hverdagen."
38000,40000," Det er sgu for kedeligt bare at gå rundt sort i sort."
40000,48000," Her i det røde univers, der har jeg så arbejdet rigtig meget med det, der hedder en fuchsia kaltodol, som er den mega smukke."
48000,55000," Prøv lige at se, hvor fantastisk den er. Og så er det blouse her, og så er det rød granat der. Den er afstandig."
55000,59000," Prøv lige at se så, der må I se det helt inde på webshop, eller I kan skrive kommentar herunder."
59000,61000," Jeg kan simpelthen ikke huske det hele."
61000,65000," Her har vi så også fuchsia kaltodolen i Mini Majestic."
65000,69000," Det her er så også et af mine nye designs med granater."
69000,78000," Super smuk, og den sidder rigtig flot på øret. Store granatøjet sten, så den lige giver noget shine og lige giver noget farve."
78000,85000," Så har jeg rigtig meget her med den røde agat, både i den jeg har lavet den nye Mini Balloon."
85000,92000," Smuk og klassisk. Og så selvfølgelig min Graces, også i rød agat og rød onyx."
92000,97000," Prøv at se den her afstandige nye model, jeg har lavet."
97000,104000," Og så er det jo super fedt, enten man vælger at matche med noget rødt, eller noget gråt, eller noget hvidt, eller noget rosa."
104000,110000," Man kan matche den med rigtig meget. Og så er det en perfekt længde, fordi den går lige her til hagen."
110000,115000," Ja, det er mor, der sidder og filmer, og hun siger ja."
115000,118000," Ja, måske hun vil købe et par eller to."
118000,128000," Her har vi så Blue, som var et design, jeg lavede i sidste kollektion, som jeg så er gået videre med nu, hvor jeg har lavet den med eddestener, der matcher passionfarverne."
128000,133000," Her har vi rød agat, og så har vi granat og rød agat, og rose kasedon."
133000,136000," Nu tog jeg den her af, for at vise, at den også er som en ørestik."
136000,141000," Og det er jo ret smart, så man har ikke tre i, men to i."
141000,143000," Genial, hvis jeg selv skal sige det."
143000,145000," Så lad mig vise noget af det grønne."
145000,151000," Grønt er jo helt afstændigt, også hvis man har grønne øjne, men grønt er faktisk også rigtig kledeligt til rigtig, rigtig mange."
151000,154000," Her er det så med grøn onyx, som I kan se."
154000,160000," Den her er så Chrysoprares, som er en finere eddesten, meget smuk i den lyssegrønne nuance."
160000,167000," Her er så igen min blume med labradoritter, og prøv at se, afstandige labradoritter."
167000,172000," Og Chrysoprares og tyrkiserne, skal jeg lige prøve at tage dem op her."
172000,175000," Prøv at se her, er de bare fantastiske."
175000,180000," Og det der jo er, og som jeg altid siger, hvis man ser noget med labradoritter, og så tænker, \"Wow, den er afstandig\","
180000,185000," så skal du ikke tænke over det for lang tid, fordi den her labradoritter ser sådan her ud,"
185000,187000," den næste, den ser anderledes ud."
187000,191000," Der er noget med labradoritter, der bare drager, og hvis man tror på det med energier,"
191000,195000," hvilket jeg også selv gør, så er labradoritter en dædesten, der står for nye begyndelser."
195000,198000," Og det synes jeg, der er meget symbos omkring, også hvis man skal give en gave."
198000,201000," Og gaver, ikke? Det er jo jul lige om lidt."
201000,202000," Nå, det var så noget andet."
202000,206000," Her er det så meget med den lille kalsedon."
206000,209000," Her har vi igen druzin, blå topaz, hvid topaz."
209000,212000," Det hvide er jo klassisk."
212000,215000," Hvad var det, du lige ville vise der, mor? Det var halskæderne der."
215000,217000," Den er lige blevet foldet lidt sammen."
217000,220000," Det skal jeg faktisk nok lige tage op og vise, fordi det er jo min nye beets halskæde."
220000,226000," Altså, selve kædet er anderledes, fordi selve kædet er faktisk et smykke i sig selv."
226000,230000," Og den bruger jeg netop her til balun, fordi jeg synes, den passer godt."
230000,234000," Det er en kugle, det er små kugler, alt er godt, synes jeg selv."
234000,236000," Og så har vi noget med tireøje her."
236000,239000," Nu kommer vi til den sidste fantastiske bakke."
239000,242000," Det er den ædesten, der hedder amazonit."
242000,246000," Den er tyrkis med lidt blåt grønt i sig."
246000,248000," Prøv at se her."
248000,252000," Det er sødt, at I kan se udsigten nu, fordi der er hav derude."
252000,256000," Og den har sådan helt hav-agtigt, og så med guld omkring."
256000,260000," Den er simpelthen bare, og det er en meget, meget klædelig grøn farve."
260000,263000," Meget, meget. Den har lidt gråt i sig også."
263000,268000," Så det var, og så skal jeg lige vise os, prøv at se, den her model igen."
268000,273000," Prøv at se, hvor smuk den er. Amen altså."
273000,275000," Amen altså, ikke?"
275000,281000," Og så her er magnolia, og den er præcis også lavet sådan, at man kan tage den af."
281000,283000," Og så har man bare en ørestik."
283000,285000," Det synes jeg selv er ret smart."
285000,288000," Skal vi lige sætte den op på øret? Ja, så gør vi det."
288000,290000," Prøv at se, hvor flot det er."
290000,293000," Når man har så store ører på, så skal man selvfølgelig ikke tage en halskæde på,"
293000,294000," fordi så bliver det too much."
294000,296000," Men sådan nogle store ører er jo mega fedt."
296000,298000," Prøv at se, nu har jeg den her. Hvis jeg ikke havde den her halskæde på,"
298000,301000," og så havde de her på, så ville det simpelthen bare se så godt ud."
301000,306000," Store ører, ingen halskæde, og så er det bare genialis også til hverdag."
306000,310000," Så skal jeg lige vise to nye Lovebeats halskæder."
310000,314000," Prøv at se, den her. Nu er det jo hun, der sidder og filmer, og jeg ved, hun elsker den her."
314000,317000," Prøv at se, hvor smuk den er."
317000,319000," Wow."
319000,322000," Og så kan den jo få et stoppel rundt om, så den også sidder rigtig flot,"
322000,324000," hvis man gerne vil have den dumt."
324000,326000," Prøv at se, hvor er det pæt."
326000,328000," Wow."
328000,331000," Og det kan I godt se, den passer jo ned til farverne her."
331000,334000," Og her har vi så med rød agat."
334000,337000," Og der er, nu skal jeg lige finde dem,"
337000,341000," der er nemlig lige nogle små fine hjerter af rød rundt omkring."
341000,343000," Det er flot, ikke?"
343000,345000," Rød er jo altså kærlighedens farve."
345000,347000," Det kommer vi jo ikke udenom, og heldigvis ikke,"
347000,351000," fordi man bliver bare glad i bolden af rød og rød i alle mulige forskellige nuancer."
351000,356000," Rød er ikke kun en julefarve, det er faktisk en farve, der er super smuk hele året rundt."
356000,360000," For os forestiller den her til en rosakjole, det vil jo være så flot."
360000,363000," Må jeg prøve at lade vise din arm? Prøv at se her."
363000,366000," Så flot til sådan en rosastrik også."
366000,369000," Der fik I lige et overflændende også af den i dag."
369000,372000," Og altså, den nye kollektion kan I se i dag i vores butikker nu."
372000,377000," Min mor er i vores butik her i Aarhus både i morgen og på lørdag."
377000,379000," Så det er bare med at kigge forbi."
379000,381000," Jeg kan desværre ikke sende den her i vores butikker,"
381000,386000," fordi jeg har stadig lige et lille brengdel, og det brenghold, og en brenghed nu."
386000,388000," Men det skal ikke afholde mig fra at hjælpe jer,"
388000,390000," også her på Facebook og Instagram."
390000,392000," Så I må endelig bare skrive til mig."
392000,395000," Jeg kommer rigtig gerne med god råd til, hvem der vil kende lige præcis dig,"
395000,397000," eller hende der skal forkeres."
397000,400000," Vi har verdens bedste aftener sammen, og tak fordi I så med."
