start,end,text
0,11800," Toodaloo derude! Jeg er så lykkelig, fordi vi har fået rigtig mange af mine fantastiske designs hjem i nogle helt fantastiske ædesten."
11800,17800," Og ved I hvad? Jeg elsker det! Jeg elsker det! Og derfor vil jeg lige dele lidt af nyhederne med jer."
17800,24000," Og inden jeg lige går i gang, så skal jeg huske at sige til jer, at nogle spørgsmål endelig skriv i kommentarer herunder."
24000,31000," Ellers så skriv også en privat besked til mig. Jeg elsker når I skriver til mig. Det kan være noget I gerne vil se close-up."
31000,36000," Det kan være noget I gerne vil høre mere om. Jeg skal komme med vejledning til at beklære lige præcis dig."
36000,39000," Så sender du mig bare en besked. Gerne med et binde."
39000,43000," Men nu til alle nyhederne. Prøv lige at se her."
43000,47000," Det her er rigtig meget med labradoritter."
47000,52000," Labradoritter er jo en helt fantastisk ædesten, fordi den har sit eget liv."
52000,55000," Det vil sige, at hver labradorit er sin egen."
55000,58000," De har det her blå-grønne skær. De changerer rigtig meget."
58000,66000," Derfor siger jeg også altid, at hvis I ser den ørerring, den halskæde, den ring, men lige præcis den labradorit, der drager jer,"
66000,70000," så skal I ikke vente, fordi det næste par ser anderledes ud."
70000,73000," Hvis man tror på alt sådan noget med energi, og det gør jeg,"
73000,77000," så er labradoritten faktisk også en meget spirituel ædesten."
77000,81000," Den står for nye begyndelser. Og det synes jeg også er lidt fantastisk."
81000,85000," Men prøv også at se de her klassiske balloner."
85000,88000," Det er på ret kort tid blevet en klassiker fra mig."
88000,92000," En lille budde. Meget smuk lille sag."
92000,97000," Og den her model er så flot."
97000,105000," Så kan man tage den nederste af."
105000,108000," Sådan der."
108000,111000," Og så er det også bare en ørestik."
111000,115000," Det er kombineret med labradorit, rainbow moonstone og rosa kalsedon."
115000,118000," Det er altså genialt, at man kan tage ørerringen af."
118000,121000," Det synes jeg selv i hvert fald er ret godt fundet på."
121000,123000," Det er godt, Madike. Du kan være stolt af dig selv."
123000,126000," Sådan har vi det altså."
126000,129000," Aqua kalsedon er jo meget smuk mindgrøn."
129000,133000," Og der kommer jo rigtig meget også af blåt nu her til efteråret."
133000,137000," Der er en rigtig flot kontrast, at man bruger den her mindgrøne til."
137000,139000," Man skal generelt ikke være bange for at bruge farver."
139000,142000," Det gælder bare om at finde ud af, hvilken farver der klæder dig."
142000,145000," Og så også matche den med noget i tøjet eller med din egen farve."
145000,147000," F.eks. dine øjne."
147000,151000," Og når vi kommer til øjenfarve, så har jeg jo brune øjne."
151000,153000," Kan I godt se? Og jeg har røgtopas på her."
153000,156000," Det fremhæver nemlig mine brune øjne."
156000,158000," Så det er et rigtig godt trick at bruge noget."
158000,161000," Også hvis du skal give en gave, så vænd noget i hendes øjenfarve."
161000,164000," Fordi så er det jo en mere personlig gave."
164000,167000," For så siger jeg, at jeg har tænkt på, hvem du er og hvad der klæder dig."
