start,end,text
0,5800," Tutteluttut! I dag skal det ikke handle om smykker, selvom jeg har mega meget lyst til at fortælle om smykker."
5800,17520," Men det skal handle om det helt fantastiske brand, som jeg forhandler inde på Maimundo og i begge vores butikker her på Blandersvej Aarhus, som hedder Ortiga Cecilia."
17520,25760," Det er sindssygt lækkert. Det er et italiensk duft- og parfumebrand, som er 100% naturlige ingredienser."
25760,28920," Det er meget lokalproduceret. Det er meget, meget lækkert."
28920,34600," Udover at det er mega smukt indpakning."
34600,40000," Altså faktisk skal jeg være ærlig og sige, at det var egentlig indpakningen og appellation, jeg fandt for først, fordi jeg fandt det på Instagram."
40000,43040," Og så tænkte jeg bare, \"Wow, det er smukt det der!\""
43040,48920," Så fik jeg nogle duftprøver hjem, og så tænkte jeg bare, \"Det er bare smukt, det er lækkert, det er lige mig!\""
48920,55080," Fordi man bliver glad duftet, det betyder bare alt. Man bliver glad duftet, og man bliver også glad skyndet."
55080,57080," Og så er det jo bare det perfekte match."
57080,60760," Som jeg lige sagde, så er det 100% naturlige ingredienser."
60760,62760," Det er produceret på Cecilien."
62760,64760," En øl, der hedder Ortigia."
64760,69080," Kvinden, hun stod før bag det, der hedder Crafty & Evident fra London."
69080,73720," Så synes hun, der skulle lidt mere kulør over feltet. Hun vil lave noget selv."
73720,75720," Det bader hun så."
75720,78560," Ortigia Cecilia. Og det er så lækkert."
78560,83320," Og så koster det ikke en bundegård. Det koster fra 90 kroner fra deres sæber."
83320,87560," Og det synes jeg ikke er særlig dyrt. Eller er det 90 kroner?"
87560,91560," Nej, det er 69 kroner. Endnu billigere altså."
91560,97400," Det jeg normalt vil gøre, når jeg fortæller om duften, og som I vil opleve, når I kommer ind i butikkerne,"
97400,99400," og skal prøve at dufte, finder ud af hvilken en der er jer,"
99400,102400," det er, at jeg vil vise de her små roll-on parfumer."
102400,108400," Fordi dem kan man prøve at dufte til. Nemt at finde ud af, hvilken duft det er, der er i en."
108400,111600," Det er lidt svært for jer at dufte igennem Facebook."
111600,115600," Så derfor vil jeg i stedet for lige forklare lidt om duften."
115600,118600," Og det vil jeg gøre ved at vise sæberne."
118600,121600," Fordi det jeg skal holde øje med, det er farven."
121600,124600," Fordi når jeg f.eks. viser den blå, det er den der hedder Florio,"
124600,128600," så er alt der har den her blå emballage, det er den duft."
128600,135600," Så uanset om det er sæber, det er duftdiffuser, om det er parfume, så er alt med Florio duften."
135600,138600," Her er det så Florio, som jeg sagde."
138600,141600," Den duftnoser, det er jasmin."
141600,144600," Det vil sige, at den har en meget blomster-agtig duft."
144600,147600," Den er meget, meget skøn sommerlig, frisk."
147600,150600," Jeg brugte den netop selv her hele forårets sommer,"
150600,154600," fordi jeg synes den er så dejlig, og det er en meget feminine duft."
