start,end,text
0,8000," Så er jeg live med min nye kollektion Passion."
8000,12000," Inden jeg går i gang med at præsentere kollektionen, så glæder jeg mig til at vise jer."
12000,16000," Jeg har jo præsenteret den her for nogle dage siden, men det gik lidt hurtigt, var der nogen, der sagde."
16000,20000," Så i dag tager vi det stille og roligt."
20000,29000," Mit navn er Mai Manike. Jeg er smykkedesigner, og jeg står bag Dior CBH nu efter i snart 16 år har vi haft Dior CBH."
29000,31000," Det er crazy."
31000,38000," Jeg elsker at designe, og jeg elsker at arbejde med de mest fantastiske eddesteen overhovedet."
38000,44000," Vi bruger jo kun meget fine kvaliteter af eddesteen, faktisk det, der hedder AAA, som er den højeste kvalitet."
44000,54000," Det kan man også se, når jeg viser på Facebook, men I kan også se, når I står med smykkerne og ser det liv og det spil, der er i hver enkelt eddesteen."
54000,56000," Det er afstændigt."
56000,60000," I dag skal det så handle om min nye kollektion Passion."
60000,65000," Passion er en kollektion, som jeg designede her i foråret, og vi har netop lanceret den."
65000,72000," Så er det lidt sjovt, at jeg kalder den for Passion, for det var ikke nogen hemmelighed efterhånden, at jeg var ude for en ret voldsom umlykke for tre uger siden."
72000,80000," Fire uger er det nu, og den har også bekræftet mig det, som egentlig var min tanke bag Passion kollektionen, at vi skal leve livet."
80000,88000," Og vi skal værdsætte livet, og derfor er det meget powerfulde, meget kraftfulde, meget kærlighedsfyldte smykker, kollektionen består af."
88000,94000," Og det kan I se i farverne, fordi jeg har bl.a. arbejdet meget med de røde nuancer."
94000,99000," Jeg viser de i kort nuvær, så tager jeg bakkerne tilbage og viser op og sådan nogle ting, men nu vil jeg lige vise overordnet."
99000,107000," I kan se her meget af de røde nuancer, som er et symbol på kærlighed, og så meget de grønne."
107000,115000," Grøn er jo håbets farve, og det har vi også her."
115000,124000," Jeg tager bakkerne op igen og viser igen, og I må love mig, hvis der er nogen ting, I gerne vil have, jeg lige får vist undervejs,"
124000,128000," men I tænker, at jeg må vise det lidt tættere på, så må jeg bare sige til at kommentere her."
128000,132000," Og I kan også altid skrive til mig efterfølgende her på Facebook."
132000,137000," Jeg elsker, når I skriver og spørger, og det kan også være, det er noget særligt, at I godt kunne tænke jer at høre, hvad der er klært."
137000,142000," Ja, eller et look, I har, så sender I også bare gerne et billede."
142000,146000," Det er altid sådan lidt sjovt, når jeg skal sige, at folk skal sende et billede, for jeg kan godt høre nogle gange, at nogen siger,"
146000,148000," hvad er det for et billede, du skal se med mig?"
148000,154000," Det er altså ikke sådan et af de billeder, man ikke må se. Det er et billede af tøjet eller jeres ansigt."
154000,160000," Her har vi også noget med tiøj, men nu går jeg tilbage til den røde bakke."
160000,165000," Jeg har selv også i dag på, at jeg er meget sådan, at der er mange, der siger til mig, at når jeg har noget rødt på,"
165000,171000," så skal det være præcis den samme farve som i jakken eller toppen, som jeg også skal have på øreringene."
171000,174000," Der stopper jeg jer, for jeg synes, det er 100 gange flottere."
174000,179000," Og hvis man spørger nogle af de mest fancy stylister i verden, så vil de give mig ret."
179000,181000," Det er, at man arbejder i nuanceforskellen."
181000,186000," Så det vil sige, at når du har rød jakke, så skal du ikke tænke præcis den samme røde ørering."
186000,191000," Så skal du mere tænke, at det er smukt med noget rødt, men i en nuanceforskel."
191000,197000," Ligesom jeg har på nu, det er faktisk fuchsia calcedon, og så er det rød granat, og her er det så druzy i midten."
197000,200000," Men prøv lige at se, hvor smukt det ser ud."
200000,204000," Og det er, altså, sådan der. Der kan jeg godt holde mine arme."
204000,208000," Det, I ser her, det er også fuchsia calcedon. Skal jeg lige prøve at vise den op?"
208000,214000," Den er sindssygt smukt, den farve. Prøv at se her. Wow. Majestic. Ej, wow."
215000,217000," Meget smukt."
217000,220000," Og det kan godt være, I tænker, at det er en meget, meget voldsom farve."
220000,222000," Nej, det er det faktisk ikke, for I kan jo se, hvor flot den er."
222000,227000," Den er på hernede i fuchsia calcedon også, og det er faktisk en rigtig, rigtig klædende farve."
227000,229000," Også selvom den er lidt mere krads i farven."
229000,234000," Og så er det jo også sådan, at har du bare noget sort tøj på, så er det rigtig smukt med sådan en kontrast."
234000,240000," Og nu vil jeg lige, mens jeg lige viser her, så vil jeg lige vise også, at det kan være rigtig flot med lilla til sådan nogle farver."
240000,242000," Prøv at se, hvor flot det også er."
242000,244000," Det var lige en lille sidespring."
244000,248000," Det, I ser her, det er så rød onyx."
248000,256000," Og det, I ser her, min balloon, det er rød agat, som er sådan mere mørk, mere dyb rød."
256000,261000," Det her balloon, det var et design, jeg lavede til forrige kollektion, som vi så fortsætter med."
261000,265000," Nu har jeg så også lavet den i mini-varianten."
265000,271000," Som for flere er lidt nemmere at bruge, fordi den jo så ikke vejer så meget."
271000,274000," Og den er jo så rundt hele vejen rundt om."
274000,276000," Rundt hele vejen rundt om."
276000,278000," Meget smuk farve."
278000,280000," Så er der så også Gracious."
280000,282000," I kender den model."
282000,284000," Her er i rød agat og i rød onyx."
284000,287000," Pure Drop, også i rød agat og i fuchsia calcedon."
287000,290000," Det her er et af mine nye design-stager, som jeg elsker."
290000,295000," I fuchsia calcedon, rød agat, rosa calcedon og hvid toupace."
295000,297000," Det er en meget klædelig ørering, fordi den er lang."
297000,300000," Så det vil sige, at det er faktisk en meget slankende ørering."
300000,306000," Ja, det lyder sjovt, men det der med lange ørering er faktisk rigtig godt og meget slankende for ansigtet."
306000,312000," Generelt er det jo ikke så godt med noget, der er helt rundt, fordi der bliver de fleste af os runde i ansigtet."
312000,317000," I kan også se, hvor flot det er til mig, at det er lange og så den er stor drobeformet nede i bunden."
317000,320000," Det fremhæver faktisk min kindben."
320000,324000," Så har jeg her Divine-modellen."
324000,328000," Granat og rød agat."
328000,332000," Prøv at se. Og igen, det er også super flot til den røde jakke her."
332000,339000," Det er mere en anden type af rød, hvor det her er mere pang, så det her er en mere dæmpet rød ørering."
339000,343000," Det her, Blumemodellen, priser og alt sådan noget, må I altså også endelig bare spørge mig."
343000,348000," Nu viser jeg simpelthen det hele, så derfor kan det være lidt uoverskueligt for mig, hvis jeg skal huske priserne."
