start,end,text
0,2000," Wooo!"
2000,4000," Toodaloo, derudsede venner!"
4000,8000," Jeg har bare så meget lyst til at snakke om lyserød ædesten i dag."
8000,15000," Vi kalder det for Pink Paradise, for der er så mange fantastiske lyserøde, rosa nuancer af ædesten."
15000,19000," Og ved I hvad? Man bliver bare ekstra glad i bolden af lyserød."
19000,25000," Måske også fordi, at ædesten Rosenquartz, den kalder man for kærlighedsten."
25000,28000," Så den er der rigtig meget kærlighed i."
28000,33000," Og det bringer mig så til den, jeg har på i dag, Lovebeets, som er med lyserød jade,"
33000,37000," og med Rosenquartz, og så er der også nogle hvide topacer,"
37000,41000," og en smuk rosa Tahiti-perle."
41000,45000," Den er bare sindssygt flot."
45000,47000," Og I kan godt se, at den er lyserød, men den er ikke sådan noget, man tænker,"
47000,50000," \"Hold da op, hun er en lyserød grisblads, der kommer og går ude der.\""
50000,55000," Den er bare så smuk med kombinationen af alle ædestenene sammen."
55000,58000," Og det, der sker, når man kombinerer mange ædesten, som jeg gør i Lovebeets,"
58000,61000," det er, at hver ædesten fremhæver hinanden."
61000,64000," Så det er altså også det, der er med til at gøre dem helt særlige,"
64000,66000," for så kan man også bruge dem til rigtig meget."
66000,71000," Nu har jeg så, fordi det er et hverdagslook, der har jeg taget en hvid topac Ørstik på,"
71000,74000," fordi jeg synes, det er rigtig flot, det hvide topac samler."
74000,82000," Hvis jeg skulle til fest, så vil jeg ændre, og så vil jeg i stedet for tage de store Elegant Drops på,"
82000,84000," fordi så bliver det mere festligt."
84000,90000," Men inden jeg lige fortsætter, så synes jeg lige, at jeg skal vise jer bare et lille vym nedover nogle lyserøde ædesten,"
90000,93000," som jeg har taget frem her, som jeg vil vise jer nogle af."
93000,96000," Amen altså, det ser flot ud, ikke?"
96000,100000," Til den her Lovebeets, prøv at se, nu har jeg så også taget armbåndene på her, som passer."
100000,104000," Her har vi så Rosenquartz, og så har vi også Rosenquartz."
104000,108000," Det her er en billigere Rosenquartz, den er også meget stor, og det her er en finere Rosenquartz."
108000,111000," Og her er så de samme ædesten, som der er i halskæden."
111000,117000," Jeg har så også bemærket det her meget smukke lyserøde armbånd, som faktisk er,"
117000,120000," jeg ved ikke om man helt kan se det, men den changerer mere i farverne,"
120000,126000," det er Crazy Smukke Morganite ædesten, som er en meget, meget dyr ædesten,"
126000,128000," og så er det en diamant der."
128000,134000," Og prøv at se, hvis jeg havde den på sammen med, det ser også rigtig godt ud."
