start,end,text
0,8000," Jeg er ekstra godt humør i dag. Og det er ikke bare fordi, at det er mandag og en ny fantastisk uge er godt i gang."
8000,16000," Men også fordi, at jeg har pink på. Det kan I jo godt se. Rosetøjplade, rosetop, pink ørering."
16000,23000," Og så har jeg faktisk også taget en pink rosa lovebit på. Men den tager jeg lige af, fordi det er til sidst, vi skal snakke om den."
23000,26000," Så den tager jeg lige af til at starte med."
26000,32000," Og inden jeg går i gang, så vil jeg lige sige, at har I nogle spørgsmål, så skal I endelig bare skrive dem herunder."
32000,37000," Eller skrive en privat besked til mig. Priser er jeg virkelig dårlig til at huske."
37000,42000," Så derfor er jeg ikke så god til at se mine videoer. Men I må love mig altid at skrive til mig."
42000,47000," Også fordi, at jeg bliver typisk græbet af og vil vise så mange ting, så kan jeg simpelthen ikke huske alle priserne."
47000,49000," Så det håber jeg, I bærer over med."
49000,52000," Men jeg elsker lyserød."
52000,56000," Og der var faktisk en, der sagde til mig her fra leden, at lyserød har sådan en lidt beroligende effekt."
56000,60000," Så det er også rigtig godt for os. Der er altid i gang med mange ting at kigge på lyserød."
60000,64000," Men man bliver også bare glad af boldene at kigge på lyserød. Jeg gør i hvert fald."
64000,68000," Og lyserød er jo mange forskellige ting. Der er mange forskellige typer af lyserød."
68000,73000," Og derfor vil jeg vise jer nu lidt forskellige lyserød-eddesten."
73000,76000," Jeg har nu taget det her, og tigger tørrklæder på."
76000,82000," Jeg elsker de her tørrklæder. Det er Silke Casimir, som vi jo sælger fra 899."
82000,85000," Det her koster 1399. De er så smukke."
85000,88000," Og har rigtig mange farver i sig, så derfor passer de til rigtig meget."
88000,91000," Men selvfølgelig også til lyserød."
91000,96000," Og jeg har så i dag taget Majestic på med rosa kalsedon."
96000,98000," Mega flot. Mega lækkert."
98000,104000," Det der jo er med lyserød-nyancer, det er uanset hvordan du vender og drejer det, så er det jo selvfølgelig et feminilt look."
104000,108000," Og det kan vi jo godt lide også en gang imellem. Ikke sandt?"
108000,111000," Den er rigtig flot med Majestic."
111000,115000," Det ville også være rigtig flot med den her balloon."
115000,119000," Som balloon er virkelig blevet en klassiker for mig."
119000,122000," Det er en ny model, jeg har lavet og designet her i sommer."
122000,124000," Men prøv lige at se hvor smukke de er."
124000,126000," Og den er også rigtig god, fordi den ikke er så stor."
126000,129000," Den er sådan lidt perleagtig, modellen."
