start,end,text
0,2000," Wup, wup, wup, wup, wup!"
2000,4000," Toodaloo derud, søde venner!"
4000,5000," *sig*"
5000,7000," Marilyn Monroe, hun sagde det."
7000,9000," Diamonds are a girl's best friend."
9000,11000," Det kan vi godt blive enige om."
11000,13000," Jeg elsker alle andre ødersten også."
13000,15000," Men diamander, diamander, diamander!"
15000,17000," Det har bare noget særligt."
17000,20000," Og i dag fik jeg lige lyst til at lave en live"
20000,24000," om to af mine Diamant Designs kollektioner."
24000,28000," Infinity og Treasure, som er de to mest populære kollektioner,"
28000,31000," jeg har i min diamantserie, om man så må sige."
31000,33000," Jeg fik lige lyst til at lave det, fordi jeg har"
33000,36000," sådan en tredje lille ben, lille kollektion"
36000,39000," i min diamantserie, nemlig tennisarmbåndene."
39000,42000," Og der fik jeg lige hjem i dag mit nye design"
42000,44000," fra min produktion."
44000,46000," Og jeg er ligesom en lille baby."
46000,48000," Jeg sagde også til mor, at jeg ringede til hende,"
48000,51000," da jeg åbnede forsendelsen, fordi jeg har jo siddet"
51000,53000," med alle mine, og jeg har jo siddet og valgt diamanterne"
53000,55000," ud over Skype og alt det der."
55000,58000," Det er der med at sidde med smykket."
58000,60000," Det endelige smykke i hånden."
60000,63000," Årh, jeg elsker det. Jeg er ligesom en lille pige."
63000,66000," Og når det så er et af diamantdesignene,"
66000,68000," så er jeg endnu mere oppe at køre."
68000,69000," Altså, jeg skal næsten have duftet salt,"
69000,71000," så fantastisk jeg synes, det er."
71000,72000," Men prøv at se her."
72000,75000," Det er mit nye diamantdesign."
75000,78000," Jeg kalder det for Icon tennisarmbåndet."
78000,79000," Prøv at se."
79000,81000," Årh, jeg skal. Årh."
81000,83000," Og jeg ved, der er nogen af jer, der allerede ser med derude."
83000,85000," Og siger, \"Hvad siger du? Er det ikke lige noget for dig?\""
85000,87000," Jeg tror også, det ligner så meget."
87000,89000," Jeg tænker, I elsker det også bare det her."
89000,91000," Prøv at se, hvor flot det ser ud."
91000,94000," Det er så de tre typer tennisarmbånd,"
94000,96000," jeg har designet so far."
96000,98000," Hvem ved, måske der kommer flere til."
98000,99000," Jeg tænker det faktisk."
99000,101000," Det kunne lade sig gøre, måske."
101000,102000," Jeg ender med, som mor sagde mig,"
102000,104000," at det bliver snart sådan en helt arabisk dame"
104000,106000," at se på med alle de armbånd."
106000,108000," Jamen altså, man er jo en reklamesøl selv, ikke?"
108000,111000," Så, uh, I love it."
111000,115000," Nå, men det jeg vil vise, det var som sagt mine to serier."
115000,117000," Ej, hvad hedder det? Jeg er helt forgabt i det her."
117000,120000," Det var som sagt, ja, Helene, jeg vidste, du elskede."
120000,122000," Det var som sagt mine to serier,"
122000,124000," \"Infinity\" og \"Treasure\", som jeg vil vise jer nu."
124000,127000," Mine to mest populære serier i diamantkollektionen."
127000,130000," I de to serier, der bruger jeg en meget, meget høj kvalitet,"
130000,132000," \"Color Clarity\", det vil sige, det fungler meget."
132000,136000," Det, jeg viser jer primært nu, det er mine designs i hvidguld,"
136000,139000," fordi jeg selv elsker mest hvidguld,"
139000,142000," fordi diamanterne fungler mere i hvidguld."
142000,145000," De bliver bare lidt mørkere. Ja, dig, Lillian, altså, du vil jo også."
145000,148000," Jamen altså, kan vi få for mange diamanter?"
148000,151000," Jeg tænker ikke, det kan lade sig gøre at få for mange diamanter, vel?"
151000,153000," Anyways, tilbage til, hvorfor jeg selv synes,"
153000,156000," det er smukkest at have brillianter i hvidguld,"
156000,158000," det er, fordi de shiner mere."
158000,159000," Men det er jo en smagsag."
159000,161000," F.eks. min mor, hun elsker rosaguld,"
161000,162000," så det er lige meget."
162000,165000," Jeg kan lige så godt give op, hun vil bare have rosaguld."
165000,167000," Diamanterne bliver mørkere, fordi det er jo mørkere guldfarve,"
167000,169000," men sådan er det."
169000,170000," De er jo stadig fantastisk smukke."
170000,172000," Ja, og en lise, du ser selvfølgelig også med nu."
172000,174000," Prøv lige at se, altså."
174000,176000," Amen, altså."
176000,181000," I skal bare sige, hvis I skal bestille lidt,"
181000,183000," prisen må jeg lige tage med og efterfølgende,"
