start,end,text
0,13000," Toodaloo venner! Jeg er så stolt af mig selv, fordi jeg sagde, at jeg gik live 1930."
13000,21000," Og bum! Sørme om ikke, jeg tror, at klokken er præcis 19.30."
21000,28000," Og mens I kommer til og lige har fundet sodavanden frem, måske et glas vin, jeg ved det ikke,"
28000,31000," så kan jeg da godt lige fortælle, hvad jeg drikker."
31000,38000," Fordi når jeg går live på Facebook, så er det altså vildt. Så går det virkelig, virkelig, virkelig, virkelig vildt for sig."
38000,45000," Jeg drikker simpelthen varmt vand. Ja, fordi det, jeg har fået at vide, er supergodt."
45000,49000," Og det er faktisk, fordi jeg prøver på at lade være med at drikke så meget Pepsi Max."
49000,53000," Så når jeg kommer hjem, så er det kun varmt vand."
53000,55000," Og noget af det vigtigste er at drikke en flot kop."
55000,58000," Og det er jo lidt ligesom det der med at bære smukke smykker."
58000,61000," Ja, det er faktisk også det ydre, der tæller."
61000,65000," Selvfølgelig betyder det også, hvad der er inde i. Og det betyder også, hvad jeg drikker."
65000,67000," Men det er også det ydre, og det ser smukt ud."
67000,73000," I dag, der skal vi snakke om... Nu er det jo vandtidens dag på mandag."
73000,77000," Så er der jo rigtig mange. Jeg var selv inde i butikken på Blanders Far i dag, og der var..."
77000,83000," Hej, Inge-Lise. Ja, altså, jeg ved, du også elsker den her kop."
83000,85000," Jeg skal også lige sige hej til jer alle sammen, der ser med."
85000,91000," Jeg kan se, at Natalie, Angelina, Jesper, mig... Hej, velkommen til."
91000,92000," Tak, fordi I ser med."
92000,95000," Jeg har fået at vide fra min mor, kan jeg afsløre."
95000,98000," Jeg ved ikke, om hun ser med. Det gør hun nok, det er jo lidt."
98000,104000," At jeg skal være meget stille og roligt. Stille og roligt i gang."
104000,108000," Sådan så I får tid til lige at komme med live."
108000,113000," Det, der skal handle om i dag, det er... Nu sagde jeg det lige før."
113000,116000," Det er jo vandtidens dag på mandag."
116000,120000," Vi kvinder er okay med blomster, men vi vil helst have smykker."
120000,122000," Ja, vi vil helst have smykker."
122000,126000," Nu klarer jeg det så fint selv, men vi vil helst have smykker."
126000,130000," Hej, Nina. Og hej, Karin og så med."
130000,135000," Det, der skal handle om i dag, det er styling af øjenfarve."
135000,139000," I forhold til, hvordan vi fremhæver vores øjenfarve."
139000,141000," Det gør vi sjovt nok med øreringene."
141000,145000," Så mens I lige kommer på her online, så kunne jeg godt tænke mig,"
145000,148000," at når I kommer på, så lige skriver, hvad er jeres øjenfarve."
148000,152000," Jeg lavede sådan en på min Instagram, hvor jeg spurgte, hvad er folks øjenfarve."
152000,157000," Sjovt nok, ikke særlig overraskende, er de fleste danskere blå øjne."
157000,161000," Nummer to er grønne, og nummer tre er brune."
161000,164000," Der er ikke så mange, der har brune øjne i Danmark."
164000,168000," Blå øjne er blå og lyst hår. Det er det meste."
168000,172000," Hvis I lige gør mig den her tjeneste. Nå, det er super godt."
172000,175000," My Manikæ, hun kommenterer selv brune."
175000,179000," Jeg skal lige sige, at hvis I bliver lidt forvirret over, at der står My Manikæ"
179000,185000," også i kommentarfeltet, så sidder jeg lige her med min mor, Vivica Manikæ."
185000,189000," Hun er simpelthen bant for Facebook, og det er helt sindssygt."
189000,192000," Men så har hun fået lov at være med på min profil,"
192000,194000," så hun bruger også min profil de her dage."
194000,197000," Er det ikke sygt at være blevet udelukket fra Facebook?"
197000,200000," Det er kugeluk. Det er satme centur."
200000,202000," Nå, så fik jeg også lige den med på vejen."
202000,204000," Men hun skal nok komme tilbage igen."
204000,207000," Men kommenter meget gerne med, hvad er jeres øjenfarve."
207000,212000," Det er også ekstra sjovt for jer at holde øje med, når jeg snakker om jeres øjenfarve."
212000,216000," Jeg har selvfølgelig ti \"Ja tak\" tilbud med i dag,"
216000,220000," der allesammen er relateret til en af de tre øjenfarver."
220000,223000," Men inden jeg går videre med det,"
223000,226000," der er så mange ting, vi skal rundt om i dag,"
226000,228000," og så skal jeg lige sige skål igen."
228000,231000," Det er altså virkelig..."
231000,235000," Nu ved jeg, at min mor tager med, at hun synes, det her er så tosset, at jeg drikker varmt vand."
235000,239000," Men det hjælper på at få mig til at lade være med at drikke for meget Pepsi Max."
239000,243000," Maj, du har grågrønne øjne. Nina har grågrønne. Nanna har grønne."
243000,246000," Ja, der er rigtig mange, der har det her grågrønne."
246000,250000," Jeg skulle lige sige, at hvis I deler den her live video undervejs,"
250000,252000," og det er kun undervejs,"
252000,254000," Nina spørger, om det er en parfume."
254000,258000," Jamen det, I så kan vinde, hvis I deler den her live video,"
258000,260000," og det er kun mens jeg er live,"
260000,265000," det er den her Autigia håndcreme."
265000,268000," Flore er jo mega lækker. Jeg har den selv liggende i min bil,"
268000,270000," fordi jeg sørger for at få brugt en masse håndcreme."
270000,272000," Den har jeg med, at de er på 199."
272000,275000," I må lige skrive os delt,"
275000,277000," fordi jeg har fundet ud af,"
277000,281000," ja, Natalie, det er hej Lotte, du har blå øjne, dejligt."
281000,283000," Og Helle har blå øjne og lysgrå hår."
283000,286000," Natalie, ja, det er sindssygt, at min mor er blevet banet."
286000,288000," Det synes jeg også er helt vildt."
288000,290000," Men jeg tør ikke at sige, hvem der sidder og styrer Facebook."
290000,292000," Det er jo også en gammel socialdemokrat,"
292000,295000," så det hænger måske sammen nogle ting."
295000,297000," Nå, vi skulle ikke være politiske i dag,"
297000,299000," men det kan jeg sgu nok ikke helt undgås."
299000,302000," Anyways, hvis I deler den her live undervejs,"
302000,304000," så skriv lige delt,"
304000,306000," og bagefter gøn og se, hvem der har delt."
306000,308000," Det kan man ikke, når det er på ens private profil."
308000,310000," Det kan jeg, hvis det er på Duo's side,"
310000,312000," men det kan jeg ikke her."
312000,314000," Skriv gerne lige, at I har delt,"
314000,316000," og så er I med i konkurrencen omkring den her"
316000,318000," Ortiga Cecilia håndkrænkt til 199."
318000,320000," Jeg husker jer lidt på det undervejs."
320000,322000," Tak Jane, fordi du deler,"
322000,326000," og så husk at skrive, når I kommer til her,"
326000,328000," jeres øjenfarve."
328000,330000," Jeg har brune øjne."
330000,332000," Så lad mig kaste mig ud i det."
332000,334000," Tak Jane, fordi du deler."
334000,336000," Hej Lars, velkommen til."
336000,338000," Det her er noget for dig at holde øje med,"
338000,340000," fordi det er Vandtidens dag på mandag,"
340000,342000," så der er nogen, der skal huske at forkæle"
342000,344000," deres hustru, kæreste,"
344000,346000," elskerinde,"
346000,348000," who knows,"
348000,350000," døtre, mødre."
350000,352000," Alt skal forkæles på mandag."
352000,354000," Lad mig kaste mig ud i det,"
354000,356000," i forhold til det vi i dag,"
356000,358000," tak fordi du deler, Natania,"
358000,360000," det vi i dag snakker om,"
360000,362000," er stejling af øjenfarve,"
362000,364000," i forhold til at fremhæve ens øjne."
364000,366000," Det gør man ved at vælge nogle øringe,"
366000,368000," som er i ens øjenfarve."
368000,370000," Nu har jeg jo brune øjne,"
370000,372000," så til mig er det super flot"
372000,374000," med røgtopasædesten."
374000,376000," Vi tager de brune øjne til sidst,"
376000,378000," fordi der er færrest af jer,"
378000,380000," der har brune øjne."
380000,382000," Jeg skal lige se,"
382000,384000," folk skal dele offentligt,"
384000,386000," så kan man se i sin tekst."
386000,388000," Nå ja, I skal se,"
388000,390000," når I deler."
390000,392000," Hvis I deler den her live undervejs,"
392000,394000," så er I med i konkurrencen"
394000,396000," omkring den her"
396000,398000," Ortigia Cecilia med meget lækre håndcreme,"
398000,400000," som jeg selv bruger hver dag."
400000,402000," Den dufter af violer,"
402000,404000," og jeg siger, det er faktisk jasmin,"
404000,406000," den dufter af, den er virkelig god."
406000,408000," Tak fordi I deler."
408000,410000," Hej, Lene, du er også med."
410000,412000," Lad mig kaste mig ud i det."
412000,414000," Det første I får,"
414000,416000," det har ikke noget at gøre med øjenfarve."
416000,418000," Det er bare perfekt til alle."
418000,420000," Så hvis du også sidder derude,"
420000,422000," og er mand og ser med,"
422000,424000," og ikke lige kan huske,"
424000,426000," hvad er din hustrus øjenfarve,"
426000,428000," det er overraskende,"
428000,430000," men det er der mange mand, der ikke kan huske."
430000,432000," Jeg tænker, kigger I hende dybt i øjnene,"
432000,434000," eller så er I så betaget af hende,"
434000,436000," at I ikke kan se hendes øjenfarve."
436000,438000," De smykker, jeg viser undervejs,"
438000,440000," som der er tilbud på,"
440000,442000," dem køber I ved at skrive"
442000,444000," \"Ja tak\" numret herunder."
444000,446000," Det overfører på mobilepage 23 473,"
446000,448000," og vi sender gratis."
448000,450000," I kan også sende en sms på"
450000,452000," telefonnummer 40 31 20 45,"
452000,454000," så sidder min mor klar ved telefonen,"
454000,456000," og svarer jeg."
456000,458000," Så det er totalt teamwork,"
458000,460000," vi har gang i i dag."
460000,462000," Er det ikke fedt? Det er det altid,"
462000,464000," og i dag er det ekstra meget teamwork."
464000,466000," Det første par er som sagt,"
466000,468000," slet ikke noget relateret til en specifik øjenfarve,"
468000,470000," men de klæder alle."
470000,472000," Det er goddess med hvid topaz i forgyld."
