start,end,text
0,2000," Er I klar?"
2000,4000," Yes!"
4000,6000," Jeg ved ikke om I kan det her."
6000,8000," Det er lige over."
8000,10000," Det kommer den."
10000,12000," Okay, er vi klar?"
12000,14000," Go!"
14000,16000," Nej!"
16000,18000," Hvorfor gør det endnu?"
18000,20000," Det er den anden en, du faktisk også har sat på."
20000,24000," Det er den rigtige, den kommer nu."
24000,28000," Du har sat den på."
28000,32000," Nej, fordi jeg har prøvet at sætte en remix på."
32000,40000," Jeg tænker, at jeg er ude at købe den her."
40000,42000," Magadana."
42000,44000," Det er jo bare..."
44000,46000," Tirsdag!"
46000,48000," Hvad er det? Tirsdag?"
48000,54000," Magadana."
56000,58000," Kan jeg ikke høre den?"
58000,62000," Ej, hun har sjovt meget at rygte med."
62000,66000," Det er jo det, jeg sagde."
66000,68000," Jeg kan bare ikke lide at danse."
68000,70000," Og nå..."
70000,76000," Magadana."
76000,80000," Jeg kan ikke lade mig sjove meget."
84000,86000," Magadana."
86000,88000," Nu vil vi prøve at være i supergodt humør."
88000,90000," Det er faktisk supergodt humør."
90000,92000," Skal vi starte, mor?"
92000,94000," Kan du spørge musikken?"
94000,98000," Det er 1. marts i dag."
98000,100000," Og så sagde jeg til mor i morges,"
100000,102000," at vi skal lave en live,"
102000,104000," der virkelig byder velkommen til foråret."
104000,106000," Med smukke farverige smykker."
106000,108000," Så det er det, vi har med i dag."
108000,110000," Er du blevet forpustet, mor?"
110000,112000," To smukke søskende."
112000,114000," Ja, det er jo det, vi er."
114000,118000," Og så er den flot, som du hopper, mor."
118000,120000," Yes."
120000,122000," Prøv lige at se en flot læslef, mor."
122000,124000," Det er det, jeg kalder en marts kyssemund."
124000,126000," Ja, det er flot."
126000,128000," Det er vildt nok."
128000,130000," Det er den 1. marts, det er altså forår."
130000,132000," Og det er rigtig mange flotte, smukke farver."
132000,136000," Faktisk, inden vi går i gang, skal vi lige sige,"
136000,138000," at hvis I deler den her live undervejs,"
138000,140000," eller bagefter, bare inden klokken."
140000,142000," Nu kan jeg ikke engang huske, hvad jeg skrev."
142000,144000," Jeg skrev klokken 22 i aften, den 1. marts."
144000,146000," Så deltager I i en konkurrence"
146000,148000," omkring et gavekort på 1000 kr."
148000,150000," I skal bare lige huske at skrive herunder,"
150000,152000," at I har delt videoen,"
152000,154000," for ellers kan vi ikke se, hvem der har delt,"
154000,156000," for det kan man ikke, når det er på en fans side."
