start,end,text
0,2000," Det er en af 6 vagtmuligheder."
2000,10000," 10-årige Mille er den eneste her i Danmark, der lever med det, der hedder infiltrerende lipokonitose."
10000,17000," Det er en diagnose, der er bestillet, da Mille var 5 år gammel, og hun er altså formentlig den eneste herhjemme lige med den diagnose."
17000,22000," Vi tager senere med Mille og hendes mor om, hvordan den diagnose så fylder i familien,"
22000,27000," og hvorfor de har initieret os alle sammen med et program, der hedder \"De Schimmelne Danskere\"."
27000,31000," Men først vil jeg gerne lige vise jer titlen på denne her kommende bog."
31000,37000," Det er smykkedesigner, Maja Madeke, der skriver om mænd, når de er værst, hedder titlen på en bog,"
37000,40000," der endnu ikke er udkommet, men allerede har skabt et debat."
40000,42000," Maja Madeke, velkommen til."
42000,43000," Tak."
43000,48000," Hvad er det for nogle oplevelser, du har haft, at du simpelthen er nødt til at skrive om mænd, når de er værst?"
48000,53000," Jamen, jeg var selv ude for ekstraengaslejring i halvandet år, og da det desværre blev offentligheden kendt,"
53000,58000," der oplevede jeg en masse fordomme fra en masse andre, som \"hvordan kunne du det, Maja, hvordan kunne du finde dig i det?\""
58000,61000," Og der må jeg bare sige, at det var fordi, jeg ikke vidste, hvad der foregik,"
61000,64000," og jeg fik rigtig mange historier fra andre kvinder, der havde oplevet noget tilsvarende,"
64000,67000," og jeg fik sådan et øjeåbent og tænkte \"shit, hvad er det, der foregår derude?\""
67000,71000," Og så tænkte jeg, at der er så mange mænd, der ikke opfører sig ordentligt, nu skal vi satme sig et ord på,"
71000,73000," og det er så det, jeg gør i denne bog."
73000,76000," Gaslejring, mænd der ikke opfører sig ordentligt, manipulerende, narcissister,"
76000,81000," siger du også, du har samlet 27 historier om mænd, der opfører sig manipulerende."
81000,85000," Og du mener ikke, at de kvindernes eget ansvar, de havner der,"
85000,90000," men i stedet at det ligger der anden sted hos mændene, hvorfor er det ikke kvindernes ansvar?"
90000,94000," Jeg mener faktisk, at man ender som et offer, og jeg ser jo mig selv som rigtig stærk i mange andre sammenhæng,"
94000,100000," men lige her ser jeg mig selv som et offer i forhold til, at jeg oplevede den her ekstreme manipulation,"
100000,103000," og lige pludselig har man en helt anden forståelse af, hvad virkeligheden er,"
103000,107000," og man får hele tiden at vide, at mig det er bare dig, der er noget galt, men det er ikke dig, du ser synlig."
107000,111000," Og man mister sin eget selvværd, men hvem er man egentlig, hvad er det egentlig, der er virkelighed?"
111000,115000," Og det er en ekstremt stor skyld og skam, man så går rundt med også bagefter."
115000,118000," I stedet for at kigge indad på lige præcis den her,"
118000,120000," Maria Consolata har sat sig til forhold. Velkommen Maria."
120000,121000," Tak."
121000,126000," Du er en dætter, du er single, og du har også oplevet det her med at være i forhold,"
126000,130000," hvor manden har været manipulerende, men du mener derimod,"
130000,134000," at i hvert fald i dit eget tilfælde, at du skulle selv gøre noget af det, hvad gjorde du?"
134000,138000," Jamen jeg synes det er det her med, at fra den første kæreste du får,"
138000,143000," fra de her sommerfulde maven du har, til din næste kæreste, så lærer du jo noget."
143000,149000," Og så igen, alle de kærester jeg har haft, vil jeg nødt til at forstå, hvorfor er det, at jeg vælger de samme mænd?"
149000,151000," Hvorfor møder jeg de samme problemer?"
151000,155000," Kan det være noget med min barndom? Kan det være noget med, at jeg er en kipperpleaser?"
155000,158000," Og så skulle jeg ligesom arbejde med de her indskaber, jeg har med mig selv,"
158000,161000," for ligesom at kunne finde frem til en god mand."
161000,166000," Og det vil sige, at du valgte derefter andre typer?"
166000,172000," Ja, jeg vil nok sige, at når noget ikke var godt for mig, så vil jeg jo ikke blive ved med at gå efter det."
172000,176000," Og så tror jeg også, at jeg lærer det her med, at når folk viser dig, hvem de er, så tro på dem."
176000,180000," Så fordi jeg tror på dem, så vil jeg jo ikke blive ved med at være sammen med den person,"
180000,182000," når de viser mig, at de ikke er god for mig."
182000,183000," Hvad siger du til det, Maja?"
183000,184000," Jeg er helt uenig."
184000,188000," Jeg vil ikke sige, at jeg har været sammen med rigtig mange dejlige mænd gennem tiden,"
188000,190000," der så er gået i stykker andre i andre grunde."
190000,194000," Ham, jeg så faktisk var sammen med sidst, var ud af til den perfekte mand,"
194000,197000," og alt var godt en helt anden type, end jeg faktisk havde været sammen med nogensinde før."
197000,200000," Og jeg synes simpelthen, at det er for nemt at sige, at det er bare dig, der skal kigge indad."
200000,203000," Og det er jo også, at det er meget, i min verden er det meget en strimt vigtig blæming,"
203000,206000," og det er faktisk derfor, at jeg mener, at den bog er endnu mere vigtig."
206000,209000," Fordi det handler ikke om at kigge indad, det handler også om, at der er nogle mænd,"
209000,213000," der bare simpelthen ikke opfører sig ordentligt, og mener, at de skal kunne have syv kvinder på én gang,"
213000,216000," og være utro og netop manikurere helt mænd."
216000,221000," Jamen, er det ikke rigtigt, at hvis mændene har opført sig dårligt overfor dig,"
221000,223000," så er det da mændenes problem?"
223000,228000," Jamen, altså jeg synes, hvis vi bare tæller generelt, der er mænd, som opfører sig dårligt,"
228000,231000," der er veninder, der opfører sig dårligt, men dem holder jeg mig bare væk fra."
231000,235000," Der er mennesker, som er toxic, hvis man skal bruge det begreb,"
235000,239000," og jeg tror bare, det her med at lære, hvor mine grænser går,"
239000,242000," og lære, hvad der er godt for mig, og hvem jeg gerne vil have i mit liv."
242000,245000," Jeg synes, hver dag møder du dejlige mennesker, men du møder også mennesker,"
245000,250000," som er utrolige, uhøflige, og dem holder jeg mig bare væk fra."
250000,253000," Meninde Roman, velkommen. Du er psykolog og parteriopør."
253000,258000," Prøv lige at hjælpe os her. Hvem har ansvaret for, at man er og bliver i et forhold med mænd,"
258000,263000," der som mig beskriver er gaslightere, manipulerende?"
263000,268000," Lad os spørge på en anden måde. Er der bestemte kvinder, der tiltrækker de typer?"
268000,274000," Altså, man kan sige overordnet. Vi har jo i sidste ende ansvaret for, hvor vi er,"
274000,279000," eller hvor vi bliver, fordi vi kan alle sammen havne i et forhold, der er usundt."
279000,281000," Det tror jeg er vigtigt at sige noget om."
281000,286000," Men om vi bliver der, det er der, det er vigtigt at fokusere hen."
286000,291000," Fordi de andre dage, med mindre der er nogen, der har en pistol-fortænding med os,"
291000,297000," så bliver vi nødt til at kigge på, hvorfor det er, vi gentagent finder os i nedbrydende adfærd."
297000,299000," Hvor længe blev du i det forhold?"
299000,303000," Jeg vil siddig sige, og det er også gennemgående for de fortændinger i historien,"
303000,306000," mange af de kvinder har ikke været i den type forhold før. Det var jeg heller ikke selv."
306000,310000," Så jeg kunne ikke se de der faresignaler. Det var det, man så lærer at finde ud af,"
