start,end,text
0,4000," Happy New Year! Happy New Year!"
4000,9000," Det virker måske en lille smule tosset at sige \"Godt nytår\" i dag,"
9000,15000," men ikke desto mindre, så er det nytår i dag."
15000,22000," I hvert fald i Kina, og jeg synes det er helt fantastisk at fejre det kinesiske nytår,"
22000,29000," fordi at hvert år i det kinesiske år har en særlig betydning."
29000,37000," Og inden jeg går i gang med at fortælle lidt om 10-året og fortælle lidt om 10-årige Edersten,"
37000,41000," så vil jeg lige stille og roligt først sige skål derude."
41000,45000," Det er en super god årgang."
45000,49000," Det eneste er bare, at det faktisk er free, fordi jeg kan ikke tåle alkohol."
49000,55000," Men det skal ikke afholde mig fra os at skåle med jer, fordi jeg elsker at skåle,"
55000,59000," og jeg elsker, når der er noget der skal fejres, og det skal det altså nu."
59000,61000," Vi skal fejre 10-året."
61000,64000," Og først vil jeg lige sige velkommen til alle jer, der allerede er med."
64000,68000," Marianne, Jonas, Natasja, velkommen til."
68000,70000," Det er så fedt, at I ser med."
70000,72000," Og jeg vil prøve noget nyt."
72000,76000," Det er faktisk noget, jeg begynder lige at fortælle lidt om med det samme."
76000,81000," Alle der ser med og deler den her video, det kan være nu, eller det kan være bagefter,"
81000,85000," bare inden i morgen kl. 17, tror jeg det var jeg skrev."
85000,87000," Det vil sige den 2. februar."
87000,95000," Hvis I deler den her live, så er der intet mindre end et gavekort på 1000 kr. på højkant til min forretning."
95000,100000," Eller det vil sige vores forretninger i Aarhus eller København kan man gå ind og vælge for 1000 kr."
100000,105000," Det er et gavekort, og det gavekort trækker jeg løjet om blandt alle, som deler den her live."
105000,109000," Enten mens jeg er live, eller bagefter."
109000,112000," Jeg skal nok huske at fortælle lidt mere undervejs."
112000,117000," Og så kunne jeg faktisk også godt tænke mig, inden vi går i gang, at høre lidt om, hvor er I fra i landet?"
117000,120000," Altså jeg er lige nu her i Shellongdun."
120000,124000," Nogle gange er jeg også i Aarhus, men i dag er jeg i Shellongdun."
124000,131000," Og nogle gange er jeg også i vores butik i København, men i dag er jeg lige nu i mit hjem i Shellongdun."
131000,135000," Så det er her, jeg laver live fra i dag, og det er her, jeg skåler med jer i dag."
135000,137000," Skal jeg lige skåle igen?"
137000,141000," Det er super, super god overgang."
141000,144000," Men altså som sagt, del meget gerne af den her live."
144000,149000," Der er et gavekort på 1000 kr. på højkant, blandt alle dem, der deler den her live."
149000,153000," Og så siger jeg lige velkommen til dig."
153000,156000," Louise er med, Bjarne er med, Tina og Maria er med."
156000,161000," Det er fedt, Tina, at du er tilbage på Facebook. Velkommen tilbage."
