start,end,text
0,5800," Vi skåler med vores venner og dem, som vi kender."
5800,10200," Ja, det havde jeg virkelig meget lyst til."
10200,13000," Godt se, nu skal jeg lige gå en lille catwalk for jer."
13000,17000," Så går det catwalk, som jeg nu kan."
17000,20000," For de ene værker, næste mål, skal jeg nok være ærlig at sige."
20000,28800," Men jeg går en lille catwalk, og jeg har trukket i en, synes jeg selv, ret pæn lille sort kjole."
28800,32800," Og jeg har selvfølgelig hældt op i glasset."
32800,38000," Dem, der kender mig rigtig godt, de ved godt, at det ikke er bobler, der er i her, som i noget med alkohol i."
38000,41000," Det er faktisk faktisk country free, for jeg kan ikke tåle alkohol."
41000,45200," Men jeg elsker at drikke faxe fra et champagneglas."
45200,50200," For mig er det også bare det der at holde en champagneglas i hånden, hvor man bare er sådan,"
50200,52600," \"Åh, det er bare så fedt det her altså.\""
52600,54400," Det er livet, fest og farver."
54400,59000," Og nu er det jo så fantastisk, at fra på tirsdag, så er corona slut."
59000,62400," Så det vil sige, at nu må vi gerne få lov til at feste igen."
62400,65800," Og jeg kan love jer for, at vi skal tage livet tilbage."
65800,67800," Og jeg håber også, at I allerede har gjort det."
67800,73200," Men fra på tirsdag, så åbner klubber, og vi skal ikke have alt det der corona-pass shit."
73200,74200," Undskyld, jeg siger det."
74200,77400," Men tirsdag, at alt er godt igen."
77400,80800," Så kan man så spørge sig selv, hvorfor det ikke bare åbner nu."
80800,82400," Men altså, den lader vi stå."
82400,86200," Anyways, det nu siger jeg først lige, skål!"
86200,88200," Og så håber jeg, at I ser rigtig godt med derude."
88200,92600," Fordi jeg vil også prøve sådan lidt i dag, og lave sådan lidt test undervejs,"
92600,94800," hvad I synes, der er det flotteste."
94800,99200," Det jeg også gør herunder, nu har I set mig stå med champagneglasset."
99200,101600," Og nu har I også set, at jeg havde sådan en lille fin taske."
101600,103600," Og nu har I også set, at jeg har..."
103600,106000," Kan I se stiletterne?"
106000,107200," Det kan I ikke så godt se."
107200,110400," Ja, Uni, vi går fantastiske tider ned."
110400,112800," Kan I se, at jeg har stiletter på?"
112800,116000," Ja, for fanden, det skal fejres, Inge-Lise, altså."
116000,120000," Nu har I set, at jeg har en lille sort kjole på."
120000,122400," Og jeg har en fin taske og fin sorte sko."
122400,124800," Så det er en meget enkelt tøjlook."
124800,126600," Og det er jo det, som der er rigtig mange af os."
126600,130600," Der går en lille flot sort kjole, sort taske, sorte sko."
130600,133400," Og så er det der smørre, der gør en kæmpe forskel."
133400,135200," Og det vil jeg vise nu."
135200,138200," Og det er 10 ja-tak-tilbud også."
138200,142000," Så det vil sige, at det, jeg viser, er der også en særlig god pris på i dag."
142000,144800," Og godt afsløre, at det er store øreringe, vi snakker om."
144800,147600," Der er lidt forskellige stinarter, men det er store øringe."
147600,152600," Måden, det foregår på, det er, hvad jeg siger, f.eks. det her ja-tak-01."
152600,157400," Er I interesseret i det smykke, kommenterer I herunder med f.eks. ja-tak-02."
157400,158600," Så fremdeles."
158600,164000," Og så er smykket jeres, hvis I overfører på MobilePay 23.473."
164000,165600," Og vi sender gratis."
165600,169600," Så det er simpelthen så nemt at lade mig kaste mig ud i det."
169600,173800," Jeg starter ikke med at fortælle om dem, jeg har på, selvom det er nogle af mine egne favoritter."
173800,179600," Men jeg starter med at fortælle om Magnolia her."
179600,181400," Prøv at se. Wow!"
181400,188000," Og prøv at se her. Hvis jeg havde taget dem på nu, det ville jo være et helt, helt andet look."
188000,191600," Og mega flot til at give sådan lidt det der..."
191600,198000," Det er jo Amazonitter, den er sådan grøn-grå-tyrkis, og så er det Chrysoprasa, og så er det Labradorit."
198000,200800," Og det giver virkelig noget kolorit til det her look."
200800,203600," Altså wow! Bare wow!"
203600,208800," Og det er ja-tak-01 til 3199."
208800,212400," Normalt pris er det 4499."
212400,217600," Og Magnoliaen her, den har jeg lavet så smart, så man kan nemt tage..."
217600,220400," Så kan man også bare have en ørestik."
220400,226200," Men til fest skal vi have store ører på, så der skal vi satme have hvidhængende på."
226200,233200," Den jeg har på nu, 02, ja-tak 02, er Majestic, som jeg har på."
233200,235800," Og de ligger til 2899."
235800,239800," Og det er altså... Jeg elsker den her sorte hematid, fordi den har det her jernglans."
239800,241000," Kan I se hematiden?"
241000,243800," Og det er altså ja-tak 02 til 2899."
243800,246200," Og nu vil jeg så lige lave en lille test."
246200,249000," Whoopty! Med min Lovebeads."
249000,250800," Jeg elsker Lovebeads."
250800,254200," Fordi trækket, når man går ud, det er jo... Og de kan man kæde på nogle gange også,"
254200,256200," fordi så bliver du sådan lidt mere stjernet op."
256200,261200," Og netop sorte ørerringe her Majestic kan godt være en lidt mørk model."
261200,268600," Men når du så kommer en Lovebeads på, så er de outstanding som festørerringe."
268600,269800," Prøv lige at se."
269800,276600," Nu har jeg så taget Lovebeads på her med røgtopas og sort onyx, diamanter og pyrite."
276600,278200," Rigtig, rigtig flot."
278200,284000," Hvis I synes, at det er det her, der er flottest stjerneringe, så skriv Lovebeads 1."
284000,286000," Jeg er ret spændt på at høre, hvad I synes."
286000,289000," Lovebeads 1, hvis I synes, det er den her, der er den flotteste."
289000,298200," Men jeg kunne også tage den her Lovebeads på, som har sådan det her, jeg kalder den Chanel-looket."
298200,301200," Så skal jeg næsten også lige have min Chanel-taske op."
301200,303000," Whoop, whoop, whoop!"
303000,307600," Med hvid agat, månesten og røgtopas og sort onyx."
307600,314400," Hvis I synes, at det er Lovebeads 2, jeg skal tage på, så skriv Lovebeads 2."
314400,315400," Det er altså lidt spændt på."
315400,317200," Hvad synes I, om det skal være den sorte?"
317200,319600," Skal jeg lige gå hele vejen tilbage?"
319600,325000," Altså, jeg kan lige særlig godt afsløre, at jeg har lidt ondt i mit ben i dag, fordi jeg har både cyklet 12 kilometer,"
325000,329000," gået 10.000 skridt og trænet knætræning."
329000,333400," Det skal man lade være med mig, når man kun er 4 måneder siden, man har været ude for en udløb."
333400,336200," Og så havde jeg lovet, at jeg ikke ville snakke om min udløb, men jeg kan ikke lade være,"
336200,339800," fordi lige nu gør det altså lidt ondt, så jeg prøver på at bare være positiv."
339800,341200," Nå, hvad synes I?"
341200,343600," Skal det være Lovebeads 1?"
343600,350400," Nej, Lovebeads 2, Chanel-lugget, eller Lovebeads 1, som er med røgtopas og sort?"
350400,351800," Det er jeg meget spændt på, hvad I synes."
351800,356200," Det kan I altså også bare skrive bagefter, fordi jeg går ind og kigger, hvad det er, I svarer."
356200,361800," Det er lidt sjovt, fordi det gør virkelig en stor forskel med de her Lovebeads-halskæder."
361800,364800," Anyways, lad mig komme videre."
364800,369200," Det kan godt være, at min mor er bedre til at lave de der tester, altså."
369200,370600," Who knows?"
370600,372600," Det var faktisk for hende, jeg havde det tit med at lave sådan nogle tester,"
372600,374600," men det går ret ikke, det fungerer så godt inde hos mig."
374600,375600," Hvem ved?"
375600,379000," Nu er det så nummer Ja Tak 03."
379000,380800," Den er der rigtig mange, der drømmer om."
380800,383200," Det er Ja Tak 03 til 2199."
383200,385400," Prøv at se her med dem her på."
385400,388200," Det bliver sådan lidt mere elegant, fordi det er med den hvide topaz,"
388200,390800," og så druzy i midten, og så blå topaz."
390800,395000," Og hvis man har blå øjne, så er den jo altså bare fantastisk."
395000,398800," Det er Ja Tak 03 til 2199."
398800,404000," Og faktisk er det den samme style, bare i røde ny..."
404000,405600," Eller hvad hedder det?"
405600,406600," I rosa nyancer."
406600,412600," Ja Tak 04 med fuchsia calcedon, druzy og granater."
412600,415600," Og det er til 2199 selvfølgelig også."
415600,417600," Og det er altså Ja Tak 04."
417600,419000," Prøv at se den."
419000,419600," Wow."
419600,421200," Og det er også... Se igen, ikke?"
421200,425000," Det er et helt andet look, end da jeg havde den anden model."
425000,428200," Altså, og den her fuchsia calcedon... Wow."
428200,430800," Den giver virkelig noget glød op til ansigtet."
430800,435200," Ja Tak 04 til 2199."
435200,438600," Så kommer jeg til en anden lyserød."
438600,442000," Nemlig Majestic med fuchsia calcedon, som er..."
442000,445400," Ja, Inge-Lise, vi tager Love Beats 2 Chanel'erne, ikke?"
445400,446800," I agree with you."
446800,449600," Love Beats... Nej, Majestic det her."
449600,453600," Ja Tak 05 til 2499."
453600,459200," Det er jo den samme eddersten, der var i bunden af den, jeg viste før."
459200,462600," Men den bliver lidt mere klassisk, når det er på Majestic."
462600,467600," Fordi den bliver jo ikke... Det er jo heller ikke så farvevæk, fordi det er kun én eddersten, som jeg viser."
467600,468600," Meget flot."
468600,472600," Og det var altså Ja Tak 05 til 2499."
472600,475400," Ej, hvor er det spændende."
475400,480600," Her er så en ørering til hende, der ikke vil give den alt for meget gas,"
480600,484000," og måske er lidt klassisk, enkelt skandinavisk i sit look,"
484000,487800," men også tør at bruge lidt store øreringe."
487800,493600," Men ikke er så vant til at bruge store øringe, fordi den er perfekt, når den er i hvid topaz med sølv."
493600,496600," I kan godt se, der er det egentlig mest bare eddersten, man ser,"
496600,498800," og det ligner en kæmpe diamant."
498800,502400," Og det er altså Ja Tak 06 til 2499."
