start,end,text
0,4000," Toodaloo, søde venner. Det er søndag."
4000,9000," Og jeg havde faktisk en ambition om, at jeg ikke rigtig skulle lave så meget arbejde i dag."
9000,11000," Og puha, bare slappe af."
11000,15000," Og det har jeg egentlig også klaret sådan okay godt indtil nu."
15000,18000," Fordi jeg så tænkte, at jeg havde også sådan en dag."
18000,23000," Kender I det? Nogle dage, så synes man bare, at vejret er lidt grønt."
23000,24000," Meget grønt, faktisk."
24000,28000," Og derfor er man måske ikke sådan helt op og flyve og i supergodt humør."
28000,30000," Sådan har jeg haft det hele dagen."
30000,33000," Og hvad gør jeg så for at opleve bedre humør?"
33000,37000," Jo, jeg tager en farverig trøje på og nogle farverige øreringe."
37000,39000," Fordi det bliver faktisk et rigtig godt humør af."
39000,42000," Og så tænkte jeg, det skal jeg da også lige fortælle jer lidt om i dag."
42000,47000," Det her med, hvad farverige smykker faktisk gør for bum bum humøret."
47000,49000," Også på en søndag."
49000,54000," Og så skal man jo også huske, at humøret er jo, hvad vi selv gør det til."
54000,58000," Det vil sige, at vi kan vælge at sige, at det hele er noget lort."
58000,61000," Eller vi kan vælge at sige, at i dag er jeg ikke helt på toppen, men alt er godt."
61000,62000," Alt er virkelig godt."
62000,69000," Så er det bare på med nogle ekstra farverige smykker, eller gør også bare noget andet, som gør noget godt for en selv."
69000,73000," Så det var lige pep-talken her til eftermiddag."
73000,78000," Og så er det også bare for at sige, at ingen mennesker, simpelthen ingen mennesker i hele verden,"
78000,82000," synes, at alt er liv og lutter afkage hele tiden."
82000,83000," Sådan er det bare."
83000,86000," Så lad os også blive enige om det, og det er helt okay."
86000,94000," Så vil jeg nu kaste mig ud i 10 netop 10 ja tak tilbud."
94000,98000," Og det er alt sammen, næsten alt sammen med farverige eddelsten."
98000,101000," Fordi jeg elsker at bruge farverige eddelsten."
101000,105000," Ligesom blandt andet den her grønne onyx og chrysopras, de vejen jeg har på."
105000,107000," Men den vender jeg tilbage til."
107000,112000," Måden det foregår på, det er jo ved, hello hello, Lilian."
112000,119000," Og så hej til dig, Lotte. Du ser også med, og min mor ser også med."
119000,123000," Det er godt. Det er rigtig godt, I ser med derude."
123000,125000," Nu vil jeg kaste mig ud i det."
125000,127000," Jeg skulle lige fortælle lidt omkring, hvordan det foregår."
127000,131000," Det foregår på den måde, at jeg viser 10 ja tak tilbud."
131000,135000," Og priserne er ca. 30% rabat."
135000,137000," Og der er kun de 10 smykker, jeg viser."
137000,140000," Og det er kun på de 10, så det er ikke den samme style i en eller anden eddelsting."
140000,142000," Det er kun de 10 smykker, jeg viser."
142000,145000," Jeg siger så, at det her er ja tak 01."
145000,149000," Og prisen, hvis I så er interesseret i det smykke, så skriver I bare i kommentarfeltet,"
149000,154000," ja tak 01 og så fremdeles, ja tak 10, hvad det nu er for et smykke."
154000,156000," Og så skriver jeg direkte til jer bagefter."
156000,161000," Og betaling foregår så på mobilepay, 23 873 og gratis fragt."
161000,164000," Så det er faktisk ret nemt, hvis jeg selv skal sige det."
164000,174000," Lad mig kaste mig ud i den første, og det er en klassisk model, nemlig Elegant Drops."
174000,177000," Og her er det så med grøn onyx i sort sølv."
177000,184000," Det der jo sker, når man kombinerer nogle farverige eddelsten med sort sølv, det er, at det bliver mere rødt."
184000,188000," I kan jo godt se her, og prøv lige at se også til den trøje, jeg har på."
188000,190000," Altså det er jo sådan et rigtig sønderstrik, den her."
190000,192000," Der ser det jo super godt ud."
192000,200000," Og jeg bliver også ved med at sige, at da jeg var indlagt på grund af alt med den meget spændende udløb,"
200000,204000," der var det, der betød noget for mig, i forhold til hvordan jeg så ud, det var ørerringe."
204000,206000," Jeg skulle have ørerringe på."
206000,210000," Min mor synes, at jeg var tosset, da jeg den første dag er indlagt."
210000,214000," Vildt rigtigt, den første dag jeg er indlagt, der siger jeg til mor, da hun skal ind til mig,"
214000,216000," \"Mor, husk nogle ørerringe til mig.\""
216000,218000," \"Hvad? Er der ikke vigtigt at tænke mig?\""
218000,220000," \"Nej, ørerringe, fuck hvad, fuck alt det der.\""
220000,224000," Jeg skulle bare have ørerringe på, fordi når jeg lige gik ud på toilettet,"
224000,228000," eller lige så mig selv på en af storejælderne, så blev jeg glad af at se, at jeg havde smykker på."
228000,230000," Så det gør virkelig meget ved humøret."
230000,238000," Anyways, Jatac 01 til 1749, normalpris er 2499."
238000,240000," Det var altså Jatac 01."
240000,244000," Der kommer måske en god historie hen ad vejen i dag, og det håber jeg bare, at I er klar på."
244000,246000," Det kan vi godt læne nogle gange."
246000,249000," Så er det så Jatac 02."
249000,251000," Den er ikke med noget farve på eller noget,"
251000,253000," men den synes jeg bare simpelthen skulle med."
253000,255000," Det er nemlig hoopsene her."
255000,257000," Og det er altså også en klassiker."
257000,259000," Super flot, super råt."
259000,262000," Hvis man går meget med tørklæder, så er det også rigtig flot med sådan en hoop."
262000,265000," Og det er Jatac 02 til 1099."
265000,267000," De er fast i mit eget smykkeskrin også."
267000,271000," 1099, normalpris er 1599."
271000,273000," Og så i sort søm."
273000,275000," Så kommer vi til en her, jeg elsker."
275000,277000," Jeg elsker den her."
277000,279000," Det er Blum."
279000,281000," Blum."
