start,end,text
0,3000," Tududu, derude sidder venner!"
3000,5000," Åh, åh, åh!"
5000,10000," Jeg har brug for forår, og det tænker jeg, vi rigtig mange derude har brug for."
10000,14000," Så jeg tog lyserød svætter på i morges, og så lyserød ørering."
14000,24000," Og derfor fik jeg vildt meget lyst til at lave en smykkeleje med 10 forskellige \"Ja tak\" bud på lyserød smykker."
24000,28000," I forskellige nuancer, alt efter hvilken ædersten, men lyserød."
28000,32000," Det er ligesom temaet lyserød og rødligagtig."
32000,41000," Og I skal lige se, jeg har bare jeans, sneakers, lyserøde svætter og de her Iconic Wonder."
41000,44000," Dem kommer vi tilbage til. Måske er de her med i min 10 bud."
44000,49000," Det er de jo nok, hvis I allerede har fundet ud af, at dem jeg er på selvfølgelig også altid er med."
49000,52000," Måden det foregår på, det er 10 forskellige smykker."
52000,55000," Der er gode priser på alle 10 forskellige."
55000,58000," Det er kun dem, der er kun et par af hver."
58000,63000," Og det foregår sådan, at det første smykke siger \"Ja tak 01\" prisen."
63000,67000," Og er I interesseret i det, så skriver I herunder i kommentarfeltet."
67000,70000," Og så sender jeg en privat besked bagefter."
70000,74000," Og det hele foregår på mobilepay og gratisfragt i Danmark."
74000,79000," Så det er ret nemt. Hvis I har nogle spørgsmål, må I også endelig bare skrive undervejs."
79000,85000," Og hvis I først ser live, når jeg er færdig, så er smykkerne jo selvfølgelig stadig available,"
85000,87000," hvis de ikke er blevet solgt imellem tiden."
87000,93000," Så, men kommentarer, skriv bare og lad os så gå i gang med lyserød."
93000,95000," Lykke, wohooo! Jeg elsker lyserød."
95000,98000," Lyserød er faktisk en ret beroligende farve. Det vidste I nok ikke."
98000,107000," Vi tager den første \"Ja tak 01\", som er Faceted Circle her med rosa kalsedon."
107000,115000," Og \"Ja tak 01\" til 699. Normalt koster de, skal vi lige se her, 999."
115000,122000," Og den er virkelig god også, hvis man skal på arbejde. Den er bare så nem og altså rigtig god gave også."
122000,125000," \"Ja tak 01\" 699."
125000,130000," Ja, Lotte, lyserød er også en fantastisk smuk farve. Det er også min yndlingsfarve."
130000,133000," Jeg har lyserød og sofa. Jeg har rigtig meget lyserød."
133000,140000," Så har vi \"Ja tak 02\", som er det her bommelsarmbånd med en meget smuk hvid topaz,"
140000,142000," som er rigtig fedt også at kombinere med andre."
142000,148000," Det er \"Ja tak 02\" til 1199. Og normalt er det 1799."
148000,154000," Jeg finder bare sådan lidt som kategoriner her. Så har vi \"Ja tak 03\", \"Ja tak 04\","
154000,156000," men det er meget sjovt. Jeg synes, det er ret sjovt faktisk."
156000,158000," Jeg bliver helt græbet af det. Det kan I nok godt mærke på mig."
158000,161000," Når jeg faktisk bliver græbet af noget, så bliver det hver dag."
161000,164000," Jeg lover jer, jeg laver ikke hver dag, men jeg kommer til at lave en del,"
164000,166000," for nu synes jeg, det er vildt sjovt det her."
166000,172000," Anyways, så har vi \"Ja tak 03\", og den ved jeg, der er rigtig mange, der drømmer om den her ring."
172000,177000," Det er extravaganza med rhodolid. Men det er altså i den største 52, så det er kun den."
177000,181000," Og det er en \"Ja tak 03\" til 2999."
181000,190000," Normalt er det 4799. Det er omkring 30-40% rabat, jeg laver, men det er kun på de ting, jeg viser."
190000,199000," Og vi siger lige igen, \"Ja tak 03\" i størrelse 52 til 2999, og normal pris 4799."
199000,202000," Den er mega fed. Så skal jeg lige prøve at vise den på den anden hånd her."
202000,208000," Den er så cool. Så cool, Maj. Du er så god til at designe hjemme."
208000,211000," Man skal være lidt glad ved sig selv også, ikke?"
211000,221000," Så har vi \"Ja tak 04\" til 1699. Det er \"Intent it\" med rosa kalsedon og hvide topazer."
221000,226000," Skal vi lige se, om den kan zoome ind. Den er ikke så god til at stille skarp."
226000,232000," Men det er som sagt \"Ja tak 04\" til 1699. Normalt ligger de til 2499."
232000,237000," Så er der en klassiker her. Det kunne faktisk også være mega cool til det, jeg har på nu her."
237000,245000," Rosa forgyldt \"Triple Leafs\". \"Ja tak 05\" til 999. Normalt koster de 1399."
245000,248000," Prøv lige at se, hvor fedt det vil se ud til det, jeg har på nu også."
248000,256000," Alt det, jeg har lavet i det her materiale, som er noget kun jeg har lavet, er meget let at have på."
256000,258000," Så det vil sige, at man føler ikke, at man har en stor øregring på."
258000,265000," Og så også, at når en øregring bevæger sig, så ser det bare super godt ud, fordi der er noget liv."
265000,269000," Så det var altså \"Ja tak 05\" til 999."
269000,275000," Så er der en ny ædesten, jeg er begyndt at bruge rigtig meget i vinterkollektionen."
275000,277000," Jeg skal lige huske mig selv på tingene."
277000,286000," Det er \"Fuchsakalcedon\" her. Det er \"Ja tak 06\" til 2499. Normalt 3599."
286000,291000," Og det var altså \"Ja tak 06\". Prøv lige at øve det, og læg mærke til den flotte ny nejde, jeg har fået i dag."
291000,295000," Ja, alt er lyserødt og rødt og sådan noget. Alt er godt. Alt er godt."
295000,298000," Det er virkelig vigtigt at huske. Alt er godt."
298000,307000," Så har vi en mega smuk baværing. Ups! \"Ja tak 07\" til 3499."
307000,317000," Og normalt pris er det 4999. Det er med \"Fuchsakalcedon\", \"Aquakalcedon\", \"Mørkeblåkalcedon\" og \"Osa-kalcedon\"."
317000,325000," Og det var altså \"Ja tak 07\" til 3499. Prøv lige at se, hvor flot. Ej, wow!"
325000,329000," Hold op, hvor ville det have været flot også til den trøje, jeg er på nu."
329000,338000," Wow! Ej! Prøv lige at se. Ej! Og så også med håret oppe. Ej!"
338000,340000," Åh ja, we love it!"
340000,352000," Så er der en \"Groozy\" baværing her. \"Ja tak 08\" til 2199. Prøv at se. \"Golden Groozy\" og \"Granat\" og \"Fuchsakalcedon\" til 2199."
352000,357000," Og normalt ligger de til 3199. Og det var altså \"Ja tak 08\"."
357000,362000," Jamen jeg skal lige huske priserne. Jeg bliver bedre og bedre til det, men jeg kommer aldrig til at kunne huske det ud af det."
362000,365000," Så når vi frem til den næste."
365000,373000," Og det er selvfølgelig et par af mine nye \"Iconic Drop\" her med \"Rosa Calcedon\" som er \"Ja tak 09\"."
373000,379000," Ja, Helene. Jeg er gået fra at det var de store, jeg viste før. Du siger \"vum vum vum\" fordi de er \"vum vum vum\"."
379000,385000," Anyways, \"Ja tak 09\" til 1199 med \"Rosa Calcedon\" normalt 1799."
385000,389000," Og så når vi til dagens sidste."
389000,399000," Og det er dem jeg selv har på, som er \"Iconic Wonder\" med \"Fuchsakalcedon\", \"Rød Agathe\", \"Rosa Calcedon\" og \"Hvid Topaz\"."
399000,403000," Jamen jeg vidste Helene, at du ville være sindssygt flot med de andre, jeg viste før."
403000,407000," Anyways, \"Ja tak 10\" hvis I vil have dem her."
407000,413000," Det ene par der er til 3499 og normalt koster de 4959."
413000,416000," I øvrigt kan I godt se. Prøv at se her. Hvis ikke jeg har nogle smykker på."
416000,422000," \"Boring\". Øreren på. Mega fedt. Mega fedt."
422000,430000," Og så \"Vum vum vum vum\". Jeg kan ikke rigtig finde ud af det der med at sætte musik på mens jeg laver live."
430000,434000," Kunne jeg det, så kan jeg love jer for, at der var fest herinde også."
434000,437000," Men det er der alligevel, fordi alt er godt og lyserød."
437000,441000," Så nu fik jeg vist jer lidt forskellige smykker med lyserøde, rødelige, øde sten."
441000,444000," Hvis I er interesseret i noget af det, så skriver jeg bare hernede."
444000,447000," Kan I have verdens bedste dag alle sammen."
447000,452000," Og husk, vi lever kun én gang, så lad os få det bedste ud af det hver dag."
452000,454000," Tak fordi I så med."
