start,end,text
0,5000," Tudeløb derude. Dagens smykkelife."
5000,13000," Synes jeg selv er ekstra, ekstra dejligt, fordi den skal handle om kærlighed i dag."
13000,18000," Og uden at jeg skal belæmre jer med min private historie, fordi det holder jeg privat,"
18000,22000," men jeg synes også, at kærlighed kan være lidt svært nogle gange."
22000,25000," Og sådan er det, fordi det kan vi ikke selv styre."
25000,28000," Det er jo det eneste ting i livet, vi simpelthen ikke selv kan styre."
28000,32000," Men vi kan vælge at sige, at vi tror på kærligheden."
32000,34000," Og jeg tror personligt på kærligheden."
34000,39000," For mig er kærlighed faktisk det, der gør livet værd at leve i enhver sammenhæng."
39000,46000," Kærlighed til arbejdet, til familien, til venner, til verden, til hinanden, til alt."
46000,49000," Kærlighed det er bare overalt."
49000,52000," Og lige om lidt er det jo så vandetinsdag."
52000,56000," Og det er jo ikke, fordi vi kun skal fejre kærligheden på vandetinsdag."
56000,60000," Men jeg fik rigtig meget lyst til i dag, altså af mange grunde,"
60000,66000," at lave 10 ja-tak tilbud på smykker, hvor der er ekstra meget kærlighed."
66000,71000," Og inden jeg går ud i at vise de 10 smykker, så skal jeg lige vise jer den her baviaen."
71000,77000," Og når I ser den, så tænker I, hvorfor viser mig en elefant med en løftet snabel?"
77000,83000," Det skal jeg starte med at sige, fordi den her elefant, den betyder noget helt særligt."
83000,89000," Det er en, jeg har fået håndlaget i Indien, hvor produktionen af alle mine eddestendesign foregår,"
89000,92000," i en by, der hedder Jaipur, som er meget, meget fokuseret på det."
92000,95000," Det eneste, de laver, stort set, det er alt med eddesten."
95000,97000," Det her er ren Rosenquartz."
97000,101000," Ren Rosenquartz-eddesten, som faktisk også er det, der er i min ørerringe her."
101000,106000," Og Rosenquartz er lige præcis kærligheds-eddesten."
106000,108000," Så bemærk jer den."
108000,112000," Får I en gave med Rosenquartz, så er det altså en, der virkelig, virkelig vil jeg gerne."
112000,116000," Og det er bare, jeg har fået en håndlaget og også selv designet den."
116000,120000," Og en elefant med en løftet snabel, det betyder held."
120000,122000," Så den har en helt særlig betydning."
122000,128000," Den vejer en bundegård, og jeg står her med et ikke så godt håndlaget på grund af min ulykke."
128000,131000," Og jeg bærer den, og jeg elsker den."
131000,133000," Jeg elsker den her elefant."
133000,136000," Sådan en kan jeg jo også altid bestille."
136000,139000," Jeg kan stadig godt lave dem for jer, men den er en lille smule dør."
139000,143000," Så den pris, den tager vi på et andet tidspunkt, tænker jeg, hvis der er nogen, der er interesseret."
143000,149000," Og det var så også lige tilbage til det her med, at Rosenquartz, som også er det, jeg har på her,"
149000,151000," det er kærligheds-eddesten."
151000,154000," Når man tror meget på smykkers betydning, eddestens betydning,"
