start,end,text
0,12560," Så er jeg Sørmelej igen her. I dag fik jeg lyst til, at det skulle handle om nogle smukke set."
12560,18440," Hvordan man kan bruge øreringene alene eller med en smuk halskæde, ligesom jeg har på nu."
18440,24880," Blum, hvor jeg har matchet labradorit i glow halskæde med labradorit i øreringene."
24880,31600," Inden jeg kaster mig ud i de 10 set, vil jeg lige sige, at det er et rigtig godt styling tip."
31600,38960," Det her med, at til hverdag bruger du øreringen til fest. Når du skal ud, så kombinerer du med en halskæde."
38960,43400," Det er super godt. Det gør jeg selv tit til hverdag. Der ser jeg mig tit med nogle øreringe."
43400,47280," Det kan være store eller små. Når jeg skal ud, så har jeg altid en halskæde på."
47280,52200," Primært bruger jeg det langt, men jeg synes også, det kan være rigtig flot med en kort halskæde."
52200,55440," Det vil I se, når jeg viser de her 10 forskellige set."
55440,61920," Nogle af setene er lidt af de dyre. Der er også en diamant set med i dag, men sådan er det."
61920,63680," I skal jo se lidt af det hene."
63680,70880," Inden jeg kaster mig ud i det, så husk, at der kun er de her 10 \"ja tak\" tilbud."
70880,72880," Det er kun de 10 set, der er."
72880,79800," Måden det foregår på, er, at jeg siger \"ja tak 01\", \"ja tak 02\" og så fremdeles."
79800,84880," Hvis I så er interesseret i det set til den pris, jeg siger, så skriver I bare i kommentarfeltet herunder."
84880,86880," \"Ja tak\", og så er det nummer."
86880,89480," Så skriver jeg direkte til jer bagefter."
89480,92960," Så ordner vi det på mobile pay og gratis fragt."
92960,93960," Hej betjener."
93960,97240," I må endelig skrive med, hvor I meget gerne."
97240,99680," I må endelig kommentere undervejs."
99680,101680," Kom med nogle spørgsmål."
101680,104400," Anything. Just let me know."
104400,108240," Det set, jeg har på, er jo selvfølgelig også et \"ja tak\" tilbud."
108240,110240," Men det er 10'eren. Det er det jo altid."
110240,112240," Det har I jo lært efterhånden."
112240,114880," Nu skal jeg huske mit lille DOSMA-kort her med priserne på."
114880,116880," Fordi jeg kan ikke huske det i hovedet."
116880,120240," Jeg tænker altid, \"okay Maj, den dag du kan huske priserne på dine designs i hovedet,"
120240,122240," så er jeg lige klar til den lukkede.\""
122240,125960," Og når der så også er rabatter, fordi der er op til 30."
125960,127960," Det er faktisk også lidt mere på noget af det,"
127960,129960," fordi hovedregningen er ikke så godt for mig,"
129960,131960," så jeg runder bare op eller ned."
131960,135240," Lad mig kaste mig ud i det."
136240,144240," Den første \"Ja Tak 01\" er med mini-balloon i rød agat."
144240,149240," Og det er alt af både halskæde og øring."
149240,152240," Så når I hører prisen, så er det på både halskæde og øring for alt."
152240,157240," Og det er \"Ja Tak 01\" til 2699."
157240,162240," Normalt priser er 3898 for det her set med rød agat."
162240,166240," Og halskæden er 64 cm. Det er en rigtig, rigtig god længde."
166240,168240," Det var altså \"Ja Tak 01\"."
168240,170240," Så har vi \"Ja Tak 02\"."
170240,175240," Jeg freaking elsker den her eddesten."
175240,178240," Prøv at se her. Wow!"
178240,181240," Nu tager jeg lige den ind i sættet."
181240,184240," Det er selvfølgelig med sæt øring, så det er to øringe."
184240,186240," Men nu ser I lige her. Prøv at se her."
186240,190240," Det er \"Rainbow Quartz\"."
190240,192240," Prøv at se, hvor smukt den er."
192240,195240," Den er grøn-rød, og det er helt unikt."
195240,200240," Det er en quartz, som jeg får farvet, så den får den her helt særlige farve."
200240,202240," Og prøv at se her. Også den lille halskæde."
202240,206240," Og jeg synes, det er rigtig fint, hvis man har store øringe som \"Gracious\" modellen på her."
206240,210240," Så har man en kort halskæde med \"Pure Drop\"."
210240,213240," Så det vil sige, at det eddesten, man matcher, det vil være for meget."
213240,217240," Hvis det var \"Gracious\" også på halskæde, så ville det blive \"Too Much\" når den er kort."
217240,223240," Men store øringe og en kort halskæde er rigtig fint, også hvis man har en skjorte eller noget, hvor man gerne vil have den."
223240,225240," Man lige ser den heroppe."
225240,230240," Og det her set med øringene og halskæden ligger til 2.999,-."
230240,234240," Og det er altså \"Jatak 02\" til 2.999,-."
234240,237240," Normalpris er 4.498,-."
237240,241240," Så det er ca. 30%."
241240,245240," Jeg er simpelthen ikke så god til at hovedregne, men I kan nok selv regne ud."
245240,248240," Jeg skriver det også bagefter her nedenunder."
248240,254240," Den her, vi kommer til nu, er i en lille smule af den peberede ende."
254240,260240," Og det er simpelthen fordi, at det er en sindssygt dyr eddesten, der hedder \"Aquamariner\"."
260240,263240," Prøv at se her. De er psykopatsmukke."
263240,265240," Wow!"
265240,267240," Aquamarinen er en meget, meget dyr eddesten."
267240,271240," Den her er sådan en lidt milkig aquamarine, som er endnu smukkere."
271240,277240," Og det koster simpelthen, her er det så med halskæden igen på 64 cm."
277240,280240," Hvis I gerne vil have den på 44 cm, så får I altså også bare det."
280240,282240," Det koster det samme."
282240,284240," Se her halskæden også."
284240,286240," Den er så smuk."
286240,289240," Det er et meget, meget, meget smukt, meget klassisk set."
289240,295240," Normalpris for det her, og nu er vi op i \"Jatak 03\", er 12.198,-."
295240,299240," Det er altså en meget, meget dyr eddesten aquamariner."
299240,305240," \"Jatak 03\" prisen er 44.199,-, så det er lidt en besparelse, der er på det her set."
305240,307240," Meget smukt."
307240,309240," Meget, meget smukt."
309240,312240," Den næste, det er så her."
312240,319240," De er altid i mit eget smykkeskrin, fordi at med goddess i sort tøl og hvidt opasa,"
319240,322240," så går man bare aldrig galt i byen."
322240,326240," Og så kombinerer jeg med \"Gracious\" på lang halskæde."
326240,331240," I kan godt se, kan I se, at med ørerringe her, det er super flot og super råt."
331240,335240," Det vil altså også bare være mega cool til det her på nu med sådan en blonde top,"
335240,339240," og så for at gøre det lidt mere råt, så hvidt opas i sort tøl."
339240,343240," \"Gracious\" halskæden og goddess ørerringe i hvidt opas og sort tøl."
343240,349240," Det set, det koster, nu skal I lige se, det er \"Jatak 04\" til 25.199,-."
349240,355240," Normalpris er 38.148,-, og det er altså \"Jatak 04\" for det her set."
355240,358240," Og halskæden er 79 cm."
358240,362240," Wow, man kan næsten bruge det som sådan en medaillon, kan I se det for jer?"
362240,364240," Jeg falder i søvn nu."
364240,367240," Det gør jeg så ikke af den grund, det gør jeg måske af andre grunde,"
367240,370240," men ikke lige af den grund. Jeg håber heller, I gør det."
370240,378240," \"Jatak 05\" er, hvad hedder det, et af mine nye designs, \"Iconic Drop\" her med grøn onyx."
378240,384240," Grøn er jo symbol på helvede, er det ikke det? Det siger vi det er."
384240,386240," Og det er meget smukt."
386240,391240," Igen er det 54 cm, hvis I vil have den på 44 cm, så er det heller ikke noget problem."
391240,397240," \"Jatak 05\" til 34.199,- her \"Iconic Drop\" med grøn onyx."
397240,402240," Normalpris er 5.057,-, og det er altså \"Jatak 05\" til 34.199,-."
402240,407240," Jeg håber ikke, at det er forvirrende, hvis det er forvirrende, så må I altså sige \"stop mig\"."
407240,412240," Det der, at det går for hurtigt, eller at det går for langsomt, eller lige midt imellem."
412240,415240," Skru tempoet op, skru tempoet ned, I don't know."
415240,417240," Okay, nu kommer diamantzettet."
417240,420240," Og det er kvadrum her, prøv at se."
420240,422240," Wow."
422240,428240," Dem har jeg selv, og jeg bruger dem rigtig meget, når jeg skal ud, fordi den er bare så smuk."
428240,431240," Men jeg bruger dem også til hverdag uden halskæde."
431240,436240," Prøv at se her, det er så store hvide topaz i midten, og så er det single cut diamanter rundt om."
436240,442240," Og fordi vi jo kører set i dag, så er det selvfølgelig også med halskæden, som jeg har lige her."
442240,448240," Og I kan godt se, at på halskæden er der kun én af firkanterne, og i ørerringene er der tre."
448240,455240," Så det er sådan også for at skabe mere harmoni, og så er det rigtig flot netop igen med de store ørerringe, og så en kort halskæde."
455240,460240," Kort halskæden er igen på 54, men kan også komme på 44."
460240,468240," Det er Jatac 06 til 9.399,-, så vi er lidt over i den peberede ende, men det er altså også diamanter."
468240,474240," Og så er det her med normalpris af 13.500,-, så det er altså også en god rabat."
474240,476240," Ej, hvor er de bare smukke."
476240,481240," På alle mine diamantdesigns, der følger jeg selvfølgelig et certifikat med."
481240,485240," That goes without saying, men nu sagde jeg det alligevel."
485240,492240," Så er vi videre til nummer Jatac 07. Er det ikke bare spændende at se, hvad jeg har set?"
492240,499240," Der er det faktisk mini-balloon igen, fordi den er på meget kort tid, det var jo første sommer, jeg lavede den."
