start,end,text
0,1000," *ding*"
1000,3000," *hu-hu-hu-hu-hu-hu*"
3000,5000," Så er jeg totalt live i dag."
5000,9000," Jeg skulle lige holde øje med, hvem der skrev til mig, fordi det går lidt amok altid på mine messager."
9000,11000," Men!"
11000,15000," Nu går jeg faktisk mormandikke i bedene."
15000,19000," Jeg havde egentlig sagt, at nej, det gør jeg ikke mor, men det gør jeg alligevel."
19000,24000," Fordi der er rigtig mange af jer, der skriver mig, kan du ikke lave det samme, som din mor også laver med de her smykkeleje?"
24000,30000," Hvor det er meget nemmere for jer at købe med det samme, fordi det er jeg rigtig dårlig til det her med priser."
30000,34000," Men! I dag har jeg taget mig sammen, og så tænker jeg, let's do it, mig."
34000,41000," Fordi nu er min mor her ikke i dag, og så kan jeg jo godt lige gøre det, uden at hun tænker, ja, I told you so, you're gonna do it."
41000,42000," Hmm."
42000,44000," Nå, men!"
44000,46000," Måden det foregår på."
46000,51000," Hvis I har set på min mors Facebook, så ved I, at det er ved, at jeg viser et smykke."
51000,55000," Og så siger jeg f.eks. \"Ja tak 01\" og fortæller prisen."
55000,58000," Og så skriver I, hvis I er interesseret i det, \"Ja tak 01\"."
58000,60000," Det er meget, meget nemt."
60000,66000," Nå, nu ser min mor alligevel med, så tænker hun, at hvis det mig ville gøre det en dag, så bliver hun rigtig glad."
66000,72000," Mor, du er på vej til Aarhus, du skal holde pænnerne på rettet og ikke være med på Facebook."
72000,76000," Men de smykker, jeg vil vise jer, det er 10 forskellige."
76000,82000," Og det er nogle super gode priser, men det er kun på de 10, og der er kun et par af hver."
82000,84000," Og det er helt op til 40%."
84000,87000," I må selv regne ud præcis, hvor meget, men jeg fortæller bare, hvad det er."
87000,93000," Jeg har lidt valgt ud, også efter, at jeg jo elsker det her med at bruge store ørering til hverdag."
93000,96000," Det kan I se, at jeg også har i Vinnie."
96000,99000," Det kan I se, at jeg også har på her."
99000,103000," I dag har jeg så, der var lige en lille stridhår der, det kan vi ikke så godt lide, men det er okay nogle gange."
103000,108000," Jeg elsker at have store øreringer på til hverdag, og nu har jeg bare, I kan da godt lige få det over at se lige nu,"
108000,110000," hvad skal jeg lave en lille kaffebrug her?"
110000,112000," Ja, det gør jeg lige."
112000,115000," Jeg har et par, som jeg synes er ret fede, Chanel sneakers,"
115000,119000," og så en Elsa Adams blonde top, og jeans,"
119000,123000," og så har jeg taget de store Hermetic gemcluster på."
123000,125000," Megafedt, megafedt."
125000,127000," Sort tøn er altid et hit til hverdag."
127000,132000," Det første, jeg vil vise, det er også nogen i sort tøn."
132000,134000," Det er Simple Cluster."
134000,138000," Hvis I er interesseret i dem, de koster normalt 1499,-"
138000,140000," Hej Lillian, dejligt du ser med."
140000,142000," De koster normalt 1499,-"
142000,144000," Det er så 999,-"
144000,147000," Så slår du \"Ja tak 01\"."
147000,150000," Og de vil jo også være megafede til det, jeg har på her."
150000,153000," Det fede ved dem er også, at de changerer, eller changerer hedder det jo ikke,"
153000,157000," men de spiller så meget i lyset, så det ser bare rigtig godt ud."
157000,161000," Den næste, det er så \"Ja tak 02\"."
161000,164000," En af mine klassikere, Triple Leaves."
164000,167000," De koster normalt 1399,-"
167000,171000," Men \"Ja tak 02\" får dem til 899,-"
171000,173000," Jeg synes, det kører det her."
173000,176000," Har I nogle spørgsmål, så må I endelig bare skrive."
176000,180000," Lov mig, at I skriver også, når live er færdigt,"
180000,182000," for I kan jo altid svare efterførende også."
182000,185000," Her har vi så, ja jeg ved jo godt hvad det er,"
185000,187000," jeg skulle bare se, hvad prisen var."
187000,190000," \"Gracious\" og det er til 1999,-"
190000,192000," og normalt er det 2999,-"
192000,194000," og det er \"Ja tak 03\"."
194000,195000," Det vil jo også være rigtig fedt."
195000,198000," Altså i det hele taget er Hematib bare,"
198000,201000," jeg elsker den ædesten, prøv lige at se, hvordan den har det her jernblands."
201000,204000," Jeg bruger den rigtig meget i mine designs, fordi den er sort,"
204000,206000," men ikke sort, hvis I kan forstå, hvad jeg mener med det."
206000,207000," Det kan I nok godt."
207000,210000," Den her rondel, \"Majestic\","
210000,214000," ja, der hedder den \"Ja tak 04\","
214000,217000," og de koster normalt 3599,-"
217000,219000," det bliver så 2499,-."
219000,221000," De er ikke på hjemmesiden,"
221000,227000," fordi det er helt nyt, at jeg har lavet dem her med lilla kalsidoren i sort sølv."
227000,228000," Tak Lillian."
228000,230000," Du må skrive, hvis der er noget, der er \"Ja tak\" til dig."
230000,232000," Prøv lige at se her."
232000,235000," Den er så smuk, den lilla."
235000,237000," Fordi den er meget mørke lilla,"
237000,239000," men den er jo ikke sort,"
239000,240000," men nej, den er bare,"
240000,242000," og det vil jo også være super cool,"
242000,244000," og det behøver ikke at bryde det med lige lidt lilla."
244000,247000," Jeg synes selv, de er ret lækre."
247000,252000," Så har vi \"Ja tak 05\"."
252000,254000," Det er meget godt, at jeg selv kan huske det."
254000,256000," Det er så, de var igen noget sort hermetid,"
256000,258000," fordi jeg elsker at bruge sort hermetid til hverdag."
258000,259000," Sådan er det bare."
259000,261000," Det er mega fedt med sort hermetid til hverdag."
261000,263000," Og så i sort sølv."
263000,265000," Hej Lotte, også god dag til dig."
265000,269000," Det er så \"Ja tak 05\","
269000,271000," og de ligger til det her par,"
271000,273000," til \"1999\","
273000,274000," og det er \"3999\"."
274000,276000," Og der er altså kun et par hver,"
276000,278000," så det er bare med at være hurtigt på tastaturet"
278000,279000," og sige \"Ja tak\"."
279000,281000," Så er der så \"Majestic\","
281000,283000," endnu en af mine favoritter,"
283000,285000," jeg elsker \"Majestic\","
285000,286000," som jeg også viste i før."
286000,288000," Her er det så med hvid topaz i sort sølv."
288000,290000," Den hedder så \"Ja tak 06\","
290000,294000," og det er også til \"2499\","
294000,296000," og det er \"3599\"."
296000,298000," Prøv at se her."
298000,300000," En af de ting, jeg elsker at bruge hvid topaz af,"
300000,302000," er fordi de fungler som store diamanter."
302000,304000," Og det kan man jo godt lide."
304000,306000," Det er også mega fedt til det, jeg har på her."
306000,308000," Altså rigtig meget af det, jeg viser nu,"
308000,310000," er rigtig fedt til rigtig mange farver,"
310000,312000," fordi det bare ser super godt ud."
312000,314000," Så har vi så \"07\"."
314000,316000," \"Ja tak 07\"."
316000,319000," Øh, \"Bloom\"."
319000,321000," Det er altså ikke, fordi jeg skal se,"
321000,322000," hvad det hedder."
322000,323000," Det er priserne,"
323000,324000," for jeg tænker \"Okay Maja,"
324000,326000," jeg er så dårlig til priser\"."
326000,329000," Men den hedder \"Ja tak 07\" til \"2899\"."
329000,331000," Og der er det jo simpelthen så smart,"
331000,333000," og det er normalt at det er \"4199\","
333000,335000," at jeg har lavet dem sådan så,"
335000,337000," at man kan tage bunden af."
337000,339000," Så er det også bare en ørestik."
339000,341000," Det her er så med rubiner og granater"
341000,344000," og rosa kalsedon og rød agat."
344000,349000," Meget smukt."
349000,351000," Så har vi så \"Ja tak 08\"."
351000,353000," \"08, 08, 08\"."
353000,355000," Og jeg laver 10 i dag,"
355000,356000," så er der to tilbage."
356000,358000," Det er også den samme pris."
358000,363000," \"Ja tak 08\", \"2899\" og \"4199\" ligger det til normalt."
363000,364000," Så er der to tilbage."
364000,366000," Og den næste sidste, det er..."
366000,368000," Wuh, wuh, wuh, wuh, wuh, wuh, wuh."
368000,372000," Årh, jeg skal lige have mit cue-card her."
372000,376000," Øh, her er det så en af Lovebeats halskedler."
376000,379000," Og det er jo altså mega fedt med de her Lovebeats."
379000,381000," Også den passer overhovedet ikke til det,"
381000,382000," jeg har på nu."
382000,384000," Men har man bare en t-shirt på"
384000,386000," og det er så sort, så ser det jo altså super godt ud."
386000,389000," Og det er så den lange, der normalt koster 7.000."
389000,393000," \"Ja tak 09\", så er den din for \"4499\"."
393000,395000," Den passer overhovedet ikke til det, jeg har på nu."
395000,398000," Men det skal jeg også lige tage bort fra."
398000,399000," Nu var det bare den, jeg følte for,"
399000,402000," at jeg syntes, jeg skulle lave sådan en \"Ja tak\" med."
402000,405000," Den sidste, det er faktisk den, jeg har på,"
405000,409000," som hedder \"Ja tak 10\" til \"3899\""
409000,413000," og ellers, og normalt ligger de til \"5499\"."
413000,417000," Så det var sådan 10 forskellige \"Ja tak'er\" fra mig."
417000,420000," Jeg håber, at I kunne følge med i min måde at gøre det på."
420000,423000," Contra-mormannik, det er jeg sikker på, I kunne altså."
423000,425000," Vi har jo hver vores måde at gøre det på."
425000,427000," Jeg skal nok også lige lægge linkene ind."
427000,429000," Og så skriver I bare \"Ja tak\","
429000,430000," det nummer, I gerne vil have."
430000,432000," Overført på mobilepay, det skriver jeg også."
432000,434000," Og så sender vi."
434000,436000," That's so easy."
436000,438000," Og skal vi lige endnu en gang se looket i dag,"
438000,441000," bare for at sige, at smykkerne,"
441000,443000," de gør alt."
443000,445000," Husk det på med smykkerne"
445000,447000," og have verdens bedste dag derude."
447000,449000," Tak skal I have."
