start,end,text
0,2000," To the Lucid, venner!"
2000,7000," Jeg kan lige så godt være ærlig og sige, at jeg ikke er helt oppe at flyve de her dage."
7000,14000," Derfor er der heller ikke så meget musik lige i baggrunden, og jeg er måske heller ikke mit normale sprødlende jeg."
14000,21000," Men jeg tager mig alligevel der sammen, som vi jo alle sammen gør, selv i hardcore-perioder."
21000,27000," Og jeg har altid smykker på. Det har jeg bare. Det er helt crazy."
27000,33000," Da jeg var indlagt på grund af min ulykke, der gik det mest op i, hvilke smykker jeg havde på."
33000,40000," Nu, når jeg er en lille smule heartbroken, kan man sige, går jeg faktisk også rigtig meget op i at have smykker på."
40000,46000," Det er så ikke de helt største af slagsen, men det er smykker og gerne noget med noget farve på."
46000,52000," Og jeg bliver bare glad, når jeg kigger på min design, så ser jeg mig selv med fantastiske smukke smykker på."
52000,55000," Så den glæde deler jeg jo selvfølgelig også med jer."
55000,62000," Og derfor er der 10 ja-tak-tilbud på nogle enkle ørestikkers af det primært."
62000,68000," Fordi jeg synes, at uanset hvad livet bringer, og uanset hvad humør vi er i, så skal vi altså have smykker på."
68000,73000," Fordi det kan gøre selv en god dag en lille smule sjovere."
73000,75000," Så lad mig kaste mig ud i det."
75000,77000," Det er som sagt 10 ja-tak-tilbud."
77000,82000," Og det foregår sådan, at jeg siger f.eks. \"Vi ser et smykke\"."
82000,83000," \"Ja tak 01\"."
83000,84000," Og så siger jeg en pris."
84000,89000," Hvis I er interesseret i det her smykke, så kommenterer I bare nedenunder med f.eks. \"Ja tak 01\"."
89000,92000," Og så skriver jeg til jer direkte bagefter."
92000,94000," Og det er så betaling på MobilePay."
94000,96000," 23 473."
96000,97000," Meget nemt."
97000,99000," Og gratis fragt i Danmark."
99000,101000," Det er ca. 30% rabat."
101000,104000," I må selv regne præcist ud, men det er altså nogle gode priser."
104000,106000," Og så er det kun på de her 10 smykker."
106000,109000," Så det er ikke den samme model i andre ædesten."
109000,110000," Det er kun de her 10."
110000,113000," Så det er også med at kigge godt efter, hvad jeg viser nu."
113000,120000," Den første \"Ja tak 01\" er de her meget smukke lotus med amazonit."
120000,122000," Som jo så også vil være rigtig flot til det, jeg har på nu."
122000,125000," Det er \"Ja tak 01\" til 1699."
125000,128000," Normalt ligger de til 2499."
128000,130000," Og det er altså \"Ja tak 01\"."
130000,139000," \"Ja tak 02\" er en ædesten, som er helt fantastisk, fordi den har sådan et blåt skær."
139000,141000," Jeg håber, I kan se det."
141000,146000," Den hedder \"Divine Round\" og det er \"Ja tak 02\" til 1599."
146000,149000," Normalt ligger de til 2399."
149000,155000," Det er meget, meget klædeligt, fordi den her \"Rainbow Moonstone\" bare matcher til alt."
155000,158000," Så der behøver man sgu egentlig ikke at tænke over, hvad man har på af tøj."
158000,160000," Der ser den bare flot ud."
160000,163000," Og har man blå øjne, så går den også lidt op i de blå øjne."
163000,166000," Og det kan vi jo godt lide, at man lige fremhæver sin øjenfarve også."
166000,170000," Så det er altså \"Ja tak 02\" til 1599."
170000,175000," Den, jeg viser nu, \"Ja tak 03\", den er der mange, der har på deres ønskeliste."
175000,178000," Det ved jeg, fordi der er altid rigtig mange, der kommenterer den her celler på."
178000,182000," Det er \"Ja tak 03\" til 2299."
182000,187000," Med tyrkis og meget smukke blå topaz."
187000,194000," Normalt ligger de til 3349, men det er så 2299 på den her \"Ja tak\"-tilbud."
194000,196000," Og det er \"Ja tak 03\"."
198000,200000," Wow, hva?"
200000,206000," Det gode ved den her model, \"Divine\", er, at den virkelig giver noget op til ansigtet."
206000,208000," Selvom den ikke fylder særlig meget."
208000,211000," Så en ørestik med noget farve i, det gør virkelig meget."
211000,214000," Så har vi en helt lille bitte \"petit\"."
214000,218000," \"Ja tak 04\" til 1199."
218000,220000," Det er krysopras."
220000,226000," En sindssygt flot, grønt, tyrkisagtig ødesten."
226000,229000," Den passer altså \"Ja tak 03\" til 1199."
229000,233000," Så er der en \"hoop\"."
233000,238000," Det er en af mine nye klassikere, som jeg har designet i den seneste kollektion \"Passion\"."
238000,247000," Som er \"Ja tak 05\" til 1599."
247000,250000," Den passer altså også bare \"anything it goes with\"."
250000,252000," Den er bare flot til alt."
252000,255000," \"Ja tak 05\" til 1599."
256000,259000," Normalt pris er den \"Ja tak 03\" til 199."
259000,263000," \"Altså, hej Bettina, dejligt du ser med.\""
263000,267000," Den jeg viser nu, er den samme model, som jeg har på."
267000,269000," Og så tænker I, \"Det er jo store ørering, Maja.\""
269000,271000," Det er også rigtigt, det er det også."
271000,274000," Men det er også en ørestik."
274000,275000," Det er blom her."
275000,278000," Fordi at dem synes jeg selv er ret genialt, Maja."
278000,281000," Jeg har lavet sådan, så man nemt kan tage dråben af."
281000,284000," Og det er jo altså ret smart, fordi så har man to i en."
284000,285000," Tak I alle."
285000,287000," Det er så dejligt, I ser med."
287000,289000," Og det er så dejligt, når I kommenterer."
289000,291000," Også på sådan en dag, hvor jeg skal være ærlig og sige,"
291000,294000," jeg var ikke klar til at komme ud af min seng imorgen,"
294000,295000," fordi jeg var så ked af det."
295000,298000," Men sådan er det nogle dage, fordi der er nogle ting i livet,"
298000,300000," man ikke selv kan være herover."
300000,301000," Og sådan er det."
301000,304000," Man må bare embrace det, og så prøve at få det bedste ud af det."
304000,306000," Og være okay med at være lidt ked af det,"
306000,308000," fordi sådan har jeg det altså lige de her dage."
308000,311000," Anyways, det var ikke min livshistorie, det skulle handle om."
311000,313000," Den synes jeg, vi snakker nok om nogle gange."
313000,320000," Det her er så, som sagt, Jatak 06 til 2899."
320000,323000," Rød agat, granat, rosa kalsedon."
323000,324000," Wow."
324000,326000," Og så kan man som sagt tage droben af."
326000,329000," Og den ligger til normalpris 4199."
329000,334000," Men Jatak 06 prisen er så 2899."
334000,336000," Og uden droben."
336000,338000," Perfekt som en ørstik."
338000,339000," Med droben."
339000,340000," Også perfekt."
340000,342000," Og jeg synes jo faktisk, det vil være mega fedt,"
342000,345000," at den er på som sådan en kontrast op til den her grå-grønne."
345000,349000," Nå, men så går vi videre til Jatak 07."
349000,351000," Op, op, jeg skal lige være med."
351000,353000," Jatak 07."
353000,358000," Normaltpris 825, men Jatak prisen er 549."
358000,361000," Som de siger, øhm, jeg ved ikke, hvor de siger det hen."
361000,363000," Det er også de meget."
363000,365000," Men, prøv at se, små fine øresikkers."
365000,369000," Jatak 07."
369000,371000," Ja, det er godt, Lars."
371000,373000," Man skal nemlig nogle gange, tænker jeg også,"
373000,375000," hvor er det bare surt for mænd,"
375000,377000," at de kan tage ørerring på og halskæder."
377000,379000," Det kan de godt tage lidt halskæder på, sådan lidt."
379000,382000," Men jo aldrig i samme omfang, som vi kvinder kan."
382000,384000," Trods alt."
384000,385000," Og det er jo det, der er så fedt."
385000,387000," Man bliver bare glad af at have smykker på."
387000,388000," Og gå med smykker."
388000,389000," Og se andre med smykker på."
389000,392000," Så jeg kan godt forstå, Lars, at du er en lille smule ærgerlig over,"
392000,393000," at du ikke er kvinde."
393000,396000," Men, så tænker jeg, at der er nogle kvinder i dit liv,"
396000,397000," der skal forkæles."
397000,399000," Anyways, tilbage til den her."
399000,402000," Det var Jatak 07 til 549."
402000,405000," Normalt pris er det 825."
405000,409000," Så er det Jatak 08."
409000,410000," Wuppdi."
410000,413000," Det er også et par iconic studs her."
413000,416000," De er så mere facetterede, end dem, jeg viste før."
416000,421000," Her er det så blå topaz til Jatak 08 1149."
421000,424000," Normalt pris er 1649."
424000,427000," Har man blå øjne, igen et hit."
427000,429000," Har man ikke blå øjne, igen et hit."
429000,431000," Det er faktisk et hit lige, det er hvad."
431000,434000," Ej, jeg prøver virkelig at køre det gode humør,"
434000,437000," selvom det er lidt svært, når man ikke er helt oppe at flyve."
437000,440000," Men jeg tror også bare, at for mig er det der med,"
440000,441000," at man så siger til sig selv,"
441000,443000," \"Okay, tag dig nu sammen.\""
443000,445000," \"Alt skal nok gå. Alt skal nok gå.\""
445000,447000," Og der er en mening med det hele."
447000,449000," Jeg tror ikke, min mor ser med lige nu,"
449000,451000," for hun bliver lidt sur, når jeg siger til mig,"
451000,453000," når jeg siger til hende, der er en mening med alt."
453000,456000," Selv min udløb, mener jeg, der er en mening med."
456000,459000," Det her at skulle gå igennem sådan lidt hjertekvater,"
459000,460000," det er sikkert også en mening med."
460000,462000," Jeg kan bare ikke se meningen lige nu,"
462000,464000," men jeg ved, at der er en mening med det."
464000,465000," Tilbage til smykkerne."
465000,467000," Jeg har virkelig lyst til at snakke om alt muligt andet i dag,"
467000,469000," end smykker, og så alligevel ikke,"
469000,471000," for jeg bliver bare glad af at kigge på smykkerne."
471000,473000," Det var ikke meningen, at jeg skulle ind i butikken,"
473000,474000," som I kan se, jeg er i dag."
474000,477000," Jeg tænker bare, du bliver glad af at være inde i din butik."
477000,480000," Ja, eller nu siger jeg den ene butik, vi har jo to butikker."
480000,484000," Men jeg bliver bare glad af at være omkring mine designs,"
484000,488000," og sidde og nørkle lidt med nogle forskellige nye ødestæne og designs."
488000,490000," Så ja, jeg tog bilen og kørte herind,"
490000,492000," i stedet for bare at blive liggende."
492000,496000," Ja tak, 9 til 1199."
496000,499000," Meget fint, klassisk, det ligner jo små brillanter."
499000,501000," Normalpris er 1799."
501000,504000," Og så er det sorte sølv, der fremhæver de hvide topazer mere."
