start,end,text
0,7560," Jeg retter lige på det blå tøj, fordi blå er dagens tema til min smykkelejm."
7560,16960," Jeg har jo lidt masket jer på forhånd, fordi jeg tog selv blåt på i morges, og så tænkte jeg, at det kan bare noget, de blå smykker."
16960,20280," Så det skal vi selvfølgelig lave en ja-tak på i dag."
20280,28440," Jeg har ti ja-tak-tilbud med på forskellige ørerringe med blå eddesteen."
28440,32560," Men inden skal jeg fortælle lidt om, hvad det er for blå eddesteen."
32560,38520," Jeg bruger rigtig meget det, der hedder blå topaz, som I ser inde i midten her."
38520,45280," Det er en lysseblå, mega smuk, meget dus, klædelig eddesteen."
45280,54200," Så har jeg også noget som blå aventurin, som er en mere mørk blå, og noget som aquacalcedon."
54200,57360," Jeg har rigtig mange blå eddesteen i mine kollektioner."
57360,59200," Der er altid noget med blåt."
59200,62520," Nu er det så også rigtig godt med blåt, hvis man har blå øjne. Det har jeg ikke."
62520,66920," Men blå ørerringe fremhæver jo blå øjne."
66920,71120," Så blå er bare en mega smuk eddesteen, og der er rigtig mange af dem."
71120,73960," Jeg finder også løbende, for jeg har præsenteret en ny blå."
73960,76800," Jeg blev lige her forleden præsenteret for en, der hedder en paraibas."
76800,83400," Det er en meget, meget dyr brasiliansk tourmaline, som faktisk er en investeringseddesteen også."
83400,87720," Men det er bare for at sige, at der er rigtig mange fantastiske blå eddesteen."
87720,92480," Og nogle af dem vil jeg vise jer nu, hvor jeg viser de 10 ja-tak tilbud."
92480,98720," Og måden det foregår på, det er ved at jeg siger for eksempel, at det her er ja-tak 01 til den pris."
98720,102920," Hvis I er interesseret i det smykke, så skriver jeg ja-tak nummeret nedenunder."
102920,108440," Overfør på mobilepage 23 873, og så er der gratis forsendelse."
108440,114600," Hvis I ser videoen efter, så kan I selvfølgelig også stadig købe de smykker, jeg viser."
114600,119200," Så længe videoen ligger på min profil, så er smykkerne også til salg."
119200,123640," Skal vi kaste os ud i det? Og husk spørgsmål også, så må I også stille dem undervejs."
123640,127960," Men jeg ved, I tænker, hvad har hun egentlig på af tøj i dag? Det er meget spændende."
127960,133360," Men I får lige lov at se, fordi jeg har helt blåt tøj på i dag."
133360,139120," Blå jeans, blå top og blå blonde jakke."
139120,140640," Synes jeg selv er ret pænt."
140640,143440," Lidt koldt, måske godt jeg ikke er for meget udenfor."
143440,145960," Men den første, nu skal jeg lige have mit papir herovre."
145960,147440," Bum, bum, bum."
147440,150280," Ja-tak 01."
150280,153480," Det er raindrops her med blå topaz."
153480,155080," Den ligner altså en million."
155080,158080," Den er ja-tak 01 til 1099."
158080,160200," Normalt koster de 1699."
160200,163760," Der var det meget sjovt, for et par år siden var jeg til det der Elle Style Award."
163760,167040," Og så kommer der en kvinde løbende hen og siger, prøv lige at se, jeg har din ørerring på."
167040,170040," Og jeg forventer, jeg kunne ikke lige se, hvad hun havde på, for hun kom løbende."
170040,172640," Så forventer hun, at hun havde et par store diamanter på."
172640,174320," Det var dem her, hun havde på."
174320,176360," Og det er jo lidt sjovt, for det er jo ikke en dyr ørerring."
176360,178920," Men det havde hun altså på til hendes gala-kjole."
178920,182800," Og det er bare for at sige det her med, at det behøver ikke altid at være dyrt for at ligne en million."
182800,187640," Og nu her med blå topaz i det sorte sølv, så bliver det også lidt mere hot."
187640,190160," Det næste er der rigtig mange, der drømmer om."
190160,193240," Hver gang jeg poster noget med den selv, har jeg min egen på."
193240,196160," Så er der folk, der kommenterer og siger, ej jeg elsker de ørerringer."
196160,198800," Og det forstår jeg godt, fordi de er også mega smukke."
198800,205640," Det er så Yatak 02 med hvid topaz, juicy i midten og blå topaz."
205640,211920," Og prøv lige at se også, ej wow, det ville jo også bare have været så flot til det, jeg har på i dag."
211920,213680," Det synes jeg i hvert fald selv."
213680,216880," Og store ørerringer holder max til hver dag."
216880,221720," Det er så et godt fiff, at man selvfølgelig ikke har nogen halskæde på og håret løst er man helene."
221720,225280," De vil jo også bare være så flotte til dig."
225280,227840," Men altså til hver dag og sådan nogle store ørerringer."
227840,234160," Og så forestiller jeg også til en jeans jakke og til sommer og sådan bare til en eller anden strandkjole."
234160,235680," Amen, altså jeg elsker dem."
235680,241120," Men det var altså Yatak 02 til 2199."
241120,246040," Så kommer vi til træeren, Yatak 03."
246040,247360," Jeg føler mig som sådan en kategoriner."
247360,250720," Jeg ved ikke hvorfor jeg siger 03 og 02, men det gør jeg altså."
250720,254560," Men Yatak 03 med hvid topaz og blå topaz."
254560,260320," Normalpris er det 3099, det er 2099 i dag."
260320,262320," Ej wow, prøv lige at se."
262320,267240," Skal I lige se en close up her."
267240,269240," Blå topaz og hvid topaz, wow."
269240,274880," Lige måde, Lotte, jeg elsker når I skriver hernede, fordi jeg ser jo selvfølgelig, hvad I skriver."
274880,276880," Så er det så dejligt, når I skriver."
276880,281680," Så har vi Yatak 04 med blå topaz og hvid topaz."
281680,283680," Det er en chandlet-model."
283680,287400," Og sølvet gør den jo sådan lidt mere klassisk."
287400,289880," Fremfor hvis det var guld, ville det blive mere feminin."
289880,293800," Og det er altså Yatak 04 til 2099."
293800,295800," Normalpris er 2999."
295800,297800," Og det var Yatak 04."
297800,302800," Nu kommer vi til en eddesten, som jeg mega monster, mega monster elsker."
302800,305800," Og som der er rigtig mange, der altid spørger mig, har du noget med aquamariner?"
305800,307800," Og i mange år arbejder jeg ikke med aquamariner."
307800,311800," Ikke fordi, at jeg ikke ville, men fordi, at det er en meget, meget dyr eddesten."
311800,315800," Så den er ikke sådan lige hejset."
315800,322800," Nu skal Anne-Margret, kan være lidt svært at udtale navnet, men det er korrekt at sige Anne-Margret."
322800,324800," Anne-Margret, jaha."
324800,328800," Tilbage til aquamarinerne."
328800,331800," De er så sygt smukke."
331800,333800," Jeg ved ikke, om man ser, hvor smukke de er her."
333800,335800," Det håber jeg, I kan."
335800,337800," Men det er også som sagt en meget dyr eddesten."
337800,339800," Og de her koster normalt 6999."
339800,345800," Men nu har jeg så lavet Yatak 5 til 4899."
345800,351800," Altså normalt bruger jeg ikke så meget Pure Drop modellen, fordi jeg synes, den kan godt være lidt lille."
351800,355800," Jeg kan jo godt lide store ørerringene, men der er rigtig mange, der elsker Pure Drop."
355800,362800," Og lige præcis med aquamarinen har jeg også sendt et par, fordi jeg synes, den eddesten i sig selv er bare fantastisk."
362800,367800," Så det er lidt ligesom, at man vil også gerne have en lille diamantstikke, men man vil også gerne have en lille aquamarin."
367800,369800," Fordi man ved godt, at man ikke kan få en kæmpe aquamarin."
369800,371800," For that's not gonna happen in this lifetime."
371800,374800," Men sådan en lille en her."
374800,376800," Wow."
376800,379800," Det var godt, at jeg udtalte dit navn rigtigt, Anne-Margret."
379800,385800," Men det var altså Yatak 05 til 4899 med aquamariner."
385800,389800," Så er der så et af mine nye designs fra Passion kollektionen."
389800,394800," Det er Yatak 06 til 1799."
394800,398800," Det er gem hoops med blå topaz."
398800,400800," Det er jo også meget smukt."
400800,406800," Til 1799. Normalt pris er det 2599 gem hoops."
406800,409800," Og se, så er jeg lavet dem sådan, at eddestenene ikke går hele vejen rundt."
409800,414800," Så det vil sige, at så bliver de ikke helt lige så dyre, som hvis der var flere eddesten, men man ser jo hoopen."
414800,418800," Det gør også, at den bliver lidt mere luftig, at de ikke går hele vejen rundt."
418800,420800," Så alt er godt."
420800,422800," Der er en grund til alt i mine designs."
422800,423800," Sjovt nok."
423800,425800," Så er det Yatak 07."
425800,430800," Og det er en eddesten, hvor det var første gang her i Passion, min seneste kollektion, at jeg begyndte at bruge dem."
430800,432800," Med amazonitter her."
432800,437800," Og det er et lotus. I kan godt se, at den er lidt grå, blå, grøn-agtig."
437800,440800," Og hver er sin egen. Det vil sige, at man ikke kan få to identiske amazonitter."
440800,443800," Og der er det Yatak 07 til 1699."
443800,446800," Normalt er det 2499."
446800,449800," Og prøv at se. Det er altså en virkelig flot eddesten."
449800,451800," Specielt hvis man har lyst til at prøve at se, hvor flot det ser ud."
451800,456800," Det tror jeg altså lige før, at det er det flotteste, at det er til det, jeg er på i dag."
456800,459800," Og den er bare mega fed, som en ørestikker her."
459800,463800," Den er stor og fylder noget, men den er ikke over... over... over... Hvad hedder det?"
463800,465800," Den er ikke too much."
465800,468800," Det er meget godt, at jeg kan tale lidt ind over mig selv nogle gange."
468800,474800," Jeg skulle lige huske at sige, hvad det var. Det var Yatak 07 til 1699."
474800,477800," Så kommer vi til mine balloner. Balloons."
477800,480800," Her med aqua calcedon."
480800,484800," Den minder mig jo altså lidt om at være på Hawaii. Jeg ved ikke hvorfor."
484800,487800," Men hver gang jeg ser noget, jeg har lavet med aqua calcedon, så tænker jeg..."
487800,491800," Man kunne lige se sig selv ligge i en anden..."
491800,495800," Hvad hedder det? Parasolstol? Jeg ved ikke engang."
495800,497800," Det er så lang tid siden, jeg har redditioner altså."
497800,500800," Men anyways, Yatak 08 til 1699."
500800,503800," Normalt pris er det også 2499."
503800,506800," Marianne spørger på nummer 6 igen. Skal vi lige vise."
506800,509800," Det var... ja, det var hoopsene her."
509800,512800," Skal vi prøve at se her. Jeg kan også lige prøve at holde den oppe."
512800,517800," Det er så gem hoops med blå peridot."
517800,521800," Og det er Yatak 06 til 1799."
521800,524800," Normalt ligger de til 2599."
524800,527800," Meget smukt."
527800,530800," Er du interesseret i dem, så skriver du bare Yatak 06 Marianne."
530800,534800," Og det er så overført på mobilepay 24..."
534800,536800," 23..."
536800,538800," 473."
538800,540800," Og så er det gratis fragt."
540800,544800," Så kommer Yatak 08. Den tager vi lige igen."
544800,548800," Det var 1699. Yatak 08 til 1699."
548800,551800," Og så Yatak 09."
551800,554800," Det er godt smidt. Lapis."
554800,557800," Og lapis er en meget smuk eddesten."
557800,560800," Men det der også er ved lapis."
560800,563800," Nu skal jeg lige starte med at sige den. Yatak 09 til 1399."
563800,565800," Normalt pris er det 1999."
565800,567800," Det der er med lapis."
567800,571800," Det der også er lidt fantastisk nogle gange med eddesten og historierne."
571800,573800," Og hvor man får de forskellige eddesten fra."
573800,576800," Det er faktisk at lapis lazuli, som den korrekt hedder."
576800,578800," Den kommer primært fra Afghanistan."
578800,581800," Nu er det jo sådan, at der er et..."
581800,584800," Hvad skal man sige? Et diktatur i Afghanistan lige for tiden."
584800,586800," Som der ikke er nogen af os, der har lyst til at støtte."
586800,590800," Og det vil sige, hvis jeg køber nye lapis lazuli eddesten."
590800,593800," Så støtter jeg faktisk diktaturet i Afghanistan."
593800,595800," Så det gør jeg selvfølgelig ikke."
595800,597800," Så når vi ikke har flere..."
