start,end,text
0,2000," Uhuhuhuhu!"
2000,4000," Vi er så klar til at lave live!"
4000,6000," Og vi har sat en god salg på, så vi venter lige på."
6000,8000," Og så har vi taget rigtig flot tøj på."
8000,10000," I dag har vi også lige prøvet silt."
10000,12000," Og nu kommer..."
12000,14000," Og vi skal have silt i røven på."
14000,20000," Kan I hente, hvad det er for en tak?"
20000,22000," Den er fantastisk."
22000,24000," Jeg ved ikke, hvad den hedder."
24000,26000," Stormand."
26000,28000," *musik*"
28000,32000," Er I klar til en live?"
32000,34000," Om perler i dag."
34000,36000," Det skal være handler om perler."
36000,38000," Og det er derfor, vi er sådan lidt Chanel-chic i dag."
38000,40000," Vi er meget Chanel-chic."
40000,42000," Er I klar?"
42000,44000," Og du kan se, at I er næsten lige så høj som mig i dag, for jeg har de høje sko på."
44000,48000," Vi er Chanel-chic."
48000,50000," Nå, skal I kastes ud i det, mor?"
50000,52000," Nu går du på musik."
52000,54000," Altså, når første danser..."
54000,56000," Det er svært at få hende til at stoppe."
56000,58000," Jeg tror bare, vi laver en dansevideo i dag."
58000,60000," Vi glemmer alt det om smykker, altså."
60000,62000," Så er vi klar til at snakke."
62000,64000," Vi er vilde med Hans."
64000,66000," Vi er totalt vilde med dans."
66000,68000," Vi snakker om perler i dag."
68000,72000," Inden vi lige kaster os ud i de 10 \"Ja tak\" tilbud."
72000,74000," 10 \"Ja tak\"."
74000,76000," Og kun de 10, og kun de smykker."
76000,78000," Så synes jeg lige, at vi også skal fortælle lidt om perler."
78000,80000," For perler er jo fantastisk."
80000,82000," Men perler er også et organisk materiale."
82000,84000," Derfor er der mange, der ikke ved det,"
84000,86000," men perler skal virkelig bruges."
86000,88000," Og det er rigtig godt faktisk også at sove med perler."
88000,90000," Så når man så, at var det Coco Chanel?"
90000,92000," Nej, var det Marilyn Monroe, der sov med perler på?"
92000,94000," Så var det faktisk rigtig smart ting."
94000,96000," Fordi de skal have lidt fedt,"
96000,98000," og så skal de beholde den der loster,"
98000,100000," den blød, de har."
100000,102000," Så er der jo mange forskellige former for perler."
102000,104000," Der er blandt andet det her, som jeg er på,"
104000,106000," der hedder \"South Sea Perler\"."
106000,108000," Der er crazy smukke perler."
108000,110000," Og det er også rigtig godt."
110000,112000," Der er også crazy smukke."
112000,114000," Ja, de er så smukke."
114000,116000," Dem dyrker man ikke."
116000,118000," De lever ligesom ud i havet, og så fanger man dem,"
118000,120000," som man forestiller sig, når man fanger perler."
120000,122000," Det jeg har på her til gengæld, det er \"Ferskmandsperler\"."
