start,end,text
0,5000," Spottet diamant, siger jeg lidt frækt."
5000,9000," Inden vi går i gang med at snakke om diamanter, så vil jeg lige sige velkommen til."
9000,15000," Mit navn er Mai Mennike. Jeg har smykkefirmaet Jyvle TV på, og det har jeg haft nu i snart 16 år."
15000,17000," Det er vildt, som tiden den går."
17000,21000," Men tilbage til diamanter. Diamanter er jo rigtig mange ting."
21000,29000," Diamant er den fineste ædersten, vi har, men diamant kommer i et utal af farver, klarhed, slipninger, alt muligt."
29000,33000," Det er en verden for sig selv. Det er en fantastisk verden."
33000,36000," Jeg vil vise en af mine aller mest populære diamantringe."
36000,42000," Det er den her, der hedder Glory. Superiørundskyld, som jeg har lavet for rigtig mange år siden."
42000,48000," Den er med det, der hedder single cut, som I ser rundt om her, som faktisk er den antikke slipning."
48000,55000," De fleste, når de tænker på diamanter, så tænker de på det, I ser herinde, som er en klassisk brillant."
55000,60000," Det er faktisk den moderne slipning. Det her omvendte isbjerg med 57 facetter."
60000,67000," Hvor et single cut, som I ser her, det er stadig et omvendt isbjerg, men det er kun 16 facetter."
67000,75000," Det får også et mere rådt look, fordi det jo ikke er lige så mange facetter, og man bruger så typisk heller ikke lige så fine kvaliteter."
75000,80000," Og det er det, jeg vil sige også med, uanset hvilken diamantsmykke I køber."
80000,91000," Hos os kommer der altid certifikater med på alle diamantsmykkerne. Hvis I oplever et sted, hvor der er nogen, der gør at sælge diamantsmykker uden certifikater, så skal I ikke købe det."
91000,94000," Fordi så ved man ikke, hvad det er."
94000,101000," Det der så er med single cut er, at de får det her mere rå look, så de er også nemmere at bruge, synes de fleste."
101000,107000," Jeg er selv helt vild med, selvfølgelig, alle mine designs, men også Superior her."
107000,115000," Som nut med blå topaz, har man blå øjne, og det er altså også rigtig flot at have blåt op, fordi man bruger meget sin ring op til øjnene."
115000,123000," Så har jeg her med granat. Den kan godt være lidt svær i lyset her, men den er lidt rød i det. Kan I se?"
123000,125000," I kan fornemme det."
125000,132000," Så er det en klassiker her med hvid topaz, fordi det så ligner en stor diamant, der er inde i midten."
132000,138000," Så det er en meget smuk hvid topaz. Jeg har jo selv flere af dem, og så synes jeg, det er fedt at have på den finger her."
138000,143000," Det jeg har her, det er faktisk min aller mest populære brillantring, som er Treasure."
143000,145000," Det ser også rigtig, rigtig godt ud."
145000,151000," Faktisk er det, der er her, også single cut, hvor det, der er her, er brillanter."
151000,154000," Og det er super fedt at kombinere."
154000,157000," Så har jeg lavet den med, jeg viser lige forskellige."
157000,165000," Her har vi med pink opal. Wow, den er så smuk. Ej, pink opal. Jeg er lidt træt i dag. Det er lidt varmt."
165000,172000," Fire opal. Prøv at se, hvor smuk den er. Opaler er jo helt crazy smukke."
172000,175000," Det har så meget fire inde i sig."
175000,181000," Så viser jeg også lige her med armatøst. Wow, så smuk. Lille armatøst."
181000,186000," Så det er altså en af mine aller, aller mest populære ringe, og det er virkelig mange år siden, jeg har designet den."
186000,188000," Den er bare ved med at være et hit."
188000,190000," I love it."
190000,195000," Se også lige her. Single cut krydsring. Det ser også godt ud."
195000,199000," Jeg kan godt lide store ringe, at man så har det på den her finger. Det synes jeg ser rigtig flot ud."
199000,201000," Jeg synes også, det er rigtig fedt, at man mixer."
201000,204000," Så man f.eks. har en ring her og en ring der, og det gør ikke noget."
204000,208000," Det er et mix af brillanter og single cut. Det ser bare rigtig godt ud."
208000,214000," Det er jo også det, der er med smykker. Det bliver din stil, når du også mixer, når du også tørrer lidt mixe."
214000,220000," Det sidste, jeg skal vise, inden jeg siger tak for i dag, det er min helt fantastiske Saucy."
220000,224000," Det er altså virkelig et masterpiece, det her. Jeg skal næsten lige tage den af, hvis jeg kan få den af her."
224000,227000," Den er virkelig et masterpiece. Prøv at se her."
227000,229000," Wow."
229000,233000," Det er nogle fantastisk smukke, hvide Saucy perler."
233000,238000," Saucy perler er meget, meget dyre, og de her har en meget, meget flot glans."
238000,249000," Det har virkelig været svært at vælge dem ud, så de bliver større nede i bunden, og så bliver de mindre og mindre op til låsen, som i øvrigt er 18 karat gulv."
249000,253000," Det er lidt en banit, men den er fantastisk."
253000,258000," Så det var lige det, jeg havde til jer i dag. Husk, har I nogle spørgsmål, så skal I bare skrive til mig."
258000,262000," Jeg elsker, når I stiller spørgsmål. Jeg elsker, når I skriver til mig."
262000,265000," Det er bare med at sende mig en pb, som det så fint hedder."
265000,268000," Kan I have verdens bedste aften allesammen. Tak fordi I lige så med."
