start,end,text
0,5720," Tillykket! Jeg står her i vores dejlige butik i Aarhus."
5720,9840," Prøv lige at køre rundt, der er bare så julepyntet hernede."
9840,16240," Prøv lige at se her, vi har også julechokolade. Jeg elsker det her."
16240,21720," Vi havde lige en lille opskræftsmanskelighed med vores juleglykke i dag,"
21720,25600," men nu har vi lykkerne allerede blevet duffele, og det er så hyggeligt."
25600,28440," Det jeg vil fortælle om i dag, det er store ørerbanen."
28440,32880," Fordi store ørerbanen er både mega fedt til hverdag, som jeg har på nu,"
32880,36360," og jeg har et par majestic på, og så er det jo også perfekt til alle de fester,"
36360,39880," der kommer nu her med julen og nyårsaften, og det elsker vi jo, ikke?"
39880,43680," Majestic, som er den jeg har på, er jo en sikker vinder."
43680,48160," Den er bare en perfekt størrelse, og det er en perfekt længde i forhold til ens ansigt."
48160,54320," Jeg har så på nu her med hematit i sølv, som giver et meget råt, enkelt look."
54320,58600," Men jeg har lavet rigtig mange varianter af en majestic. Her kan I se nogen."
58600,61160," Prøv at se her. Den er jo så mere feminin, når man har..."
61160,64520," Kan du se det godt på det sorte her, Elfie?"
64520,71560," Prøv at se her. Med det rosa kalsedon i forgyld, så er det pludselig en meget mere feminin ørerring."
71560,74040," Det jeg så gør rigtig meget, når jeg bruger majestic..."
74040,77120," Prøv lige at se her, T-ØJ. Altså, ej, wow."
77120,79200," T-ØJ er simpelthen så smuk."
79200,85080," Jeg skal faktisk også lige vise, fordi jeg så, at I har herovre en rainbow moonstone."
85080,87840," Den skal man lige se lyset på. Kan du lige tælle på at se lyset?"
87840,91880," Prøv lige at se, hvor flot de changerer. Kan man se den flot der?"
91880,94200," Den er bare sindssygt smuk, rainbow moonstone."
94200,96920," Man kan også se, at nu er det så ikke en stor ørerring, men her."
96920,99440," Prøv at se lyset. Kan man se den flot der?"
99440,101440," Prøv at tælle lidt her."
101440,104400," Se lige, hvor flotte de er. Wow."
104400,108680," Altså, rainbow moonstone har sig de... Ej, så skal jeg også lige vise..."
108680,110680," Labradoriten."
110680,114080," Jeg har jo lyst til at vise det hele, men jeg skal jo lade være med at vise det hele hele tiden."
114080,115960," Men prøv lige at se det her lys her."
115960,119320," Og se, hvis man har blågrøn øjne, det har jeg overhovedet ikke."
119320,123080," Men hvis man har, så er den bare endnu mere perfekt, fordi den har sådan en blågrøn skær."
123080,130000," Labradorit eller labrador, som jeg lærer mange af jer at huske den på, det er en fantastisk udseende."
130000,135320," Men majestic er en rigtig god model i en stor ørerring, og så til hverdag uden en halskæde,"
135320,139080," og til fest på med en halskæde."
139080,142040," Jeg har også lige lavet en ny eddersten her."
142040,145920," Kan I se kraniole? Den er ikke engang blevet væk endnu, fordi jeg har lige lavet den."
145920,149520," Så vi har kun det ene par her, men den er en meget smuk kraniole."
149520,152160," Der er sådan lidt en orange eddersten kombineret med guld."
152160,155440," Den er ret varm, er det så flot."
155440,158760," Det er da, jeg selv synes, det er sindssygt godt, så tænker jeg, at jeg skal lave noget andet."
158760,161680," Men jeg synes heldigvis, det er mega flot. Jeg bliver så stolt selv."
161680,166840," Nogle andre store ørerringe er noget som bruciene her."
166840,171800," Priserne, det ved I godt, at jeg er rigtig dårlig til at huske, så der må jeg altså love at skrive til mig herunder."
171800,177760," Majestic, det ved jeg dog, at de ligger fra omkring 3.500 til 4.000 kr. alt efter hvad edderstenen er."
177760,183680," Prøv at se her. Det er så bruciede eddersten i midten, og hvidtopaz og blåtopaz, det vil jo også være rigtig flot."
183680,187640," Ikke lige til det, jeg har på, men hvis jeg havde nået, nu fordi der er alt det der sådan,"
187640,192640," det bliver lidt for der er lidt forkerte farver i det, men hvis jeg havde noget gråt på,"
