start,end,text
0,2000," Tillykke derude, siddevenner."
2000,7000," Jeg kan slet ikke forstå, at det er juleaften om lidt over en uge."
7000,9000," That is crazy."
9000,11000," Nu er det ikke, fordi det skal handle om juleaften,"
11000,16000," men jeg har lyst til at vise jer nogle af mine kendetegn."
16000,18000," Store øreringe."
18000,25000," Fordi jeg synes, at det er mega fedt at bruge til både hverdag og fest store øringe."
25000,30000," Ligesom jeg har på nu store Majestic til, i skal lige se hele looket."
30000,41000," Wupdi, wupdi, sneakers, jeans, sweater, lederjakke og et par store øringe kombineret med nogle armbånd og en ring."
41000,46000," Mega fedt og ingen halsked, fordi så bliver det too much til hverdag."
46000,51000," Og nu når vi snakker juleaften, som er lige om lidt, det er godt at have noget at ønske sig."
51000,55000," Og nu vil jeg vise jer alt det, der lige er kommet på lager fra min produktion."
55000,57000," Outstanding, fantastisk eddersting."
57000,61000," I ser ikke det hele, fordi så bliver I overvældet, men der er så mange smukke sager."
61000,65000," Det er godt at have noget at ønske sig, men vi skal jo altså også forkæle os selv, ikke?"
65000,69000," Siger damen her, som er rigtig god til at forkæle sig selv."
69000,73000," Fordi at selvforkælelse, that is the key word."
73000,78000," Nå, men den første jeg vil vise, det er Majestic-modellen, som er den jeg har på her."
78000,82000," Nu har jeg taget på med rosa kalsedon, fordi toppen er rosa."
82000,84000," Det synes jeg er rigtig flot."
84000,89000," Det der er det gode ved Majestic er, at den sidder fast på øret, og så går den lige her til kæben."
89000,92000," Det vil sige, at det er en perfekt stor ørering."
92000,96000," Her er nogle af alle dem, jeg netop lige har fået hjem fra min produktion."
96000,106000," Se her, Labradorit, Masyll, Røgetopace, Mågenesten, Rosa kalsedon, Lemon topace, Rubiner."
106000,110000," Altså Rubiner er afstændigt. Prøv også at se den store forskel, der er."
110000,113000," Nu det her med forgyld, sølv, og det her med rosaguld."
113000,118000," Kæmpe forskel på udtrykket af Rubinen."
118000,123000," Nogle andre, flere. Majestic. Prøv lige at se."
123000,125000," Jeg elsker jo hæmmertider."
125000,129000," Altså, det er også en meget stærk eddesten."
129000,134000," Majestic-modellerne, de koster fra 3.500 til 4.200."
134000,137000," Alt efter, hvad er det for en eddesten."
137000,141000," Her er Majestic, som er første gang, jeg har lavet den med lidt af kalsedon."
141000,144000," Jeg har kun lavet det ene par i sort sølv."
144000,148000," Meget flot og mørk kalsedon."
148000,152000," Spørgsmål, priser eller noget, så må I altid skrive til mig."
152000,159000," I kan jo bestille via Mobile Pay eller komme forbi butikkerne. Så det er sådan nemt."
159000,163000," En anden stor model, der er en af mine kendetegn, det er Jim Cluster."
163000,166000," Som jeg har lavet i masser af forskellige eddesten."
166000,170000," Nu er den på lager igen med hæmmertid."
170000,176000," Sort hæmmertid, labradorit i sølv, labradorit i guld, hvid topaz, lemon topaz,"
176000,182000," tiaøje, rosa kalsedon, som er den samme farve, jeg har på her, og rød topaz."
182000,185000," Det er en lidt mere larmende ørering, hvis man kan sige det sådan."
185000,190000," Der sker lidt mere, men det er mega flot til hverdagen, hvis du bare har en svætter på."
190000,198000," Prøv lige at forestil jer sådan en beige svætter eller en grå, camelfarved svætter til her med lemon topaz."
198000,204000," Outstanding. Og så til fest, tager du en kæde på, så er looket noget helt andet."
204000,206000," Bum bum, som man siger."
206000,211000," Jeg fik ikke vist Elegant Drops modellen, som jeg har her."
211000,217000," Jim Cluster, de koster fra 4.000 op til 5.500, alt efter hvad det er for en eddesten."
217000,222000," Jim Cluster, de koster fra 2.000 op efter, og det er også en rigtig god model,"
222000,227000," fordi den er lidt mere lang i forhold til ansigtet."
227000,230000," Prøv at se, det her vil faktisk være rigtig flot til det, jeg er på nu."
230000,235000," Det er hematit og forgyldt sølv, og det vil så matche det, der er i jakken,"
235000,239000," der er guld og så det sorte, hvor her matcher jeg med svætteren."
239000,242000," Så det gælder om at tænke, hvad er det, jeg matcher?"
242000,247000," Enten når du har store ørering, ørering generelt på, så match efter tøjet,"
