start,end,text
0,5720," I dag fik jeg lige lyst til at vise jer lidt forskellige ringe."
5720,11920," Både nogle af dem fra min diamantkollektion, og nogle af de mest populære fra min sølvkollektion."
11920,16840," Det jeg har på her, det er blandt andet fra diamantkollektionen brillianter."
16840,20120," Her er det hvidguld, jeg laver også i rødguld og rosaguld."
20120,27600," Her er det den mest populære diamantring, den der hedder Treasure, som har 0,55 karat diamanter."
27600,32440," Og det er også den ring, når jeg ikke selv har mange diamantringer, jeg går med til daglig,"
32440,36680," når jeg ikke selv orker at have dem alle sammen på her om sommeren, kan det være det varme mange ringe,"
36680,40360," så er det her den ring, jeg bare altid tager på."
40360,43360," Den er crazy smuk og ligner en million."
43360,47840," Men jeg har selvfølgelig også lavet rigtig mange ringe i sølvkollektionen."
47840,53840," I sølvkollektionen er fået alle ringene i størrelserne 50, 52, 64 og 57."
53840,57200," Det vil sige, at man bestiller den størrelse, man gerne vil have."
57200,62640," Det her er en af mine klassiske design, Enchanted, her er det så med hematit og i sølv."
62640,66640," Jeg synes jo, det der er rigtig fedt med ringe, det er at man kombinerer,"
66640,69640," prøv at se for eksempel de her to sammen."
69640,71640," Det ser jo mega fedt ud."
71640,77640," Det er en måde at gøre stilen til sin egen ved at mixe forskellige ringe sammen."
77640,81640," Det her er så en af mine favoritter fra sølvkollektionen."
81640,86640," Vum! Nu passer den så også perfekt til det, jeg har på i dag."
86640,88640," Det er sådan en rigtig stable ring."
88640,94640," Jeg synes, at en stor ring skal også være på pegefingeren, fordi det er, som passer med længden af fingeren."
94640,98640," Den har jeg også lavet i hvide topacer."
98640,100640," Wow! Meget smukt."
100640,104640," Og i sort spinel."
104640,108640," Er det ikke bare smukt? Det er jo mega rødt og mega cool."
108640,109640," Og så netop i det sorte sølv."
109640,111640," Det er lidt sjovt med mig."
111640,115640," Måske har I lagt mærke til, når jeg har alle mine ringe på, at der er én finger, jeg aldrig har en ring på."
115640,117640," Det er forlåelsesfingeren."
117640,119640," Det er der, forlåelsesringen skal sidde."
119640,123640," Så længe jeg ikke er forlået, så kommer der ikke til at være nogen ring."
123640,125640," Så når I en dag ser en ring der, you know why."
125640,132640," Og når folk spørger, hvad det er for en ring, man skal have fri, eller hvad det er for en ring, der er forlåelsesfingeren,"
132640,136640," så er det den venstre ringefinger."
136640,140640," Og visesringen skal så over på den anden finger."
140640,142640," Så der fik vi lige det med."
142640,147640," Se også her, hvis jeg kombinerer den her ring med den her."
147640,151640," Og så skal I se, fordi jeg havde faktisk den her."
151640,153640," Prøv at se her."
153640,156640," Det ser jo rigtig godt ud, som man kombinerer flere ringe."
156640,161640," Og det er jo præcis med ørerringene og halskæder, at looket bliver noget helt andet, når det er sort sølv,"
161640,163640," kontra når det er i gulv."
163640,164640," Prøv at se her."
164640,167640," Den samme style, men et helt andet look."
167640,170640," Nu er det så også med en amatyr, så det bliver jo også et andet udtryk."
170640,172640," Men det ændrer sig bare rigtig meget."
172640,175640," Så derfor skal man ikke sige, at man ikke kan lide den model, man skal tage stilling til."
175640,179640," Er det den rigtige ædersten, og er det den rigtige metalfarve?"
179640,181640," Så prøv lige at se her."
181640,186640," Det, man jo også skal huske med ringe, det er, at vi har dem faktisk rigtig meget oppe ved ansigtet."
186640,191640," Så f.eks. hvis man har blå øjne, så er det rigtig flot med en ring med noget blåt i."
