start,end,text
0,10000," Hallo, her har du mig. Jeg hedder Vibke Madike og sørg mig, om jeg ikke har fået lov til at slå mine folder her på Majs Facebook."
10000,20000," Jeg laver lige en live video her fra vores butik på Bledumsvej 104 på Østerbro. Parkeringen er lige ved døren, metroen er lige i nærheden."
20000,30000," Jeg er i vores butik på Klaustergade, men her er jeg. Jeg vil lige vise dig lidt forskellige smykker, hvor jeg tager udgangspunkt i øjenfarve, hårfarve, stil osv."
30000,40000," Det gør, at hvis julen er en vidunderlig tid med gaver, det er rart at få gaver, men det er faktisk, synes jeg personligt, lige så rart at give gaver."
40000,46000," Og specielt hvis de falder i god jord hos den, der skal modtage gaven, så er det bare vidunderligt."
46000,56000," Det betyder så også, at får vi givet en så personlig gave som muligt, så er der meget stor chance for, at modtageren lyser op i et kæmpestort smil."
56000,66000," Og derfor siger jeg, at kig på øjenfarve, på hårfarve osv., så rammer du plet. Og så er det, som jeg altid siger, ægte smykker bringer vejglæde."
66000,79000," Men nu kaster vi os ud i det. Som sagt skal de pakkes ind, så gør vi det her. Du sender en sms 41 30 25 40, og så klarer vi det på mobile pæd og osv."
79000,82000," Bang, så sendes det afsted til dig."
82000,87000," Vi starter med, hvis man skal finde, nej lad os lige se på det, jeg har startet med at tage på."
87000,99000," Jeg har vores godtes på med rød aventurin. De koster normalt 1799,- din pris 1499,-."
99000,102000," Og jeg skal nok prøve at holde styr på priserne. Der kommer lidt gode priser."
102000,108000," Men ellers, uanset hvad, tager du lige et screenshot, så vi kan huske, hvad det er for nogen."
108000,111000," Fordi der kommer lidt forskellige, kan jeg så sige."
111000,115000," Skal vi ikke lige starte med at se, hvad jeg har taget på af nars-drejer i dag."
115000,122000," Jeg har, hvad hedder det, pink sko, jeg har lille stromper, og så har jeg den her røde kjole."
122000,129000," Jeg synes altid selv, at jeg er kommet gevaldigt i julehumør, og så hører jeg julemusik, og rigtig mange af dem."
129000,134000," Dem kan man jo synge med på, og det giver bare lige dun-dun-dun."
134000,146000," Nå, anyways. Lad os lige se, inden jeg tager fat på øjenfarve, så vil jeg også vise dig de her fantastiske, hvad hedder det, indfarvede eddelssten med vores egen farvekombination."
146000,150000," Eller Majs egen, som hun har lavet lidt flere kombinationer."
150000,156000," Det er en helt ny måde at gøre det på, og jeg synes det er super lækkert."
156000,160000," Og jeg ved ikke om en eddelssten kan være fræk, men jeg synes den er vanvittigt smuk."
160000,170000," Og prøv at se, igen specielt også til det jeg har på, der er den jo sjov, fordi den farmer farvesplashe."
170000,176000," De koster normalt 3.399,- din pris 2.499,-."
176000,181000," Så det er som sagt den her, og så i 24 karat forgyldssterling sølv."
181000,189000," Men nu skal vi have fat på øjenfarverne, og jeg tænker, nu starter vi og ser på de brune øjne."
189000,197000," Jeg kommer til at vise dig smykker, eller specielt øreringen til brune øjne, til grønne øjne og til blåe øjne."
197000,204000," Vi starter med de brune øjne, fordi det er jo ligesom dem, der nemmest får mig at gå til af gode grunde."
204000,209000," Er det til en, der har brune øjne, har du selv brune øjne, så vil jeg sige, eller brunt hår for den sags skyld,"
209000,217000," så er Gottes med røgetupage et must have, som det så fornemt hedder på godt dansk."
217000,224000," Det er simpelthen en, der skal være, synes jeg, i repertoiret, ganske enkelt fordi de gør noget ved de brune øjne."
224000,229000," Nu kan du se, jeg har de brune øjne, yes. Jeg har ikke øreringen på, så kan du godt se, at jeg har brune øjne."
229000,235000," Men tager jeg dem her på, så har du, ups, vi skal lige have sådan der."
235000,240000," Kan du se, så får du endnu mere fokus på, oh my God, hun har jo de brune øjne."
240000,248000," Så Gottes er en rigtig god størrelse. Jeg kommer også til at vise dig Graces i forhold til grønne brune øjne."
248000,253000," Jeg skal lige se, om jeg har Graces med røgetupage til de brune øjne."
253000,256000," Hang on, et sekund, som man siger."
256000,260000," Yes, det har jeg lige her. Vi skal lige se, hvor store de er."
260000,266000," Her har du Gottes, de koster normalt 1799, din pris 1499."
266000,273000," Men det kunne, hvis vi tog numre større Graces, der kommer der endnu mere knald for skillingen."
273000,279000," Så man siger, der er der endnu mere fokus på, hvordan de taler ind i de brune øjne."
279000,286000," Og har man også det brune hår, måske lidt længere hår, så er det vanvittigt smukt, fordi du lige fanger lyset med dem her."
286000,290000," Det er Graces med røgkvart eller røgetupage."
290000,300000," Så har vi, hvis man er mere til, jeg ved ikke rigtigt, og de måske er for store til hende, så er Pure Drop altid et godt valg."
300000,305000," De her koster normalt 899, din pris 599."
