start,end,text
0,8000," Tutteløv derude. Jeg fik sådan lyst til at fortælle lidt om perler i dag, fordi perler er jo mange ting."
8000,12000," For det første vil jeg lige sige velkommen til. Mit navn er Maja Mannike."
12000,17000," Jeg er smykkedesigner og står lige nu i vores fantastiske butik her på Bleinavsvej på Østerbro."
17000,22000," Vi har to butikker. Vi har her på Bleinavsvej og så har vi i Aarhus."
22000,24000," Så det er bare med at kigge forbi."
24000,33000," Anyways, perler. Jeg arbejder jo udelukkende med ædesten og perler. Ædesten og perler er jo noget naturenskaber."
33000,38000," Til forskel fra ædesten så er perler et organisk materiale. Vi ved det jo godt."
38000,43000," Det er noget der bliver skabt, født, hvad man vil sige, inden i en musling."
43000,46000," Der er så mange forskellige typer af perler."
46000,51000," Det som de fleste kender det er færdsvandsperler og det er nogen der bliver opdrettet."
51000,56000," Det vil sige man har store farme hvor det foregår. Færdsvandsperler er det som jeg også har på nu,"
56000,58000," som jo så heller ikke er så dyrt igen."
58000,63000," Det er meget smukt. Det der er med perler er at de har sådan en meget flot glans."
63000,67000," Og fordi perler jo er et organisk materiale så skal de også bruges."
67000,71000," Jeg elsker selv perler og det gør Coco Chanel også."
71000,74000," Og nu har jeg i dag taget de her perleørestikker på."
74000,77000," Men jeg har lavet rigtig mange designs med her."
77000,81000," Jeg har lavet færdsvandsperler, helt klassiske ørerring som den her."
81000,85000," Priser og alle de ting, det er rigtig dårligt til, så det må jeg altså skrive til mig."
85000,89000," Eller kan man, nej det nemmeste er jeg bare ikke skriver til mig."
89000,92000," Bare jeg skriver mig en privat besked, så skal jeg nok sende hvad priserne er."
92000,96000," Så er der også et af mine første perledesigns."
96000,102000," Det var faktisk den her, Pearly Whites, som er en virkelig, virkelig fed ørestik,"
102000,106000," hvor jeg har kombineret med hvide topacer og så to færdsvandsperler her,"
106000,108000," som er en lidt dråbeformet model."
108000,112000," Og dråbeformet er jo rigtig gode til de fleste ansigter, fordi det slanker."
112000,117000," Og når jeg ikke lige ved, hvad jeg skal tage på ørestikkers,"
117000,120000," så tager jeg enten dem, jeg har på nu her med perlerne."
120000,121000," Det er lidt mere rødt."
121000,124000," Eller jeg tager den her på med de hvide topacer, som er lidt mere feminin."
124000,126000," Den er så ikke så feminin."
126000,129000," Den er mere rå, når man så har den i det sorte sølv."
129000,132000," Og det er jo præcis ligesom med ædesten, der sker jo rigtig meget alt efter,"
132000,137000," hvad er det for lidt metal, man kombinerer ædesten eller perlerne med."
137000,142000," Jeg har også, nu skal jeg se, hvis man også er til de store ørerringe,"
142000,146000," så har jeg den her model, hvor det også er med hvide topacer."
146000,150000," Det her er faktisk, altså nu i guld er det også flot til brøtter,"
150000,155000," men den her i sølv, det er en perfekt ørerring til en brudekjole."
155000,157000," Prøv at se, hvor flot det er, hvis man så har en hvid brudekjole på."
157000,160000," Men også mega fedt til sådan et look, som jeg har på i dag."
160000,165000," Nu vil jeg så, fordi der er guldknapper her, så vil jeg så selvfølgelig tage på med guld på,"
165000,167000," for at matche det med toppen."
167000,170000," Det er jo altid matche på den ene eller på den anden måde."
170000,175000," Der er også, selvfølgelig har jeg også lavet helt klassiske små ørestikkers,"
175000,177000," som jo er en perfekt julegaveidé."
177000,181000," Og jul, det er det jo lige om lidt, om man lide det eller ej."
181000,182000," Og jeg ville gerne, at jeg elsker julen."
182000,185000," Faktisk synes jeg altid, det går for stærkt med at julen lige pludselig er over."
185000,187000," Men jeg elsker jul."
187000,193000," Og her er så også en klassisk hup med perler fra min elektrokollektion."
193000,195000," Altså jeg har lavet rigtig meget med perler."
195000,199000," Jeg elsker at arbejde med perler, fordi de har en skønhed på en helt anden måde."
199000,202000," En eddersten er jo fantastisk, og det elsker jeg også."
202000,205000," Men perler, det er bare noget andet, og det er jo det, der er så fantastisk."
205000,211000," Så har jeg også lavet nogle meget smukke perlekæder med South Sea Pearls."
211000,215000," Og South Sea Pearls, det er ikke nogen, man opdrejer dig."
215000,218000," Men man finder ude i oceanerne, og de er også en del."
218000,222000," Dyre kan jeg godt afsløre, men de er også sygt smukke."
222000,227000," Prøv at se, altså den kommer ikke helt så godt frem her på videoen, som den er i virkeligheden."
227000,229000," Og så også, hvis man vil have den brugt dobbelt."
229000,232000," Det er så 18 karats guld, der er i låsen heroppe."
232000,237000," Den har også taget mig ret lang tid at lave, fordi jeg har siddet og matchet alle perlerne."
237000,239000," Fordi det jo er 100%, det er ikke nogen, der har opdrettet sig."
239000,241000," Der kan man ikke sige, at den skal være den og den."
241000,246000," Fordi de er så sjældne, så er det meget med at matche størrelserne."
246000,250000," I kan se, at der er en større nede i bunden, og så bliver de mindre og mindre og mindre."
250000,253000," Jeg har også lavet dem med guld South Sea Pearls."
253000,257000," Her hvor de er mere barokke i det."
257000,261000," Og hvor det så er en guld, den anden var rosa guld lås."
261000,263000," Kan I se, hvor flot den er? Sindssygt flot."
263000,266000," Prøv at se her. Wow."
266000,268000," Uh. Uh."
268000,271000," Det er lige til at klare det her."
271000,275000," Det er så også en lidt dyr halskæde, men det er også en klassiker."
275000,279000," Og det er rigtig nok, når man siger, at man skal sove med perlerne på, fordi det er rigtig godt for perlerne."
279000,284000," Faktisk kan der ske det, at hvis en perle bare ligger i en pose, så mister den fuldstændig sin glans."
284000,285000," Og det er ikke godt."
285000,289000," Så derfor er det rigtig godt, hvis man har perlekæder, at man sover med dem på."
289000,294000," Fordi ellers så bliver de faktisk ødelagt. De mister deres loster, som det så fint hedder."
294000,302000," Det her er et par custom made South Sea perleørerringe, jeg har lavet med en lille brillant i toppen af den karats guld."
302000,308000," Jeg laver jo rigtig mange ting på bestilling, så hvis der er et eller andet særligt smykke, man drømmer om, så er det bare med at skrive."
308000,315000," Det er only the sky and the limit og prisen selvfølgelig, men de her er virkelig, virkelig klassiker."
315000,319000," Så er der fra min diamant kollektion også det her."
319000,322000," Det er en klassiker fra min diamant kollektion."
322000,325000," Den er der virkelig mange, jeg ved, drømmer om."
325000,330000," Altså mange lyder meget vildt at sige, men det er en klassiker."
330000,334000," Med single cut diamanter og en stor færskelandsperle."
334000,338000," Og det er jo også en sindssygt flot ørerringe, hvis man skal giftes."
338000,342000," Og så sindssygt fed også til efterfølgende at bruge."
342000,345000," Prøv lige at se, hvor godt det vil se ud til det, jeg har på nu."
345000,348000," Og det er jo også det, jeg altid vejleder ind, når man skal finde smykke til sit bryllup."
348000,352000," Køb noget, som du faktisk også kan bruge efterfølgende."
352000,356000," Brudkjolen kan du ikke bruge igen og igen, men smykket kan du bruge igen og igen."
356000,362000," Og det er jo en smuk minde fra en fantastisk dag, at man har et smykke, og så tager man det på, og så bliver man ligemindet om den dag."
362000,364000," Men man ser også bare brændt godt ud."
364000,370000," Så det er en klassiker. Husk at skrive på priser, der må I sende mig, eller kommenter herunder."
370000,375000," Hvis der er noget, I også gerne vil se lidt tættere på, når jeg nu viser det, så må I endelig også bare skrive."
375000,378000," Den sidste, jeg vil vise, det er den her helt fantastiske ring."
378000,381000," Den er lidt for stor for mig, men derfor skal I alligevel se den."
381000,387000," Som jeg har lavet med en stor brillant i midten, så er det gul og hvid Saozi-perle og en smuk Tahiti-perle."
387000,392000," Prøv at se. Kan vi se den rigtigt? Eller bliver den lidt utydelig?"
392000,394000," Kan vi se?"
394000,398000," I fornemmer den, tænker jeg. Det er altså lidt træls nogle gange med det her."
398000,401000," Man kan ikke helt se. Prøv at se her, hvor smuk den er."
402000,407000," Og så er det i 18 karats guld. Jeg skal lige huske det hele."
407000,409000," Der er mange ting oppe i mit hoved."
409000,412000," Jeg skal lige vise det sidste, det er nogle armbånd med perler."
412000,414000," Nu skal vi lige prøve at se her."
414000,422000," Det er nemlig en klassiker. Et lille armbånd med perler på."
422000,429000," Nu må I lige bære over med, at jeg ikke er så hurtig på benene lige for tiden, men de er der, og det er det vigtigste."
429000,433000," Og så ser I lige her et klassisk armbånd med en stor færdsmandsperle."
433000,437000," Super smukt, og så også rigtig flot, hvis man har flere armbånd på sammen."
437000,445000," Det der er med perler, fordi det er jo noget, naturen har skabt, et organiskt materiale."
445000,449000," Så det er ikke ligesom når I har været på Mallorca, hvor I ser, at de har de her fuldstændig runde perler."
449000,455000," De er jo fake. Det er jo noget, der bare bliver skabt på en fabrik, hvor det her er noget, naturen har skabt."
