start,end,text
0,6000," Jeg har lige lyst til at sige \"vrum, vrum\"."
6000,14000," Og det har jeg, fordi i dag skal det handle om tireøje."
14000,19000," Jeg elsker tireøjeædesten, som I elsker tireøjeædesten."
19000,26000," Tireøje er også en meget stærk ædesten, og man siger også, at man kan se tirens øje."
26000,32000," Det står for at skabe sindelighed og styrke, så det er jo i sig selv en fantastisk energi, der ligger i den ædesten."
32000,36000," Men den er også bare sindssygt smuk."
36000,41000," Og jeg vil vise et par forskellige ørerringe, specielt med tireøje."
41000,47000," Det der er ved tireøje er også, at de er unikke alle sammen, lidt ligesom med labradorit, som I jo kender efterhånden."
47000,50000," Hvert har deres eget unikke udtryk."
50000,52000," Og man kan ikke sige, at jeg skal have den til at se sådan og sådan ud."
52000,54000," Nej, that's not gonna happen, guys."
54000,58000," Prøv at se, det her er jo et par, og I kan godt se, at de er forskellige."
58000,61000," Og den er bare, at jeg elsker tireøje."
61000,65000," Det er faktisk ret nyt, at jeg begynder at bruge den meget."
65000,71000," Grunden til det, det kan I takke Pippa Kvamann ikke få, fordi hun altid har sagt, at tireøje ikke er særlig pæn."
71000,75000," Jeg har bare altid elsket den, og så er jeg sådan, at det er godt med, at jeg ikke skal bruge den."
75000,82000," Men så sagde jeg bare her, for var det sidste år, at nu begynder jeg at lave noget med tireøje, fordi jeg synes, den er så sindssygt smuk."
82000,88000," Her er det så Bloom, kombineret med, hvad hedder det, rosa kalsedon og røgtopas."
88000,92000," Og prøv lige at se, prøv lige at se, hvor flot de er."
92000,96000," Og jeg synes jo faktisk selv, at det er ret godt stylet i dag."
96000,100000," Det er meget basic, meget basic."
100000,105000," Sweater og divine med tireøje og røgtopas."
105000,107000," Det er så pænt."
107000,108000," Altså, det kan noget."
108000,110000," Så er jeg ikke særlig meget makeup på."
110000,112000," Det kan godt være, at det behøver man ikke på sådan en regnværksdag."
112000,115000," Men det der med at have nogle smykker på, det shiner bare op."
115000,116000," Altså, det gør det."
116000,118000," Og jeg ved godt, at I nogle gange tænker, at jeg er mig."
118000,120000," Selvfølgelig synes du det, fordi det er smykker, du laver."
120000,130000," Men jeg må bare sige, prøv at se her, hvis ikke jeg havde ørerring på nu, og hvis jeg så heller ikke havde nogen farve på negne, hold nu op, hvor er det kedeligt."
130000,135000," Så er jeg ørerring på, og så gør det bare, synes jeg selv, at det ligner en million."
135000,144000," Og den anden tigere, jeg også vil vise, jeg havde en dejlig kvinde i går til stegning, og hun prøvede også dem her, og de var bare, wum, flotte."
144000,146000," Har du mørkt hår, er de mega flotte."
146000,148000," Har du lyst hår, er de mega flotte."
148000,150000," Og det her spil, der er i tigereøjnene."
150000,157000," Det der jo sker, når det er mange små eddesten sammen, og det kan I også fornemme her, det er, at der kommer rigtig meget spil."
157000,163000," Specielt når man har de her eddesten, som har deres helt eget liv, så kan I se, hvor meget spil der er i den her."
163000,167000," Gemkloster, det er altså, det er en sikker vinder."
167000,170000," Og den er mega fed også til sådan en svetter."
170000,176000," Og så ikke nogen halskæde til hverdag, og så til fest, så tager du en svett, eller så tager du en halskæde på."
176000,181000," Og der vil jeg så til fest, nu har jeg desværre ikke nogen af mine lovebeads med tigereøje her, jeg kan vise."
181000,187000," Ellers så skulle jeg lige vise en lovebeads med tigereøje, fordi det har jeg lavet en kombineret med røgetopas og tigereøje."
187000,189000," Meget flot."
189000,193000," Men prøv at se, halskæde her til ørerringe, det vil også være rigtig flot."
193000,204000," Jeg synes til hverdag bruger jeg primært kun ørerringe, men til fest synes jeg det er rigtig flot, at når man skal ud, når man lige skal shine tøjet op, så er det rigtig flot at lige tage en flot, flot matchende halskæde på."
204000,210000," Ikke matchende som sådan, at det er den samme model, men jeg matcher meget efter, at det er den samme eddesten."
210000,216000," Så den her med tigereøje, hvis man har et par tigereøjerringe, så er det en rigtig flot."
216000,221000," Jeg skal også lige vise, hvad skal jeg vise mig?"
221000,225000," Jeg skal vise et ballon med tigereøje."
225000,227000," Det er flot, ikke?"
227000,232000," Og prøv at se, det er virkelig en taknemmelig eddesten, fordi den passer til så meget."
232000,236000," Det vil jo også være vildt flot til det jeg har på nu med tigereøjen her."
236000,247000," Jeg siger altid til mig selv, at den dag jeg ikke bliver høj af både at designe og når jeg kommer ind i butikkerne og står og ager smykkerne, fordi det gør jeg, det lyder åndssvagt, men det gør jeg."
247000,259000," Inden jeg lige slutter min, synes jeg selv, fantastiske video i dag, så vil jeg lige vise en anden eddesten, som jeg er begyndt at arbejde rigtig meget med."
259000,264000," Og jeg ved ikke, om I er klar, men I skal bare være så klar til at se den her."
264000,269000," Det har intet at gøre med tigereøjen, som I intet, men den er bare..."
269000,274000," Nogle gange må jeg tage mig selv til huden og tænke, at det er bare så smukt."
274000,276000," Prøv lige at se her."
276000,279000," Det er faktisk en kvarts eddesten, som jeg så får indfarvet."
279000,285000," Det er ikke helt nemt at indfarve, skulle jeg hilse at sige, fra min produktion, men det er bare sindssygt smukt."
285000,287000," Prøv lige at se det."
287000,290000," Farvespil. Det er altså tre farver kombineret."
290000,296000," Her har jeg også lavet den, der hedder Aqua Terra, hvor I kan se, at den har noget blåt og noget rødt."
296000,300000," Det er også lidt dyre. Det er lidt en proces og farve."
300000,302000," Og her har vi Rainbow."
302000,305000," Jeg kan godt afsløre, at jeg kommer til at lave meget mere med dem her."
305000,308000," Det er kun mig, der har det. Der er ikke andre, der har den teknik."
308000,311000," Så... Ja."
311000,314000," Jeg synes, det er helt sindssygt flot nu."
314000,318000," Det, jeg lige står og fumler med her, det er, fordi jeg lige vil have lægt den på plads, de øjeringe der."
318000,322000," Til forskel fra, at når min mor laver live, så flyder det med smykker bagefter."
322000,325000," Når jeg laver live, så er de lagt på plads, mens jeg snakker."
325000,328000," Ja. Det er godt, hun ikke ser med lige nu."
328000,332000," Nå, men den her vil jeg bare lige vise, fordi den også bare er så sindssygt flot."
332000,335000," Så skal jeg jo også lige sige, at det er den 1. december i morgen."
335000,340000," Og det tænker jeg, at der ikke er så mange, der ikke har lagt mærke til."
340000,342000," Men vi er jo også begyndt at pakke rigtig meget ind til julegaver."
342000,347000," Har I nogen spørgsmål, noget I gerne vil have vejledning til, så bare skriv altid til mig her på"
347000,352000," Facebook. Jeg elsker, når I skriver. Og så er jeg selv i vogn."
352000,356000," Lige nu er jeg her i vores dejlige butik i København på Østerbro."
356000,360000," Men jeg er torsdag, fredag og lørdag i butikken i Aarhus."
360000,363000," Og det lader mig rigtig meget til, fordi jeg elsker bare Aarhus."
363000,366000," Og så kan jeg også godt afsløre, at jeg skal ned og vinterbade."
366000,368000," Jeg elsker også at vinterbade."
368000,371000," Det var simpelthen det, jeg havde til jer for i dag."
371000,376000," Husk spørgsmål, noget I tvivler om. Priser, det er rigtig dårligt til."
376000,379000," Det kommer alle rigtig til at lære, fordi det er ikke så meget det, jeg går op i."
379000,382000," Jeg går mere op i designet og skønheden. Og så må det andet jo komme."
382000,385000," Selvom jeg godt ved, at man også skal huske det andet."
