start,end,text
0,2000," Tutteløv derude!"
2000,6000," Jeg vil i dag fortælle jer lidt om ædesten og deres betydning,"
6000,12000," fordi ud over at ædesten jo er guddamme smuk, så er det jo også fantastisk,"
12000,20000," og gennem århundredet har man tillagt forskellige ædesten, forskellige symbolske værdier, betydninger og energier."
20000,25000," Og det er jeg begyndt selv også at gå rigtig meget op i, fordi jeg synes det er mega spændende,"
25000,28000," at ædestene har den her ekstra dimension."
28000,33000," Ikke at man så kun skal bruge den ædesten, men det kan jo være rart i nogle sammenhænge,"
33000,37000," at man bærer noget, der har en særlig betydning."
37000,42000," Det er faktisk også lidt sjovt, fordi der er rigtig mange, der måske er drevet af en ædesten,"
42000,46000," uden at vide, at de faktisk er drevet af den, fordi den står for noget særligt."
46000,48000," Blandt andet mig selv."
48000,53000," Jeg har altid været meget drevet af hematit-ædesten, som er den jeg har på her."
53000,57000," Og når jeg nu netop er begyndt at sætte mig ind i, hvad står hematitterne for,"
57000,62000," så giver det rigtig god mening, fordi det er en meget stærk og kraftfuld ædesten,"
62000,64000," hvor man er med."
64000,67000," Den sætter fokus på udhåndenhed, at man er sig selv."
67000,70000," Jeg tænker, at den passer meget godt til mig, Mannike."
70000,71000," Jeg ved det ikke."
71000,76000," Men nu kan det være, at der også giver mening for jer, når I hører, hvad det er for nogle ædesten,"
76000,79000," der har de forskellige energier. Hvad står de for?"
79000,83000," Har I nogle spørgsmål, så må I altid skrive til mig her på Facebook,"
83000,85000," og sende mig en privat besked."
85000,89000," Jeg elsker, når I spørger mig. I kan også kommentere herunder, og så svarer jeg senere."
89000,93000," Priser og alt sådan noget, det må I også spørge på i kommentarfeltet."
93000,94000," Jeg kan ikke huske det hele."
94000,98000," Nu har jeg valgt de her smykker ud for at sætte fokus på deres ædesten."
98000,101000," Lad mig starte med..."
101000,102000," Hej!"
102000,103000," Hej, Line."
103000,107000," Den første ædesten, det er den, der hedder Aventurin."
107000,110000," Den bliver også kaldt for lykkestenen."
110000,115000," Det vil sige, at den lægger fokus på at hjælpe med held og fremgang."
115000,117000," Det kan man jo godt lide."
117000,121000," Generelt er alle ædesten jo med positiv energi."
121000,124000," Og der er jo ikke nogen, hvor der er sådan noget negativt omkring."
124000,128000," Alt med ædesten er jo forbundet med noget positivt, og det er deres energi, og selvfølgelig også."
128000,131000," Det er så bare et spørgsmål om, hvad er det for nogle energier?"
131000,133000," Er det kærlighed, videnskab, selvtillid?"
133000,137000," Og det er det, jeg kommer ind på nu med de ædesten, jeg har valgt ud at fortælle jer om."
137000,140000," Så har vi granaten."
140000,145000," I gamle dage blev granaterne faktisk også brugt, når man var ude om natten, til at lyse vejene op,"
145000,148000," fordi de har det her meget shine i sig."
148000,151000," Derudover er det ligesom karrierestenen."
151000,156000," Den er kendetegnet for, at den sætter fokus på selvtillid, at man er bevidst om sig selv,"
156000,158000," at man tror på sig selv."
158000,162000," Meget smuk."
162000,165000," Meget smuk granatædesten."
165000,170000," Her havde vi så hæmatiderne, som jo netop også er dem, jeg selv har på,"
170000,173000," som står for styrke og handling."
173000,182000," Det er en meget maskulin ædesten, og man har jordforbindelse, særlig styrke, udholdenhed og fokus på handelekraft."
182000,185000," My mannequin. I love it."
185000,191000," Det er så også lidt sjovt, fordi hæmatid er jo et ord på græsk for jern,"
191000,196000," og den har det her jernglans, og jern er jo også meget stærkt,"
196000,199000," så alt giver ligesom mening, når man tænker over det."
199000,202000," Det er altså bare helt fantastisk."
202000,205000," Den næste, jeg vil vise her, det er citrinen."
205000,209000," Den skulle jeg måske have vist bare for en måned siden, så var der mange, der ville have haft glæde af den,"
209000,212000," da det gik til eksamen, fordi at den hedder eksamensten."
212000,216000," Den fjerner angst, den er afstressende, den giver selvtillid."
216000,218000," Citrinen."
218000,221000," Så er der ametysten."
221000,227000," Ametyst er der rigtig mange, der har et forhold til og elsker, blandt andet min mor."
227000,230000," Det er også det, der hedder trostenen."
230000,234000," Den står for klarhed og tillid."
234000,238000," Det synes jeg faktisk passer rigtig, rigtig godt med min mor."
238000,240000," Lige præcis klarhed og tillid."
240000,243000," Hvis der er noget, jeg har til hende, så er det tillid."
243000,248000," Så der er måske en grund til, at den eddersten af min mor bliver meget drevet af."
248000,252000," Hun elsker den, og de er også meget smukke ametyste eddersten."
252000,255000," Trosten bliver den kaldt."
255000,258000," Tillid og klaresyn og klarhed."
258000,260000," Klarhed og klaresyn, hun siger det på tavlen."
260000,262000," Så har vi så den næste her."
262000,264000," Nej, det er ikke den her, det er den her."
264000,266000," Det er en eddersten, jeg elsker."
266000,270000," Jeg elsker, elsker, elsker, elsker labradorit eddersten."
270000,271000," Wow."
271000,275000," Jeg elsker dem, fordi de har det her helt fantastiske shine."
275000,278000," Grønblå, det er outstanding."
278000,280000," Specielt også, hvis man har blå og grøn øjne."
280000,283000," Det har jeg ikke, men det er der mange skandinaviske piger, der har."
283000,290000," Men det er også en eddersten, hvor hvis man er spirituel, så når folk kommer ind til mig, så er de meget sådan,"
290000,292000," \"Maj, hvad har du med labradorit, hvad har du med labradorit?\""
292000,295000," Og hvor er sådan, \"Jeg har meget med labradorit, for jeg elsker labradorit.\""
295000,298000," Og det er fordi labradoriten er en af de mest spirituelle eddersten."
298000,302000," Den står for nye begyndelser."
302000,308000," Og man kan godt lidt fornemme det, når man ser, at det der er med labradoritter er, at de er unikke alle sammen."
308000,310000," De changerer helt vildt."
310000,313000," Og hver ny begyndelse er jo unik og forskellig."
313000,318000," Og altså, vi kan alle godt bruge en ny begyndelse."
318000,323000," Det er uanset om det er parforholdet, arbejde, det er altid godt med nye begyndelser."
323000,327000," Så det er en meget, meget spirituel eddersten, og den er også bare godt dårlig smuk."
327000,336000," Den næste, jeg vil se på her, jeg skal lige få en rækkefølger, så jeg kan overskue det hele, det er lapis lazuli."
336000,338000," Venskab og vilje."
