start,end,text
0,2000," Tillykke derude, siddevenner."
2000,7000," Det er blevet lidt gråvær nu, og jeg ved ikke med jer, men jeg mærker, at efteråret er ved at komme."
7000,11000," Og det er så fedt, fordi så kan vi også begynde at bruge tørklæder."
11000,14000," Nu kan I se, at jeg har hverken halskæde eller ørering på."
14000,17000," Jeg har faktisk kun ring og armbånd og alt det der på."
17000,24000," Fordi det, jeg vil vise jer i dag, det er øreringen do's and don'ts, når man har tørklæder på."
24000,27000," Så jeg starter med at tage et tørklæde på."
27000,33000," Og jeg skal lige skrive mig at sige, hvis I har nogle spørgsmål til priser, kommenter gerne herunder."
33000,38000," Eller send mig en pb. Jeg lover at svare alle, og jeg elsker faktisk, når I skriver til mig."
38000,41000," Nå, men tilbage til, hvilke tørklæder jeg tager på."
41000,51000," Jeg tager det her helt crazy smukke Silke Casimir tørklæde fra Ortiga Cecilia."
51000,58000," I ved jo, at vi har Ortiga Cecilia i mit skønhedsunivers, Maimundu, som vi har både online og i begge butikker."
58000,71000," Men de har simpelthen også lavet de her helt fantastiske tørklæder, som er fuldstændig i tråd med deres visuelle look og hvor smukt det er."
71000,75000," Det er sådan meget italiæsk på den gode måde, hvis man kan sige det sådan."
75000,78000," Og farver det virkelig eksklusivt og elegant."
78000,80000," Det tørklæde tager jeg på."
80000,86000," Jeg tager altid tørklæder sådan her på, og så gerne tre gange."
86000,91000," Derfor er den her også bare perfekt. Det er ret Silke Casimir, og de er 2 meter gange 100."
91000,94000," Det vil sige, at det er en perfekt længde, når man har dem på på den her måde."
94000,96000," Sådan elsker jeg at tage tørklæder på."
96000,104000," Men spørg min mor, så er hun til at tage tørklæder på sådan her."
104000,106000," Nu skal vi lige ramme her."
106000,108000," Sådan der."
108000,113000," Så har vi, som mange tager tørklæder på, fx min mor."
113000,117000," Jeg synes, det her bliver en lille smule danet. Jeg håber ikke, min mor ser med lige nu."
117000,120000," Men hun ved det godt, fordi jeg synes det er andet."
120000,123000," Men hun synes omvendt, at det bliver for rodet den måde, jeg tager det på."
123000,127000," Og det er jo det, der er så fantastisk ved stil, at man gør det, man selv synes er fedt."
