start,end,text
0,7120," Yes, så er jeg altså færdig, og jeg hedder Vilke Manneke, og jeg er inde i vores butik,"
7120,14160," TUCPH's butik, inde på Blejhavnsvej 104 Pøsterbro, hvor vi har fantastisk parkeret nærmest ind i butikken,"
14160,19720," der er lige ved døren, metroen i nærheden. Og så vil jeg lige vise dig lidt, det er jo jul lige om lidt,"
19720,25240," og i dag er jeg, om ikke damme med de blå tænder, så i hvert fald damme med de blå smykker,"
25240,31400," fordi i dag har jeg lidt fokus på de blå eddelstene. For det første vil jeg sige, at vi har faktisk vores læsebriller,"
31400,36920," hvor de faktisk også er blå, så det er lige før turen er den eneste, der mangler at være blå i dag."
36920,43400," Anyways, lad os starte med det, jeg har taget på. Nu har jeg jo de brune øjne her, du måske bemærkede,"
43400,48600," og der er blåtupaget fint, men det er faktisk endnu bedre, hvis jeg havde haft de blå øjne, det har jeg så ikke."
48600,54080," Men det er til gengæld super flot til den blå kjole, fordi der er også noget lyseblåt i det."
54080,60120," Der har jeg taget vores faceted-søkke på, som er en super fin ørerindstørrelse, og så vores beacharm,"
60120,65880," hvor du den friske, frikke jagt her kan se, at der er også en blåtupage ligesom heroppe."
65880,71560," Jeg lægger op bagefter links til de smykker, jeg viser, så du netop kan se, hvad det er for nogen,"
71560,76400," og du er altid meget velkommen til også at spørge mig, hvis du søger et smykke til en køneme,"
76400,81560," særlig øjenfarve, hårfarve, stil osv., så finder vi altid de perfekte smykker."
81560,89560," Så har jeg taget vores, hvad hedder det, gløgering på, hvor der også er fantastisk flotte blåtupages"
89560,94760," og hvide single-cut-diamanter. Den er meget, meget smuk."
94760,99680," Og så har jeg faktisk også taget, og jeg sagde jo, at jeg er meget kæmpeføret blåt,"
99680,106200," så har jeg taget et af vores fine armbånd på, som i det her tilfælde har lapis."
106200,110120," Men lad mig vise dig lidt forskellige smykker med blå ædesten."
110120,115200," Og nu har jeg taget en assistent med i dag, så mens jeg klæder om, som det så fornemt hedder,"
115200,122480," så kigger assistenten lige ned på de andre smykker, så jeg kan klæde om i ro og magt, som man siger."
122480,128000," Og vi er lige ved at være der, og vupti, så er jeg tilbage igen."
128000,134920," Her har jeg taget nogle af vores gottes, meget, meget populære øveringsdører,"
134920,140920," også i det her tilfælde med blå evanturin. Den giver også noget, den giver lidt mere vært og smuk til kjolen,"
140920,146960," men den er også super smuk, og det er en rigtig god størrelse. De koster 1449 kr."
146960,150160," Så kigger vi lige ned igen, mens jeg endnu en gang klæder om."
150160,156440," Og nu kommer vi over i det, jeg kalder space-afdelingen. Det kan vi ikke, men det er i hvert fald en større øveringsområde."
156440,164560," Der kan du virkelig glæde dig til at tage en par fjæs, mens at Daniel lige viser lidt, hvad vi har af det store udbud."
164560,169280," Du kan også gå ind på vores hjemmeside, og der kan du også finde rigtig mange ting."
169280,172280," Vi har jo en kæmpe kollektion. Alt er jo af eget design."
