start,end,text
960,2460," Så er jeg tilbage."
2460,13180," Det er 1. maj i dag, og derfor vil jeg lige give mit besyv med til den her, på mange måder vigtig dag af så mange grunde."
13180,16300," Men lad os lige starte med at sige, hvem jeg er."
16300,22720," Jeg hedder Vibeke Mannike, jeg er læger her i PUD, og så har jeg fulgt vores coronahelved lige fra start."
22720,27320," I dag ligger det mig meget på sinde at snakke om frihed,"
27320,39360," fordi vi har jo troet og taget en frihed forgivet, som andre mennesker, bare ved at knipse i fingrene, faktisk tog fra os."
39360,46240," Hvis du havde spurgt mig før starten af marts 2020 om vores grundlovssikkerhedsretligheder,"
46240,52120," så vil jeg uden at blinke have sagt, at vi har den personlige frihed, vi har ytringsfrihed,"
52120,60700," vi lever i en demokrati, vi har den private, hvad hedder det, altså den private frihed er ukrænkelig."
60700,65440," Jeg vil have sagt, at grundloven er jo hele omdrejningspunktet for vores samfund."
65440,77640," Jeg blev meget klogere, det gjorde rigtig mange af os, da vi fandt ud af, at man altså nærmest uden videre kunne indskrænke vores frihed i så massiv en grad,"
77640,80400," som har været og er tilfældet."
80400,86800," Og det har været pakket ind i corona, men i mine øjne kunne det have været pakket ind i hvad som helst,"
86800,97620," fordi det, som egentlig er det skræmmende, det er, at det var så let for så få mennesker at tage noget så vigtigt som vores frihed fra os."
97620,100120," Og hvorfor har det været muligt?"
100120,106640," Jamen det har det været og er, fordi at man fra regeringssiden, og i særdeleshed ved Mette Frederiksen,"
106640,111400," har gjort brug af et elgammelt trik, nemlig at gøre befolkningen bange."
111400,114400," Og gør man befolkningen bange, jamen så går vi i takt."
114400,117840," Eller det vil sige, at nogen går i takt, vi er også nogen, der ikke har gået i takt."
117840,125880," Men det vil sige, at angst, frygt, det er et fantastisk middel til at holde en befolkning i æve."
125880,132360," Og så selvfølgelig også at indskrænke ytringsfriheden, og lægge et låg ned over pressefriheden,"
132360,136320," lægge et låg ned over medierne, hvad man jo også gjorde fra starten."
136320,141880," Så på den måde må man sige, hvis man sådan skal sige diktatorns lærerbog,"
141880,147840," så har det været meget godt orkestreret, men det er selvfølgelig uhyggeligt,"
147840,151960," hvor let det har været at fremreste os vores frihed."
151960,155640," Flere af jer har, nu sagde jeg her, jeg vil holde talen her,"
155640,159240," og man kan sige, jamen hvad er det i særdeleshed, når jeg siger frihed?"
159240,164080," Jamen det har jo været noget så simpelt, eller er noget så simpelt, som vores bevægelsesfrihed."
164080,169160," Jamen det at man har lukket landet ned, har jo været en katastrofe."
169160,174560," Således at forstå, at vi har ikke måtte bevæge os, vi kan ikke rejse ud af landet,"
174560,182120," vi har været tvunget til at blive indendør, vi har været tvunget til at blive, hvor vi nu engang var, og så videre."
182120,186640," Det er jo en meget, meget voldsom indgreb i forhold til en personlig frihed."
186640,191840," Så har vi hele diskussionen med vores børn, med vores unge, hvor man også,"
191840,195560," jeg vil jo så også, hvis du havde spurgt mig før starten af marts 2020,"
195560,199960," jamen så ville jeg jo have sagt, jamen vi har jo fri og gratis uddannelse til alle,"
199960,204920," vi går rigtig meget op i uddannelse, vi går rigtig meget op i at få kvalificeret vores børn og unge,"
204920,207800," universiteterne og så videre."
207800,208920," Det kan du godt glemme."
208920,213040," Fordi der blev børnene og er blevet sendt hjem, og nogle af dem er stadigvæk hjemme,"
213040,218720," og der ved vi jo, og hvis vi ikke vidste det før, at læring, det handler altså også om samvær."
218720,223040," Det handler om at være en del af et fællesskab, det handler om at interagere med andre,"
223040,225040," spørge og lytte, hvad snakker de andre."
225040,227400," Det kan du ikke erstatte med Zoom."
227400,232680," Og samtidig har vi jo set, at netop vores børn og unge er blevet smittet med den her frygt."
232680,235080," Vi har aldrig haft så mange børn og unge, som i dag."
235080,238120," Der er angste, der er bange, der er bange for andre mennesker,"
238120,244120," fordi de er blevet tuget ørerne fulde med den her angst og jagten på frygt."
244120,246720," Og så har vi aldrig haft så mange, der føler sig ensomme."
246720,250760," Det værds af både børn og unge, det værds af voksne, ældre."
250760,254760," Jamen ensomhed er jo i sig selv en dødelig sygdom."
254760,258080," Fordi det er farligt at være ensom, fordi så tager vi ikke vare på os selv,"
258080,261600," så bliver vi kede af det, vi bliver deprimeret, vi passer ikke på os selv."
261600,265200," Og det er faktisk en dødelig sygdom at være ensom."
265200,269600," Så tilbage til friheden, så det vil sige noget så simpelt som vores uddannelses,"
269600,271600," retten til uddannelse har man taget fra os."
271600,275400," For nej, det kan du ikke bare erstatte med et Zoom, det kan du bare ikke."
275400,281200," Så det vil sige, man har forment børn og unge og studerende adgang til deres uddannelsesinstitutioner."
281200,286520," Det er jo skræmmende, det er helt vildt, det er fuldstændig ude af proportioner."
286520,289000," Det samme med vores alvorlige syge."
289000,293120," Jamen covid-19, det er da en træls sygdom, som du ved, har jeg haft den selv."
293120,296120," Jeg var syg en nat med høj feber, det var rigtig øv."
296120,300520," Men ved du hvad? Der er rigtig mange træls sygdomme derude."
300520,304720," Der er dødelige sygdomme, som rigtig mange grimme kraftformer."
304720,308120," Der er hjertekar-sygdomme, der er blodpop i hjerte, der er slagtilfælde,"
308120,311520," der er amyotrofisk latteralsklerose."
311520,317120," Der er rigtig mange vimlige, og endnu mere vimlige end en træls sygdom derude."
317120,322920," Og rigtig mange mennesker har ikke fået den behandling, den retten til genoptræning,"
322920,328920," som de ellers havde før, fordi det har stået i coronans tegn."
328920,330520," Og det fører mig til Indien."
330520,335120," Fordi lige nu ser vi Indien, og det er rigtigt, Vestastat og Indien,"
335120,338720," der ser man nu et opsving af corona."
338720,341520," Og vi kan jo på ingen måde sammenligne Danmark med Indien."
341520,343720," Det plejer vi ikke at gøre, det har vi aldrig nogensinde gjort før,"
343720,347720," så hvorfor vi skulle gøre det nu, vil være mange gode, det skal vi selvfølgelig heller ikke."
347720,353720," Men jeg har en enkelt lille kommentar i forhold til covid-19 eller corona og Indien."
353720,361120," Og det er, at man jo netop i de her lockdowns har set konsekvensen af lockdownen i Indien."
361120,366720," Nemlig en meget stor stigning i tuberkulose, som er en meget grim og vimlig sygdom,"
366720,370520," mæslinger og polio, sygdomme som den dag i dag."
370520,375320," Vi frygter dem ikke på samme måde herhjemme på grund af blandt andet vacciner og hygiejne"
375320,378320," og en masse forhold, vores levevis i det hele taget."
378320,381320," Men i Indien er det meget, meget farlige og dødelige sygdommer,"
381320,385720," specielt hvis man er tæt på andre mennesker, specielt hvis man er tæt i en husholdning."
385720,389120," Så det vil sige, at lockdown har faktisk haft medført i Indien,"
389120,394720," at man har set en stigning i de her meget, meget alvorlige smitteomsygdomme."
394720,398320," Alt sammen for at sige, at når vi har det her,"
398320,401720," der hvor kæden faldt af og også faldet af herhjemme fra start,"
401720,404320," det var det her med manglende proportioner."
404320,410320," Vi skulle have gjort rigtig meget for at holde covid-19 i æve, det kan vi stadigvæk gøre,"
410320,414320," uden at lukke landet ned, uden at begrænse befolkningens frihed,"
414320,418320," som har været og er tilfældet i så ekstrem grad."
418320,422320," Og det sidste jeg lige vil tage fat på, når vi taler om frihed,"
422320,425320," så er det det famøse coronapas."
425320,430320," Det må også en gråde, at man har stemt det hjem på det her tidspunkt."
430320,434120," For et år siden lukkede man landet op, der havde vi ikke noget coronapas,"
434120,437320," der voldtestede man ikke til højre og venstre,"
437320,440120," og der skete intet med smittetallene."
440120,444120," Blandt andet jo, fordi vi var så langt hen på foråret."
444120,447320," Plus at vi havde ikke immuniteten i befolkningen, som vi har i dag,"
447320,449320," på grund af dem af os, der har været smittet,"
449320,451320," og så selvfølgelig også de vaccinerede."
451320,455720," Så rationalet for coronapasset har jeg meget svært ved at forstå."
455720,461520," Udover selvfølgelig, at det er en meget stor indskrænkning og begrænsning af befolkningens frihed."
461520,466520," Og så er vi tilbage til det her med, at vi har fået fremfristet os vores frihed"
