start,end,text
920,4920," Ja, så er jeg tilbage. Der var lige lidt med strømforholdene."
4920,9320," Jeg har taget vores Alcantara på, som er den nye farvekombination."
9320,11160," Det er jo en meget, meget populær ørering."
11160,20000," Her har den lapis, blå ondskyld, blå aventurin, corundum og blå sopage."
20000,21000," Super flot!"
21000,25600," Og der kan du se, at til min kjole her, der fanger den lige de forskellige blå nuancer."
25600,29520," Jeg skulle næsten tro, at kjolen var lavet til øreringen og ikke omvendt."
29520,34000," Men igen, hvis det er til en, der er rigtig glad, eller hvis du selv er glad for blåt,"
34000,36640," så er det her en super flot kombi."
36640,39640," Den anden video, som jeg var i gang med, den lagde jeg op."
39640,46120," Der lægger jeg links op, så det her er lidt en del 2 af dagens live video."
46120,50720," Så vil jeg lige til sidst, eller anden sidst, vise dig et set."
50720,54200," Eller nej, jeg har faktisk nogle andre, jeg også vil vise dig."
54200,61200," Vi kan jo lige så godt nu prøve at vise nogle af de flotte blå smykker, vi har med blå sopage."
61200,63200," Prøv lige at se her."
63200,67200," Der har jeg taget Majestic på i sort-sølv med blå aventurin."
67200,71200," Alle vores smykker er ægte. Det betyder, at det er ægte søde guld."
