start,end,text
0,9000," Det er så 3. del af dagens live video her fra Blegdomsvej 104A på Østerbro, hvor jeg viser nogle af vores skønne smykker her fra Djurhus CBH."
9000,19000," Vi er ved at rulle lidt af for dagens smykkevisning. Jeg lægger links ned på de respektive live videoer, så kan du se hvad det er."
19000,28000," Du er altid velkommen til at sende mig en mail eller besked eller spørge dig, hvis du søger et særligt smykke eller har et særligt budget, så finder vi præcis det smykke, du er ude efter."
28000,31000," Og ikke mindst som mega glæde under juletræet."
31000,37000," Men prøv at se, der har jeg taget Majestic på, som også er en super populær model, en lidt større ø-ring."
37000,42000," Her er det med blå aventurin, og der synes jeg igen, nu får kjolen et andet look, eller jeg får et andet look."
42000,46000," Nu bliver det sådan lidt mere knald på, hvis man kan sige."
46000,63000," Det sidste jeg vil vise dig, eller andet sidste, det er et sæt, og det er et sæt, hvor vi har en af vores klassikere interntet, som vi så har kommet i en ny dreng, hvis vi kan sige det sådan."
63000,70000," Vi har nemlig lavet forgyldte interntet med blå topaz, og det giver sådan et andet."
70000,76000," Og der har vi et særligt sætpris, jeg skal bare lige have kæden på, så er vi ved at være der."
76000,79000," Man skulle jo nød at se mig smykkeløs, som vi siger."
79000,85000," Og et blik, så er vi ved at være der, mens Daniel lige viser jer, hvad vi har af gode ting."
85000,91000," Og gå ind på nettet, eller kom ind i en af vores butikker, så er jeg parat."
91000,99000," Og her har vi taget vores interntet på, og der kan du se det med blå topaz og hvide topaz omkring."
99000,105000," Sternensyn forgyldt, og et super flot sæt, hvor vi har øreringe og kæden."
105000,109000," Og nogen af jer kan jo godt lide et sæt, og nogen af jer kan også godt lide at give sæt."
109000,116000," Og det her sæt, der sparer du faktisk lige nu - nu skal jeg have de blå boller på - 1.900 kroner."
116000,121000," Og det vil sige, at din pris bliver 2.948 for øreringe og halskæden."
121000,129000," Jeg vil sige netop nu, hvad jeg så smykker på, så har jeg det lidt ligesom sådan en fugl, der sidder og retter sin fjerd ud."
129000,135000," Fordi 2020 har jo været et bråt, bråt øveår i forhold til Covid-19 og alt det skramme."
135000,139000," Og det har jo gjort, at en del af os ikke har kommet ud i det pulserende liv."
139000,142000," Vi har ikke været til fester, til middage, til koncerter."
142000,146000," Og en del har nok gået ret mange timer rundt i en eller anden hummeldrag."
146000,149000," Men det er jo derfor, at vi har brug for at få pyntet os."
149000,156000," Det er derfor, at vi har brug for at mænde hinanden om livet, om det farverige liv, om knald på, om koloriten."
156000,160000," Frem for alt det grå og kedelige og, kan vi sige, deprimerende."
160000,168000," Så derfor er smykker faktisk om noget, at sige særligt, dels hedder ægte smykker, højaktuelt, netop nu og under juletræet."
168000,172000," Og det mærker vi også, og også tak for jeres store opbakning derinde, det mærker vi også."
172000,177000," Rigtig mange kommer og siger, vi vil gerne købe smykker hos jer, vi vil gerne købe julegaver."
177000,181000," Og det er superskønt, og det er også rigtig rart at møde mange af jer, som så kommer forbi."
181000,183000," Så det må jeg lige blive ved med."
183000,191000," Men det aller sidste, jeg vil vise dig, det er noget af vores tubanker, fordi det er netop, og den vil jeg lige vise dig, inden jeg tager den på."
191000,198000," Og det er fra vores diamantkollektion med en vidunderlig stor blå topaz, hvide single cut diamanter."
198000,203000," Og så er det altså diamanter, men slebet på en anden måde, hvis det var brillanter."
203000,210000," Og det gør, at prisen kommer lidt ned, fordi det er en anden og billigere slebning end brillant slebning."
210000,213000," Men de er vidunderligt smukke, de får sådan et rustigt look."
213000,220000," Og jeg skal nok lægge link op, og du får lige lov her til sidst, at se hvordan de får ungler, når de kommer på."
220000,227000," Og der skal jeg bare lige have den sat i øret, og så er vi ved at være der."
227000,231000," Og i forhold til den ring, jeg har på, der er de også supersmukke."
231000,235000," Nu tager vi dem bare lige på det ene øret, og prøver at se engang."
235000,240000," Og så med ringen, som er den her gløje ring, vi talte om før, også med den blå topaz."
240000,243000," Og prøver at se, hvor fantastisk flotte de er."
243000,246000," Men med det vil jeg sige tak, fordi du kiggede med."
246000,250000," Vi pakker jo selvfølgelig alle julegaver meget, meget smukt ind."
250000,255000," Og så må man jo stadigvæk sige, at ægte smykker, det bringer altså ægte glæde."
255000,257000," Kan du have det godt derude. Vi ses."
