start,end,text
0,12000," Ja, så er jeg tilbage igen, og som du næsten har vættet dig til, så kan jeg godt nogle gange alligevel slippe til på de her live-videoer ikke at holde hele tidsplanen."
12000,14000," Men jeg håber, der er enkelte af jer derude."
14000,19000," Mit navn er Vibke Manike, og jeg vil lige lave en update, om man så må sige."
19000,25000," For det første vil jeg sige, at lad os lige holde fast i det rigtig væsentlige, nemlig at tallene er utrolig fine."
25000,31000," Siden i går til i dag, der er der fundet 78 smittede ud af 7.700."
31000,35000," Det må man sige, det er et meget lille tal, nemlig omkring 1 procent."
35000,44000," Så er antallet af indlagte faldet drastisk fra 198 til 177, altså på bare to dage."
44000,55000," 22, nej 21 er det vel færre, det er et markant fald, og så er der stadigvæk 33, der ligger i respirator. Men kort sagt, alt sammen for at sige."
55000,64000," At det her famøse corona-udbrud, jamen det er 'fading', det er stort set 'on its way away', som man siger på godt dansk."
64000,72000," Og det skyldes langt hen ad vejen en meget væsentlig faktor, som meget få har taget ind i deres udregninger,"
72000,74000," ikke mindst Siveruminstituttet, nemlig foråret."
74000,81000," Altså at efter alt at dømme, jamen så har SARS-CoV-2 også en sæsonvariation."
81000,87000," Og det var vi nogen, der havde forventet og regnet med, og jeg var ikke ind, mindst en af dem."
87000,90000," Men det er jo det dejlige, gode budskab."
90000,94000," På trods af det, tror jeg rigtig mange af os sad og ventede på i dag,"
94000,101000," at den sunde fornuft havde ramt Mette Frederiksen ikke mindst, og at hun fandt anledning til at åbne landet."
101000,103000," Det gjorde hun ikke."
103000,108000," Hun sagde dog, at den sunde fornuft gerne måtte rode, så langt, så godt."
108000,114000," Jeg tror, det som var mest bemærkelsesværdigt i dag til pressemødet med regeringen,"
114000,118000," det var faktisk, at Kåre Møllbakke nu endelig blev jæret ud af busken,"
118000,124000," og ligesom os andre, kunne se, at der ikke er en anden bølge på vej."
124000,128000," Det har der på intet tidspunkt været noget, der tegnede for, at der ville være."
128000,132000," Skulle der komme noget igen, who knows, så vil det være til efteråret,"
132000,135000," og under ingen omstændigheder på det her tidspunkt af året."
135000,141000," Men det har Kåre Møllbakke heldigvis også indset, så langt, så godt."
141000,145000," Tilbage er bare, hvad er der så at sige til det her?"
145000,150000," Jamen, vi er jo nødt til at holde fast i, at vi lever faktisk i en demokrati."
150000,153000," De folkevalgte, det er sådan set nogen, du og jeg har stemt ind."
153000,156000," Det betyder jo også, at det er de folkevalgte, vi skal stille et krav til."
156000,162000," Jeg forstår godt, nu så jeg, at DF var ude og sige, at de følte sig velført lidt bag lyset,"
162000,166000," ved at man ikke allerede ved forhandlingerne for genåbningen i den her omgang,"
166000,173000," havde fortalt, at Sundhedsstyrelsen to dage efter vil gå ud og ændre afstandsmålene"
173000,175000," til ikke to meter, men én meter."
175000,178000," Det synes jeg også er en ganske væsentlig opløsning."
178000,182000," Jeg forventer da, at du og jeg, at vores stemme bliver hørt,"
182000,185000," at vi får lagt pres på de folkevalgte, og vi selvfølgelig tvinger dem til,"
185000,190000," forhandlingsbordet igen, fordi med så flotte tal, og når vi nu kan se,"
190000,195000," at uagtet åbning og uagtet, at landet er jo delvist åbnet,"
195000,197000," jamen så falder tallene stadigvæk."
197000,200000," Alt står i sol, måne og stjerne, blandt andet."
200000,207000," Og langt hen ad vejen, som følge af foråret, i at it's over for now, som man siger."
207000,209000," Der kommer ikke til at komme et udbryd nu."
209000,213000," Det er rigtig fint at holde de retningslinjer, der er."
213000,218000," Og det kan komme rigtig meget til gavn, ikke kun covid-19-virus,"
218000,222000," men altså også alle mulige andre virer, vi har derude, alle mulige andre bakterier."
222000,225000," Det er super godt med en god hygien, det er super godt,"
225000,229000," at hvis man er syg med en smittesom sygdom, at man holder sig frem, osv."
229000,234000," Så der er rigtig mange gode tiltag, os som Sundhedsstyrelsen har sat i værk,"
234000,236000," som vi selvfølgelig kan og skal følge."
236000,240000," Men det er jo ikke ens betydende med, at landet skal holdes lukket,"
240000,245000," og der slet ikke på så utrolig pååret og lille grundlag, som det er."
