start,end,text
0,11000," Så er jeg tilbage. Jeg hedder Vibeke Malmke, jeg er læge, har en PUD, og så har jeg fulgt det her coronahysteri lige fra dag 1."
11000,17000," Heldigvis er det jo blevet fantastisk fredeligt. Det er jo gået præcis, som jeg regnede med."
17000,26000," Vi har hele tiden haft set den her nedadgående kurve i forhold til antallet af smittede og så i forhold til den population, man har testet."
26000,35000," Så det betyder også, at vi i dag er helt nede på, at der ud af lidt over 13.000 testet blev fundet 65 smittede."
35000,41000," Det vil altså sige, for praktisk gørmål, så er COVID-19-udbuddet det faktisk over."
41000,47000," Det er nede på 0,5 procent, og det betyder, at nu skal den meget, meget store lup frem."
47000,54000," Det betyder så også, at der fortsat ikke er noget som helst lægefagligt belæg for på nogen måde at holde landet lukket."
54000,62000," Nu er der indgået en aftale, og fint nok for så vidt, men der mangler altså stadigvæk grænserne, der selvfølgelig skal åbnes."
62000,67000," Der er intet argument for ikke at åbne grænsen til både Tyskland og Sverige."
67000,71000," Og så er der selvfølgelig vores famøse fitnesscentre."
71000,75000," 800.000 medlemmer har fitnesscentrene."
75000,81000," Det betyder, at det er rigtig, rigtig, rigtig mange danskere, som ikke kan få deres daglig motion."
81000,87000," Som du måske ved, er jeg selv bit af en galt tennisketche og elsker at svømme i havet og elsker at løbe."
87000,92000," Så jeg er ikke en af dem, der bruger fitnesscentrene. Jeg har andre motionsformer."
92000,100000," Men så sent som i går var jeg sammen med en 68-årig mand, som fortalte, at han faktisk indtil nu havde holdt sig fysisk aktiv"
100000,103000," og egentlig slet ikke mærket, at alderen bankede på."
103000,108000," Men efter de her 10 uger i helvede, som han kaldte, uden at han kunne få sin service i fitness,"
108000,113000," så kunne han jo se, hvordan musklerne forfaldt, hvordan han pludselig følte sig som en gammel mand,"
113000,117000," hvordan han begyndte at få ondt, hvordan han slet ikke kunne de samme ting."
117000,120000," Og jeg tænkte, det er jo fuldstændig vanvittigt, det her."
120000,125000," Der har på intet tidspunkt været et sundhedsfagligt, lægefagligt belæg for at lukke landet."
125000,129000," Det viser sig jo så også, at vi er, hvor man vel nok siger, blev snøret."
129000,133000," Regeringen kendte til nogle fuldstændig forkerte tal fra Serum Instituttet,"
133000,138000," og alligevel gik man ud og lukkede landet. Og endnu værre, holdt det lukket."
138000,142000," Det viser sig jo så også, at de tal, som jeg har fulgt, nemlig de tørre tal,"
142000,145000," som vi har haft på daglig basis fra Serum Instituttet,"
145000,149000," det har faktisk været de eneste troværdige tal, vi kunne følge."
149000,153000," Det viser sig, at den her famøse matematiske model, det her smittetryk,"
153000,158000," som er sådan en noget røget affære, jamen, det er jo kun det værd, hvad du lægger ind af tal."
158000,163000," Så de tal, vi har kunnet følge, det har været dagligt, hvor mange der har været smittet,"
163000,170000," ud af de testede. Og så selvfølgelig indlagte, hvor mange i respirator og så videre."
170000,175000," Og der må man jo sige, jamen, der får praktiske gørmål stort set ingen tilbage på den konto,"
175000,180000," fordi udbruddet er over. Så er det også præcis gået, som jeg også forventede,"
180000,185000," nemlig at COVID-19 har og ville have en sæsonvariation."
185000,191000," Det betyder, at grunden til, at det stort set er væk nu, det er takket være den sæson,"
191000,197000," og det får vi ind i. Faktisk er det næsten skræmmende, at vi som mennesker troede,"
197000,201000," at vi kunne besejre naturen, fordi det er jo naturens gang."
201000,206000," Også når vi taler om f.eks. et udbrud af COVID-19. Jo, selvfølgelig betyder det noget,"
206000,213000," om du og jeg smitter hinanden, men sæsonen, vejret, vinden, temperatur, floraen,"
213000,218000," alt betyder også rigtig meget for, hvordan sådan en epidemi bevæger sig."
218000,223000," Så derfor er det gået præcis, som jeg forudsagde, nemlig at foråret ville gøre,"
223000,226000," at udbruddet forsvandt, og det er jo så også det, vi kan se."
226000,231000," Men tilbage til vores fitnesscentre. Vi skal have dem åbne."
231000,235000," Tilbage til grænserne. Vi skal have dem åbne. Der er intet lægefagligt belæg."
235000,239000," Og det er der med at sige, det kigger vi på. Nej, det er i morgen, de skal åbnes,"
239000,244000," fordi det her går jo hårdt ud over folkesundheden. Fordi rigtig mange lider under,"
244000,248000," at de ikke kan få deres motion i fitnesscentrene. Og selvom jeg så siger,"
248000,253000," ""Kunne du ikke finde på en anden sportsgren?"", så er det jo også rigtigt, det er umuligt."
253000,256000," Det vil jeg også sige, hvis nogen kom til mig og sagde, ""Nu kan du ikke spille tennis mere,"
256000,260000," du kan ikke dyrke i en havsvømming, du kan ikke løbe"", så er det jo ikke sådan,"
260000,265000," at man pludselig tænker, ""Okay, det er fint, så skal jeg til at gå op i curling eller basketball""."
265000,270000," Så det er jo ikke sådan bare at ændre sin motionsform. Så mit budskab til dig er,"
270000,277000," som så mange gange før, brug nu din sunde fornuft. Den værste smitsomme sygdom,"
277000,280000," vi har været ramt af i det her forløb, det har været frygt. Og det må jeg sige,"
280000,285000," det er en smitsom sygdom. Brug din forstand, kontakt dine lokale politikere."
285000,289000," Husk nu, det er et demokrati, det er altså folkevalgte. Så dem, der sidder lige nu"
289000,293000," og holder landet lukket, dem der sidder nu og har lukket fitnesscentren,"
293000,297000," det er sådan set nogen, du har stemt ind. Derfor skal du selvfølgelig også kontakte dem"
297000,301000," og sige, ""Hey, vi skal have fitnesscentren åbent"". Så kan du have det godt derude,"
301000,306000," og så kan du godt se, jeg har allerede tennistøj på, for jeg skal ud og spille tennis."
306000,308000," Kan du have det godt. Vi ses."
