start,end,text
960,6720," Så er jeg tilbage. Jeg hedder Webke Malike, jeg er læge, og så har jeg en Ph.D."
6720,15960," Så har jeg i de sidste to år haft snudnet i coronasporet, i fakta, i data, for det er præcis det, jeg kan."
15960,27200," Det er faktisk det, jeg har lavet i 30 år, haft fokus og arbejdet med folkesundhed, epidemiologi, statistik, smitsomme sygdomme."
27200,31720," Hvad fejler vi? Hvad fejler vi ikke? Hvornår fejler vi noget mere? Hvornår fejler vi mindre?"
31720,34600," Hvad fejler børn? Hvad fejler børn ikke? Og så videre."
34600,41600," Det er præcis mit lægelig DNA, det her, og det er selvfølgelig også derfor, at jeg heldigvis, kan man sige,"
41600,49200," eller ulykkeligvis, i forhold til at det ikke er blevet lyttet til, offentligt i hvert fald, har haft ret."
49200,52560," Lad os starte med tallene, og det, der er en breaking."
52560,64680," I 2021, vi har netop fået tallene i dag fra Danmarks Statistik, der døde 3.134 flere danskere end i de forudgående fem år."
64680,72560," Det er et uhyggeligt højt tal, fordi de her tal, de dækker over mennesker."
72560,81560," De dækker over pårørende, over kære personer, du har mistet, haft i dit liv, elsket højt, osv."
81560,89360," Og det falder mig ekstremt for brystet, at vi igen og igen har skulle tåle at høre en enfaldig,"
89360,97560," i mine øjne enfaldig og ekstremt enerådig statsminister, sige, at ét dødsfald var ét for mange."
97560,102960," Hvad siger hun så til 3.134 ekstra dødsfald i 2021?"
102960,108160," Ikke på grund af corona, det kan jeg ikke forklare, den øde dødelighed,"
108160,112760," men restriktionerne bærer uden tvivl en del ansvaret."
112760,121560," Nedlukningerne, forsinket diagnostik, forsinket operation, forsinket behandling osv."
121560,125560," Både på grund af nedlukningen i forhold til sundhedsvæsenet, hvor man prioriterede anderledes,"
125560,131360," aflyste jeg ved over 100.000 operationer på landsplan."
131360,134960," Og det må man jo formode, var operationer, der trods alt havde formål,"
134960,137560," ellers blev de jo ikke aflyst eller udskudt."
137560,141560," Men rigtig mange blev også hjemme, selvom de havde symptomer,"
141560,146360," hvad der så viste sig at være en kraftdiagnose eller hjertekar, altså blodproppet hjerte,"
146360,148560," fordi de troede, at de ikke kunne komme til lægen."
148560,152160," Og nogen kunne måske heller ikke komme til lægen, og kan måske stadigvæk ikke,"
152160,154760," hvis ikke de har den rigtige PCR-test osv."
154760,160560," Alt sammen for at sige, det er prisen for en fuldstændig vanvittig"
160560,165560," og uden lægefaglig begrundelse nedlukning af det danske samfund, og det er uhyggeligt."
165560,169560," Det er meget uhyggeligt for det menneske, vi taler om."
169560,174560," Vi har tallene fra december, som viser, at i december,"
174560,177560," og det er jo desværre den bekymrende udvikling, der har været,"
177560,181560," at i december var det over 15% ydegivelighed."
181560,185560," Vi har ikke tallene endnu fra januar, de må jo vise sig."
185560,188560," Men det er selvfølgelig meget bekymrende tal."
188560,193560," Og det er primært hos ældre, skal jeg sige, men derfor er det jo stadigvæk bekymrende."
193560,199560," Så vil jeg også lige sige et par ord omkring, og tilbage til det med overdødeligheden."
