start,end,text
0,7040," Godmorgen til jer alle sammen, siger ikke mindst Bella og jeg, hvis jeg i øvrigt kunne finde hende."
7040,10040," Åh jo, der er hun med den lille røde bold."
10040,17040," Så tager vi lige bolden, den skal vi andre ikke tage."
17040,20040," Og så har vi den der."
20040,27040," Det var sådan set ikke Bella, vi skulle tale om, trods at jeg siger godmorgen til jer alle sammen."
27040,35040," Bella og jeg er på vores sædvanlige løbtur op at hitse på min elskede mor oppe på Sølrød Kirkegård."
35040,38040," Der har hun, jeg var lige ved at sige, snart ligget i 12 år."
38040,44040," Og selv 12 år efter hun er død, så græder jeg, når jeg ser hendes navn."
44040,47040," Men det er kærlighedspris, men det var ikke kærlighedspris, vi skulle tale om."
47040,51040," Og det er det måske også lidt her i juletiden og tilgivelsen."
51040,60040," Men det jeg egentlig vil tale om, og det jeg vågnede med følelsen af, det var, du er nødt til at bruge dit gule badge, når ikke du tåler mundbind."
60040,65040," Og hvorfor siger jeg det? Jo, jeg synes her de sidste dage, jeg oplevede det jo også selv ved Kurt i Corsør."
65040,75040," Jeg oplevede det ved en butik i Aarhus, og rigtig mange af jer beskriver, hvordan I bliver chicaneret, når ikke I har mundbind på."
75040,82040," Jeg må lige stå fast første faktor. Mundbind i det offentlige rum virker ikke. I forhold til covid-19."
82040,91040," Mundbind i det offentlige rum er ufattelig smittebærende i forhold til, og nu siger det lige ud, lorte bakterier på det."
91040,96040," Alt muligt skrammel. Det er ekelt, ulækkert og meget beskidt."
96040,107040," Vælger du at tage mundbind på, så er det et frit valg for at beskytte dig selv, kammerat."
107040,115040," That's it and that's that. Man kan være fritaget på tro og love, og det er man selvfølgelig, hvis man ikke tåler mundbind."
115040,119040," Jeg tåler ikke mundbind. Mine briller dukker, så jeg ikke kan se noget for mig."
119040,125040," Jeg kan dårligt trække vejret, jeg kan hverken kø eller gæbe, og jeg får udslæt omkring munden."
125040,130040," Og vil du være jævet rar, er det ikke dig, fordi det er mine private sundhedsoplysninger."
130040,137040," Men jeg er også nødt til at sige, efter at have hørt, og det er Sønderåd Kirke, der ringer bag mig."
137040,141040," Jeg er også nødt til at sige, at efter at have hørt den her historie, jeg lige vil dele med dig fra i går."
