start,end,text
960,4700," I know, her er din dårlig samvittighed."
4700,6700," Jeg er ude og løbe en tur."
6700,10580," Jeg fik lige en anledning til at lave en live video, så jeg lige kan få pusen."
10580,12580," Men alt sammen for at sige, ved du hvad, min ven?"
12580,17260," Hvis du, ligesom rigtig mange af os andre, har taget nogle corona-kilder på,"
17260,25020," fordi du har været fedt op med det hele, fordi du har været isoleret, trist, ensom, frustreret."
25020,32860," Alt de ting, som corona om noget afskåret fra at dyrke den emotion, du elsker, osv."
32860,35980," Alt det, som corona har betydet for vores folkesundhed."
35980,40820," Ikke kun det psykiske velværd, som er i bund, generelt i befolkningen,"
40820,45060," men også vores sundhedstilstand, som er helt i bund."
45060,47060," Blandt andet som følge af, at vi har taget kilo på."
47060,51060," Hvis du har det, ligesom rigtig mange af os andre, så skal du til at tabe dig."
51060,53060," Så skal du simpelthen sætte dig for."
53060,57060," Og 2022, det er det år, hvor du kommer tilbage til normalvægten."
57060,64060," Det har jeg sat mig for, fordi vi alle sammen er en del af det samme moras."
64060,66060," Fordi det er noget moras."
66060,70060," Og derfor, det kan jeg også mærke, bare det, når jeg er ude at løbe med den lille dame med sin bold,"
70060,72060," kan du se hende, når jeg er ude at løbe med hende."
72060,74060," Jeg bliver straks i bedre humør."
74060,79060," Jeg bliver straks, det er ekstremt frustrerende, at der er så meget fearmongering stille."
79060,83060," Det er ekstremt frustrerende, at pressen er så ufattelig skildret."
83060,87060," Jeg vil sige blind, corona blind, fakta blind."
87060,90060," Men ved du hvad, den eneste måde, vi kan gøre noget ved det,"
90060,95060," det er at være i god form, både psykisk, intellektuelt og fysisk."
95060,97060," Så du skal ud, min ven, og gør ligesom mig."
97060,100060," Tag et billede, når du er afsted, så får du mindet dig selv om,"
100060,103060," at du har været ud, enten at gå en god tur, løbe en god tur,"
103060,109060," cykle en god tur med eller uden en lille bokser pige, Bella."
109060,111060," Så det var lige det, jeg ville sige."
111060,115060," Og så lægger jeg op, fordi det sagde jeg jo også i går,"
115060,119060," du kan jo mange steder på nettet købe sådan et virtuelt forløb,"
119060,122060," og jeg vil meget varmt anbefale det, som jeg lægger op."
122060,126060," Link til hos Helle, hun er en fantastisk dygtig slankekonsulent."
126060,129060," Hun er også sygeplejerske, og hun har nogle fantastiske resultater"
129060,132060," til at hjælpe folk med at tabe sig væk."
132060,136060," Ikke mindst fordi hun forstår at ikke tale ned til folk,"
136060,140060," ikke have løftet pegefinger, men understøtte den gode proces."
140060,141060," Det lægger jeg op."
141060,145060," Men uanset hvordan du enden når det, det er op til dig."
145060,147060," Man taber dig, hvis du er for tyk."
147060,150060," Det skal du altså. Ligesom jeg også skal tabe mig."
150060,152060," Kan du have det godt, min ven."
152060,154060," Og vi, som jeg siger, vi kæmper videre,"
154060,158060," men vi er nødt til at være i god fysisk form"
158060,162060," for at kunne holde det her Corona-helvede ud."
162060,165060," Og med Corona-helvede mener jeg ikke, at Corona er such."
165060,167060," Omikron er jo ganske fredelig."
167060,169060," Dem der smittes nu, det er vaccineret."
169060,172060," Jeg vil i hvert fald sige hurra for dem, der tog vaccinerne."
172060,173060," What's in it for you?"
173060,174060," Men igen, det er et personligt valg."
174060,177060," Men der er rigtig meget, vi skal have styr på i det nye år."
177060,181060," Ikke mindst alle de grundlovsbrud,"
181060,184060," som den sidende regering har putt befolkningen."
184060,187060," Jeg taler om nedlukningen. Jeg taler om indkatastrofen."
187060,189060," Jeg taler om rigtig mange ting."
189060,192060," Men alt det skal vi have saft og kraft til."
192060,195060," Og derfor skal vi, og det er ikke mig dronningen, det er også dig,"
195060,198060," derfor skal vi alle sammen i god fysisk form."
198060,200060," Vi skal være normalvægtige."
200060,202060," Vi skal reclaim our,"
202060,204060," og ja, jeg lyver, fucking life,"
204060,207060," altså kræve dit liv tilbage, kammerat."
207060,208060," Det er det, vi skal."
208060,211060," Og derfor skal vi altså ud og motionere."
211060,213060," Vi skal spise noget mindre, drikke noget mindre,"
213060,215060," leve noget mere."
215060,216060," Kan du have det godt, min ven?"
216060,218060," Og så må jeg altså hellere løbe lidt igen,"
218060,220060," fordi ellers så bliver jeg for kold."
220060,224060," Men det var meget rart lige at få pusten et kort øjeblik."
224060,226060," Vi ses. Hej hej."
