start,end,text
960,5620," Så er jeg tilbage. Jeg hedder Ipeke Mannike. Jeg er læge. Jeg har en Ph.D."
5620,11300," Og så har jeg, kan vi med sindsro sige, fuldt det her coronahelvede lige fra starten."
11300,24260," Jeg vil godt lige sådan i dag tage en take på det, at du er nødt til at ikke alene kræve dit liv tilbage, men tage dit liv tilbage."
24260,29700," Men jeg vil godt lige starte med sådan en, på den personlige note."
30380,38320," Som du måske ser, hvis du følger mig her på Facebook, så kan du se, at det ikke kun er alvor det hele."
38320,48280," Jeg laver også nogle gange nogle live videoer fra vores smykkebutik, 20. CPH, og ikke mindst sammen med mig, hvor vi danser og pjatter og bare har det sjovt."
48280,57820," Jeg lægger også nogle gange op, hvor vi er ude og bade, og hvor vi også bare griner og pjatter og har det sjovt, fordi det er faktisk en væsentlig del af livet."
57820,66820," Jeg har sådan et bon mot fra Immanuel Kant, som fik særlig stor betydning for mig, da min mor døde for nu snart 12 år siden."
66820,70820," Og da hun blev alvorligt syg, en kort periode var hun syg, inden hun døde."
70820,79820," Og den hedder ""Mod sorger, skænket himlen, eller Herren, os håbet, søvn og latteren."""
79820,85820," Og de tre ord fik meget stor betydning dengang, hvis ikke jeg var klar over det ende."
85820,96820," Da min mor blev syg af en hjerntumor - jeg er læge, min mand er læge - der var håbet væk i løbet af et splitsekund, for der var ikke noget håb."
96820,103820," Så tilbage var der altså søvn, som jeg også har fortalt om før. Jeg er jo en snudebillede, en sovetryne af Guds nåde."
103820,109820," Jeg er jo en elitesorge, som jeg så flot kalder det, og jeg underviser og har skrevet bøger om søvn, og jeg er meget optaget af søvn."
109820,111820," Men det skal vi ikke snakke om nu."
111820,114820," Men det andet var faktisk latteren."
114820,120820," Jeg fandt ud af, altså jeg var i dyb sorg, og jeg er nu 12 år efter, kan du se, at jeg bliver påvirket bare."
120820,123820," Jeg taler om hende 12 år efter, og jeg kan ikke se billedet af hende uden at græde."
123820,125820," Jeg var meget tæt knyttet til min mor."
125820,133820," Men det var sådan, at i sorgen, som var meget stor, og hvor jeg nogle gange troede, at mit hjerte skulle bristes af sorg,"
133820,137820," og jeg nærmest skulle dø af det, som man jo kan gøre, ens hjerte kan jo bristes af sorg."
137820,142820," Min egen mand, der er professor i hjertesygdom, har endda også selv beskrevet det, også i litteraturen."
142820,148820," Der var det sådan, at i en lang periode, der græd jeg meget hver eneste dag."
148820,151820," Jeg passede mit arbejde, men jeg var i stor sorg."
151820,156820," Og når så mit mand kom hjem fra arbejde, så stod jeg nærmest og ventede på ham i døren,"
156820,159820," og så hang jeg på ham og græd, og han lod mig græde."
159820,164820," Indtil han altid, og jeg siger altid, fik mig til at grine."
164820,169820," Og så sagde han et eller andet sjovt, og så grinede jeg, og så kunne jeg lidt igen."
169820,174820," Og der lærte jeg, hvor meget latteren faktisk betyder for os."
174820,179820," Når vi er i sorg. Når livet er svært. Når det er op ad bakke."
179820,184820," Når vi har noget coronapids eller en regering, som knækter vores frihedsrettigheder."
184820,191820," Når vi har en regering, bistod af nogle myndigheder, som gør os og vores befolkning og vores børn fortræde."
191820,194820," Så har vi faktisk også brug for latteren."
