start,end,text
960,7360," God morgen til alle sammen derude, og som jeg har sagt før, godt nytår til alle sammen."
7360,14920," Ved du hvad, jeg er ude på min morgenløbetur af Lepetitia, den lille bokser pige, er ikke med."
14920,17800," Fordi hun har det ligesom børnene havde, da mormor levede."
17800,21760," Der kom de til mormor, en gang imellem, og blev møgforkælet."
21760,27360," Lorten lille bokser pige er taget i sommerhuse med vores daved, og der bliver hun møgforkælet."
27360,29040," Vi har allerede set billeder derfra."
29040,33120," Jeg er ude på min daglige løbetur, nogen vil kalde det en tøffetur."
33120,40400," Men hey, du skal også til at ud og løbe, og svømme, og cykle, og gå, og koste."
40400,41680," Det har vi alle sammen brug for."
41680,46720," Det er ikke kun mig, der skal smide et par kilo, jeg er helt sikker på, at rigtig mange af jer,"
46720,53760," I har ligesom en stor del af befolkningen, fået jeres eller vores famøse corona-kilo på."
53760,58600," Jeg har lige været forbi min mors gravstad, det er snart 12 år siden hun er død."
58600,61880," Jeg kommer her ikke dagligt, men det er stort set dagligt, jeg kommer."
61880,70040," Og du kan se, selv 12 år efter, der betaler jeg kærlighedens pris, og bliver påvirket bare jeg ser hendes navn."
70040,73760," Men jeg bliver også mindet om de her dage, hvad jeg er grundet af."
73760,80280," Fordi rigtig mange spørger, hvorfor lige dig, og hvorfor har du været så klarsynet hele tiden, og hvorfor, og dit og den."
80280,86280," Jo, det er meget klart, det er jo fordi, at jeg er naturvenskabelig funderet, jeg vil have fakta."
86280,92920," Min mor, som nu desværre ikke er her mere, var vanvittigt dygtig til kemi, til fysik, til matematik."
92920,98840," Usædvanligt for datiden, at kvinder var så dygtige til det, men hun var jo også i skole,"
98840,103800," nemlig i Rumænien, som du ved, hvor hun voksede op med en dansk far og en svejsisk mor."
103800,107680," Så hun kunne noget helt særligt, og det er jeg jo grundet af."
107680,113280," Min far døde, da jeg var 7 år gammel, så jeg er jo grundet af min mors naturvidenskab i tilgang til det hele."
113280,117600," Hos os var alt fakta, altså det var matematik, det var fysik, det var kemi,"
117600,124440," og hvis ikke vi kunne finde ud af det, så hjalp min mor mig helt op til 3.G, kunne hun løse mine opgaver."
124440,128360," Ikke at hun gjorde det ved sin gamle lærer hørefter, jeg kunne også selv,"
128360,133280," men blot for at sige, at det er den der naturvidenskabelige forankring,"
133280,139120," og det er jo den, der ikke har glippet et eneste sekund herunder den her forbannede coronakrise."
139120,144080," Og jeg siger forbannet, og det er en menneske, der er en menneske grund til, at den er forbannet."
144080,148760," Det er ikke corona, altså. Så der er min mor taknemmelig, når hun ligger heroppe på Sønderøde Kirkegård,"
148760,157160," for det hun lærte mig, og den grundpil, jeg fik i livet, det mål, jeg fik i livet,"
157160,162920," den forståelse af fakta, af fysik, af kemi, af matematik, og ikke mindst statistik."
162920,165360," Men anyways, det var ikke det, vi skulle snakke om."
165360,171000," Jeg vil egentlig bare lige sige, hey korupo, rigtig mange er smittet."
171000,177920," Man kunne vælge, vi ved, at vaccinerne virker ikke mod omikron, og nej, heller ikke tredje booster."
177920,185120," Vi har lige set det her studie fra Færøerne, hvor 33 trippelvaccinerede sundhedspersoner"
185120,189040," var samlet nok til en julefrokost. 21 af dem blev smittet med omikron."
189040,194320," Så glem det, lad være, vil jeg sige, fordi du er lidt tilbage til, what's in it for you."
