start,end,text
0,6500," Så har du mig her igen. Jeg hedder Vibe Kemannike. Jeg er læge. Jeg har en Ph.D."
6500,12600," Og så er jeg vel sådan den alternativ, som Brostrøm havde her sagt."
12600,16200," Det er jo som om, at vi kører i sådan to parallelle spor."
16200,20600," Der er regeringen med al deres propaganda og manipulation"
20600,27000," bistået i mine øjne af det politiske embedsværk, nemlig Sundhedsstyrelsen."
27000,31700," Jeg synes, det bliver mere og mere pinligt at være tilskuer til det."
31700,36900," Jeg er jo sådan lidt tvangsinlagt til at se pressemøderne, og det har jeg også gjort i dag."
36900,42900," Men altså, jeg synes, det er en smertefuldt proces, fordi man bliver jo mere og mere..."
42900,46100," Hvad skal man sige? Det bliver mere og mere tydeligt."
46100,49900," Ikke mindst, hvor presse- og sundhedsstyrelsen og sådan Brostrøm er,"
49900,56500," men også, hvordan tingene sådan bliver manipuleret og tvistet i en grad."
56500,59900," Så heldigvis flere og flere kan gennemskue det."
59900,63600," For det første, lad os tage talene."
63600,66400," Jamen, det ser du også. Jeg lægger jo talene løbende op."
66400,70900," Det er de samme tal, vi har adgang til. Der er egentlig ikke så meget hokus pokus i det."
70900,74800," Jeg bemærker i dag, at man glæder sig over, og det vil jeg enige om,"
74800,79200," at der er færre indlagte sat i forhold til antallet smittet."
79200,84000," Og alligevel gengiver man... Hvad hedder det?"
84000,88500," Indlægtestalende fra Intensivafdelingen og sammenligner dem i absolute tal."
88500,89500," Det kan du jo ikke."
89500,95500," Fordi du er nødt til at sætte antallet indlagte inklusiv på Intensivafdelingen"
95500,101000," i forhold til det store antal smittet, det samme antal døde med corona."
101000,106500," Og der er der jo en markant forskel i år fra for et år siden."
106500,112500," Så der er markant færre procentuelt, der ligger, der er indlagte med corona."
112500,116500," Uagtet af, at der er en stor usikkerhed, der er døde med corona."
116500,118500," Uagtet af, at der er en stor usikkerhed i det."
118500,122500," Og dermed også indlagt på Intensivafdeling med corona."
122500,126500," Uagtet af, at der er en stor... Hvad hedder det? Usikkerhed i det."
126500,131500," Alt sammen for at sige, at tallene... Ja, rigtig mange smittes."
131500,135500," Det er forventeligt, kan man sige. Altså af mange grunde."
135500,140500," Ikke mindst også fordi immuniteten, immunforsvaret i befolkningen er i bund."
140500,145500," Men det gode budskab er, at omikron, som nu står for stort set alle,"
145500,149500," det kunne vi også se fra tallene, er umådeligt fredelig."
149500,152500," Så i bund og grund kunne man også holde et pressemøde, hvor man sagde,"
152500,157500," ""Ved I hvad, venner? Vi åbner op. It is over, det vi frygtede."
157500,161500," Let's move on with life"", som man også der siger på godt dansk."
161500,162500," Men det gjorde man ikke."
162500,168500," Til gengæld gik man ind, uden at have en evidens, der underbygger det,"
168500,170500," og Gugh Hjelme sagde, at grunden til, at det ser så fredeligt ud,"
170500,171500," det er på grund af vaccination."
171500,173500," Nej, det må jeg så helt så sige."
173500,176500," Det er der ikke i de videnskabelige data, der tyder på."
176500,183500," Tvært om kan vi jo se, at trippelvaccineret smittes med omikron."
183500,188500," Det er rigtigt, at der er i forhold til dødelighed og hospitalisering,"
188500,191500," der ser ud til at være en forskel."
191500,194500," Men det er jo hos den udsatte del af populationen."
194500,199500," Største parten har ikke nogen som helst risiko for noget som helst at tangere,"
