start,end,text
960,3000," Hej, her har du mig igen."
3000,6200," Jeg hedder Wim Kermannike, jeg er læge, og jeg har en B.O.D."
6200,13120," Og så har jeg fuldt det her corona-helvede lige fra starten."
13120,18800," Jeg har i hele forløbet haft et fokus, og det er fakta, og det har jeg stadigvæk."
18800,25400," Af samme grund kan jeg jo glæde mig over, at jeg har haft ret og har ret i hele forløbet."
25400,29400," Jeg kan så samtidig være trist og modløs over,"
29400,36000," at jeg og mine lige er blevet fuldstændig censureret fra pressen."
36000,39800," Men det kan vi jo ikke blive ved med at græde over."
39800,44000," Vi er nødt til at glæde os over, at vi har de sociale medier, så længe vi har dem."
44000,48000," Jeg kan se, at jeg lige har haft en fornøjelse,"
48000,55000," at tilpas mange på LinkedIn har klædet over et eller andet oplæsning, jeg har lagt."
55000,58400," Og det har intet med, at jeg ikke måtte skrive eller har skrevet noget forkert,"
58400,61400," men det gør jo så, at LinkedIn jo altid straffer en,"
61400,64000," og så skal man så bede om godtværd, og jeg ved ikke hvad."
64000,68000," Så der er også censur på de sociale medier, men lad det nu være."
68000,72800," Jeg vil snakke lidt om coronatalene, meget kort lidt om det,"
72800,76000," meget kort lidt om vaccination, og så vil jeg i dag tage fat på det,"
76000,79400," som rigtig mange af jer skriver til mig om, nemlig angst."
79400,84600," Angst for vacciner, angst for at blive syg, angst for ikke at blive syg,"
84600,88200," som jeg har nærmest sagt, altså hele det her corona-angst,"
88200,91600," kan vi kalde det, corona-angst, hvis vi kan kalde det sådan."
91600,96600," Så vil jeg også tale lidt omkring den splid, som rigtig mange oplever,"
96600,98600," har oplevet her i julen."
98600,103600," Det kan være inden for den nærmeste familie, det kan være i forhold til vennekredsen,"
103600,107600," og hvad den gør ved os, og hvordan vi kan gribe det an."
107600,111600," Men lad mig starte med coronatallen, og så skal jeg selvfølgelig bede om,"
111600,114600," vær sød at dele min video."
114600,117600," Vi er nødt til at holde fokus på fakta,"
117600,121600," men vi er også nødt til at få udbredt viden til befolkningen."
121600,125600," Fordi det hjælper pressen også under ingen omstændigheder med."
125600,129600," De er med til at få purt, de er med til, at de har så mange fake news,"
129600,131600," og det er fake news."
131600,134600," Hvad motiverne er, det har for længe stoppet med at give sig om,"
134600,136600," så det gider jeg egentlig ikke at interessere mig for."
136600,140600," Men pointen er, og det er det første råd, også i forhold til angst,"
140600,143600," og jeg mener det helt oprigtigt, drop med at se nyhederne."
143600,146600," Det vil være så TV2, det vil være så Danmarks Radio."
146600,150600," Jeg så lige en snas i går, Danmarks Radio, nyheder tilfældigt."
150600,153600," Jeg var ved at falde bagover, og jeg tænkte, hold kæft,"
153600,156600," altså kommer de fra en anden planet, har de overhovedet forstået noget som helst?"
156600,160600," Og det var igen den her, uh, be afraid out there."
160600,163600," Så det vil jeg sige, helt oprigtigt, drop med at se det."
163600,166600," Laver med at sidde og klikke på BT, Ekstra Bladet, Jyllands Post."
166600,168600," Hvad fanden er du i gang med, Laver?"
168600,170600," Det gør intet godt for dig."
170600,174600," Udover at du bliver modløs, forvirret, og så videre."
174600,179600," Så derfor vil jeg sige, find de steder, for eksempel sådan en krudtugle som mig,"
179600,183600," eller andre, som deler reelle fakta, og så hold fokus på det."
183600,188600," Og hold fokus på, øh, hvad hedder det, den nye år."
188600,193600," Hold fokus på at samle kræfter til, hvordan vi sammen kan modarbejde"
193600,197600," og kæmpe imod de gråe overgreb, som vi som befolkning er og bliver udsat for."
197600,203600," Fra regering, bistået af støttepartier, bistået af en elendig opposition og bistået af pressen."
203600,208600," Så hold fokus, og lad være med at give dig hen til alt for meget angstprovokerende."
208600,210600," Og det er de her medier."
210600,212600," Anyways, tilbage til tallene."
212600,216600," Og når jeg siger tallene, så er det jo fordi, at mine gode statistikere,"
216600,219600," ja, vi følger jo tallene, vi følger tallene fra Serum Instituttet."
219600,222600," Det har vi gjort helt fra starten, hvad vi måtte have af tal."
222600,224600," Vi følger fra Danmarks Statistik."
224600,229600," Og så følger jeg i særdeleshed jo selvfølgelig den videnskabelige litteratur,"
229600,234600," sådan i de store medicinske internationale tidsskrifter."
234600,239600," For det første, lad os glæde os over, at covid-19-tallene ser fredelige ud."
239600,243600," Således at forstå, yes, der er mange, der er smittet. Rigtig mange."
243600,247600," Yes, det er næsten uden undtagelse vaccineret."
247600,251600," Og så kan man sige, nej, men hurra for det, det er også vaccineret."
251600,256600," Der er største parten af befolkningen, jo jo, men hey, tøv lige et øjeblik."
256600,260600," For rigtig mange af jer, der ser med her, der er vaccineret en gang, to gange, tre gange,"
260600,264600," der ved jeg, at I troede, og blev nok også spilt ind,"
264600,267600," at når I blev vaccineret, så undgik I sygdom."
267600,272600," Det er jeg helt sikker på, at største parten har tænkt og troet og lavet sig at forstå."
272600,276600," Sandheden er jo, og det har vi jo alle sammen vidst hele tiden,"
276600,280600," og en del af os har forsøgt at sige, at når man vaccinerer på den måde,"
280600,284600," så er det jo ligesom med influenza i en forventning om,"
284600,291600," at hvis en sårbar ældre person får i det her tilfælde corona, covid-19,"
291600,295600," så bliver det ikke med hospitalisering og dødelig udgang,"
295600,298600," eller dødelig udgang eller begge dele."
298600,302600," Og det kan vi også se fra studierne, der har alligevel været et stort studie inden,"
302600,304600," nu er det naturligvis medicin lige her før jul,"
304600,308600," der også viste meget stort, at man bare går ind og ser på de samlede tal,"
308600,315600," altså i store træk, men som også viste, at vaccinen kunne have en positiv betydning"
315600,322600," i forhold til, og specielt også med bostånd, i forhold til netop at undgå hospitalisering"
322600,323600," og i værste fald død."
323600,327600," Altså der var en mindre risiko, men det er jo for den udsatte del."
327600,332600," Største parten, også jer der ser med, I har ikke en øget risiko for at dø ved covid-19,"
332600,333600," nej, heller ved influenza."
333600,338600," I får en nativur og en øvebøv, nogle sygedage, that's it."
338600,341600," Så det her handler jo om de sårbare, om de udsatte,"
341600,344600," og derfor skulle og burde man også fra starten have gjort det,"
344600,349600," som jeg og enkelt andre også har peget på, nemlig også i Sverige har peget på,"
349600,353600," nemlig beskytte de ældre, de udsatte, altså dem der er kronisk syge,"
353600,356600," dem der er alvorligt syge, dem der er sårbare."
356600,361600," Og der ser tal ud til, at der kan det beskytte, ikke i forhold til at få sygdommen,"
361600,363600," men at det er en for dødelig udgang."
363600,368600," Men igen, hvis vi sådan skal trække det store streg i vaccinationssandet,"
368600,372600," hvis vi må kalde det det, så vil jeg hellere kalde det en eksperimentel injektion,"
372600,373600," for det er jo reelt, det det er."
373600,377600," Så vil jeg have meget fokus på, at den her, jeg har kaldt det før,"
377600,379600," voldvaccinering, og det vil jeg have lov til at kalde det fortsat,"
379600,384600," den er baseret på, i min bedste overbevisning, ikke et lægefagligt grundlag."
384600,389600," Den er baseret på politik, den er baseret på en eller anden agenda,"
389600,393600," også en økonomisk agenda, for ikke mindst dem, der har vaccinerne."
393600,397600," En stor mudret sø, vil jeg kalde det."
397600,402600," Men faktum er, at vaccinerne ikke beskytter mod smitte,"
402600,405600," man smitter, også som vaccineret."
405600,410600," Men ja, for de udsatte ser det ud som om, at det kan beskytte,"
410600,413600," have en vis beskyttelse i forhold til alvorlig sygdom,"
413600,415600," altså hospitalisering og død."
415600,419600," Men for den langt største part, der er meget af jer, der ser med,"
419600,424600," der må man egentlig sige, at der har man solgt den på en løgn."
424600,427600," Eller i hvert fald, at I blev forlet til at tro, at I undgik smitte."
427600,430600," Og det kan vi jo allerede se, og det kan vi jo tydeligt se af talene,"
430600,433600," at det gør I jo under ingen omstændigheder."
433600,436600," Vi har lige haft et interessant studie fra Færøerne,"
436600,440600," hvor 33 sundhedspersoner, alle sammen trippelvaccineret,"
440600,443600," havde været til en eller anden jagod, for der var en julefest,"
443600,447600," og de havde jo altså taget godt for sig af kyssetøj, der er nær sagt,"
447600,449600," eller af drikketøj, eller begge dele."
449600,452600," De havde i hvert fald fået smittet hinanden genoldig gevaldigt."
452600,454600," Jeg tror, de hygger sig på Færøerne."
454600,458600," Således at 21 af de her trippelvaccinerede var blevet smittet."
458600,462600," Ingen landede på hospitalet, og ingen ser ud til at være døde."
462600,464600," Men det ændrer stadigvæk ikke, at de er blevet smittet."
464600,468600," Det er jo situationen også herhjemme nu, at rigtig mange vaccineret er smittet."
468600,474600," Faktisk er der noget, der tyder på, at risikoen for at blive smittet med omikron,"
474600,479600," som nu er den, vi har glæden af herhjemme, er markant større,"
479600,482600," hvis man er vaccineret, fremfor hvis man er uvaccineret."
482600,487600," Og markant større også i forhold til os, der har haft COVID-19 på naturlig vis."
487600,491600," Så det er allesammen for at sige, at nej, børn skal selvfølgelig ikke vaccineres."
491600,493600," De har ingen gevinst ved det."
493600,495600," Nej, gravide skal heller ikke vaccineres."
