start,end,text
960,6720," Hej hej, så har du mig her igen. Jeg hedder Vibeke Mannike, jeg er læge og jeg har en ph.d."
6720,12000," Og så har jeg fulgt det her corona-helvede i nu snart to år."
12000,16240," Det er jo fuldstændig kuk i hovedet, men det vender vi tilbage til."
16240,20640," Det allerførste, jeg vil sige, det er, at jeg vil ønske dig og jer alle sammen en glædelig baghjul."
20640,25280," Jeg håber, I har haft nogle skønne og kærlighedsfyldte dage og har det fortsat."
25280,29920," Og så vil jeg sige, som jeg har sagt så mange gange før, hey, ned med skuldrene."
29920,36080," Grå på. Og hvorfor det? Jo, for det første er det jo vigtigt at se på tallene."
36080,39360," Yes, det er rigtigt, der er en hel del, der smittes."
39360,43200," Det er den ene del, jeg vil sige forventeligt, af så mange grunde."
43200,49600," Blandt andet fordi, at immuniteten i befolkningen, den er meget dårlig, som følger ikke mindst nedlukningerne."
49600,56800," Men to, det gode budskab er jo, at omikron, som også er forventet, altså den variation eller variant af SARS-CoV-2,"
56800,64560," altså COVID-19-virus, den har muteret sig så tilpas mange gange, så den er meget, meget fredsomlig."
64560,70880," Det betyder også, at ja, folk bliver syge, folk bliver smittet. Det er primært faktisk de vaccinerede, det vender jeg lige tilbage til."
70880,73440," Men man kommer så hurtigt."
73440,77520," Når vi ser på indlæggelsestallene, når vi ser på dødeligheden,"
77520,83200," jamen taget i betragten af, hvor mange der er smittet, så er det nogle fantastisk flotte indlæggelsestall."
83200,92000," Taget i betragten af, hvor mange der er smittet, så er det også nogle fantastiske fine tal i forhold til, hvor få der dør med corona."
92000,100080," Det samme med indlæggelserne. Vi har lige set nogle tal fra England blandt andet, som jo viser, at rigtig mange af corona,"
100080,106240," og det ved vi også fra danske tal, nemlig rigtig mange af dem, som indgår i statistikken, som er indlagt med corona,"
106240,115440," jamen der er det i virkeligheden deres grundsygdom, altså dårlig hjerte, ryger lunger, krebssygdom osv., der gør, at de bliver indlagt."
115440,119360," Der er det faktisk et bifund, kan man sige, i forhold til corona."
119360,128480," Vi har netop fået et studie fra Færøerne, som jeg synes er meget interessant, fordi det er et studie blandt 31 sundhedspersoner."
128480,144080," De var alle sammen vaccineret tre gange, og de sås til en privat fest, og ud af de her 33 personer, der blev 21 smittet med omikron."
144080,156640," Så det vil altså så sige, at ikke alle, for der var 33, men 21 blev smittet. De var alle sammen triple vaccineret, og alligevel blev de smittet."
156640,164640," Det gode budskab er, at ingen blev hospitaliseret, eller i hvert fald ikke, så længe man fulgte data."
164640,175200," Så det blev som forventet, som vi også kan se fra Sydafrika og fra de steder, hvor omikron for så vidt er, at ja, de blev syge, men ikke syge i en særlig stor grad."
175200,180080," Det betyder også, at man kan sige, hvad er det vores take på det her?"
180080,187520," Jamen altså et vaccineret er helt åbenlyst dem, som har en størst risiko for at blive smittet."
187520,189520," Hvorfor det?"
189520,202560," Det kan der være mange grunde til. En af dem, og det er jo den immunologiske del, altså det her fenomen med, at du egentlig vaccineres mod en variant."
202560,211360," Og det gør egentlig, at, og igen vi ved det ikke, vi kan kun se på data, nu prøver jeg bare sådan at forklare, hvad der kunne være noget af det, man diskuterer."
211360,223840," Men det er, at man har en ting, man vaccinerer imod, og det er for så vidt fint nok, men immunforsvaret bliver så, vi kan kalde det populært sagt, occupied, eller hvad skal man sige, fully booked."
223840,230320," I forhold til den del, så i forhold til en anden variant, så har man faktisk en mindre modstandskraft."
230320,243280," Der kan være mange forklaringer til det, men faktum er, at dem der er vaccineret, og nu altså også tre gange vaccineret, jamen, det er sådan set groft sagt dem, eller til at sige jer, der smittes."
243280,255280," Og da jeg siger jer, så er det jo også vigtigt at holde fast i, at dem som faktisk er de bedst beskyttede af vaccineret, eller naturlig smittet, det er os, der har været naturlig smittet."
255280,273760," Det gælder børn, det gælder voksne, og det kan vi også se på data, vi kan også se det på data her fra Danmark, men vi har altså opbygget et immunforsvar, et sundt immunrespons, kan man sige, i forhold til Covid-19, og også i forskellige varianter."
273760,292240," Så hvad kan vi få ud af det? Jamen altså, vi kan få ud af det, at livet er underfundet, vi kan få det ud af det, at det er selvfølgelig lidt tankevækkende for dem, som har lavet sig vaccineret i flere omgange, at man så ikke er som nok forventet beskyttet."
292240,309840," Jeg tror rigtig, mange af jer, som har fået første, anden og tredje vaccine, har gjort det i en forventning om, at man var bedre beskyttet end uvaccineret. Det er der ikke noget, der tyder på, jeg vil sige tvært om, og det kan vi se blandt andet fra det her nye norske studie, og også fra nogle andre data, vi har."
309840,323840," Når det så er sagt, kan vi jo glædes over, at omekron ser fredelig ud, og så kunne man i bund og grund trække lidt på skulderen og sige ""move on"", altså komme videre med livet, livet kalder bogstavelighed."
323840,345840," Men der er ligesom to grupper, kan man sige, eller grupperinger. Der er dem, der forstår fakta og har snuden i faktasporet, det har jeg jo haft i de her to år og har fortsat, og så er der den del af befolkningen, som er fuldstændig hjernevasket, er blevet bedøvet i angst, vil jeg kalde det, og altså fuldstændig er stoppet med at tænke selv."
345840,356840," Og hele udfordringen lige nu, det er, hvordan pokker vi folk ud af deres, vi kan godt kalde det corona-hypnose. Jeg vil ønske, vi havde et simpelt svar."
356840,374840," I dag sad jeg uden for at vente i Fakta i Birum, og der sad jeg sådan og lavede en lille sjov tællelej, når ikke man kan lave andet, og der ikke er røde biler at tælle, så kan man jo tælle dem, der går ind i butikken, og hvor mange der havde det forfærdelige, vøjhamrende beskidte mundbind på."
374840,389840," Jeg fik det til 89. 89, mens jeg sad og ventede. Enten var der mange i Fakta, eller så sad jeg der længe. Og hvor mange tror du ikke havde mundbind på? Det skal jeg fortælle dig. Nul."
389840,405840," Det folk gjorde til gengæld, det var meget sjovt at se, de fandt et eller andet gammelt snoskemundbind på, og så kom det ellers på, og jeg kunne ikke lade mig tænke på, hvor fanden har de der små jazzhands været sidst, oppe i ampullen på en svenske, som man siger, møgbeskidte hænder."
405840,415840," Og så går de så med det der, og de har jo sådan nogle smarte hjemmesydende unge, og der tør der slet ikke at tænke på, hvornår de er blevet vasket, om de overhovedet er blevet vasket, og så går man ellers rundt og snosker."
415840,424840," Og et eller andet sted tænker jeg, hvornår fanden stoppede folk med at tænke selv? Altså det er jo for fanden da ikke i Fakta, at vi går og smitter hinanden."
424840,430840," Jeg ved ikke, hvor mange du, når du går i Fakta, siger, åh, nu skal det i dag med at have en snave. Hold da op der, der er en, jeg skal give en ordentlig trutter."
430840,438840," Nej, vel, der holder vi jo i forvejen afstand. Der hvor vi smitter, og dem vi smitter, det er vores nære familiemedlemmer."
438840,447840," Det er dem vi tager i pleje, for så vidt altså, det er derfor, det kan give mening nok, at tallene har osv., der er tæt på. Men nej, vi smitter ikke hinanden med i Fakta."
447840,457840," Til gengæld sker der også det, at når folk går rundt med det der mundbinder, det kan jeg jo se, bum, så bliver der slukket for lyset, så kigger man rundt, man kigger ikke længere hinanden i øjnene,"
