start,end,text
960,5520," Så er jeg tilbage, jeg hedder Ibeka Malika, jeg er læge, jeg har en Ph.D."
5520,10360," Og så kan man vel godt kalde os coronakapitalen."
10360,17320," Således at forstå, at jeg jo med sindsro kan sige, at jeg siden, at coronakrisen startede,"
17320,21160," har haft et fokus og kun et fokus, og det er fakta."
21160,26200," Det gør så også, at jeg har haft ret i hele forløbet og har det fortsat."
26200,32160," Lad os starte med det gode budskab, nemlig 'Kog ro på'."
32160,41600," Det var faktisk titlen på min samtalebog, som vi udgav i september 2020, altså for et år siden."
41600,49280," Og det har faktisk været mit fokus i hele forløbet, nemlig 'Kog ro på', 'Få nu ro på'."
49280,52920," Ikke at det har været et populært budskab, i hvert fald ikke i pressen,"
52920,57040," for der har jeg været i helt ekstrem grad, og er det fortsat, censureret."
57040,62480," Det er derfor, jeg også har den lidt lakoniske 'Under henvisningen til hvem er bange for Virginia Woolf',"
62480,66560," der har jeg 'Hvem er bange for William Camanicum', den vender jeg lige lidt tilbage til."
66560,72480," Fordi lad os lige starte med tallene, coronatallene."
72480,75400," For det første vil jeg sige, hvis du har nogle spørgsmål eller kommentarer,"
75400,78560," så må du egentlig gerne skrive, jeg har taget brillerne med i dag,"
78560,83000," så jeg skal prøve at besvare og så videre undervejs."
83000,86760," Men lad os starte med tallene."
86760,92200," For det første vil jeg komme med en meget klar opfordring, det er nemlig, stop med at følge med i dem."
92200,96360," Overlad det tryk til os læger, også fagfolk."
96360,101120," Altså, lige nu er noget, der undrer mig, og jeg tænkte også på det i dag,"
101120,105040," det er, pressen bliver ved med at spørge, sådan en som Bikker Andreasen,"
105040,108040," der er matematiker fra Roskilde Universitet."
108040,112280," Og han skal jeg love for, han har en del maverumlen, han gerne vil involvere sig andre i."
112280,115400," Han har taget fejl rigtig mange gange og gør det stadigvæk."
115400,117480," Det, som der undrer mig, det er sådan set,"
117480,122520," et er, at du stikker en mikrofon op i kæften på en, som så svarer uden at have forstand på det."
122520,126320," Men det undrer mig, at de bliver ved med at spørge en matematiker,"
126320,132360," siden hvornår, når noget har med sundhed at gøre, går man til en matematiker."
132360,134680," Hvis du har noget, hvis du synes, du fejler noget,"
134680,136400," eller hvis du har et eller andet lægefagligt spørgsmål,"
136400,140920," så har du så nogensinde tidligere stillet et spørgsmål til en matematiker."
140920,144000," Igen og igen og igen. Nej vel?"
144000,149480," Så det, I sig selv vidner om, at man søger derhen, hvor man får det, forstår man ret,"
149480,154560," fjollet og åndssvagt svar, man nu søger, så man kan holde gang i frygten."
154560,157000," Så man kan holde gang i det her, der skaber kliks."
157000,162480," Og derfor er mit meget klare forslag til dig, det er, at du sætter dig for,"
162480,167440," at her hen over hjulen, lad vær med at gå på BT, lad vær med at gå på Ekstra Bladet,"
167440,170320," drop med at kigge nyderne, lad vær."
170320,175200," Interessere dig for det nære, for din familie, for naturen,"
175200,180640," kom ud og svøm, kom ud og løb, kom ud og lej, men drop det."
180640,183320," Det giver ingen mening, at befolkningen sidder i."
183320,187960," Med al respekt er det meget, meget få, der overhovedet har forstanden,"
187960,190840," forstår man ret, jeg er en af dem retfærdigvis,"
190840,195320," til at læse og forstå den lægefaglige baggrund, så lad vær, drop det."
195320,199200," Fordi der sker kun én ting, og det er, at du selv bliver bange,"
199200,203360," og nogen bliver bange for angsten, og nogen bliver bange for at være bange for at være bange."
203360,208560," Lad vær, skuldrene ned, ro på, der er ikke noget at være bange for."
208560,213720," Ser vi på tallene, yes, rigtig mange smittes, jeg vil lige være og sige hurra,"
213720,216560," fordi problemet, eller pointen er, at de smittes med omikron,"
216560,222720," og vi ved nu fra data, vi ved fra data fra Sydafrika, vi ved et nyt studie fra Norge,"
222720,225320," og vi kan se det på vores egne erfaringer herhjemme,"
225320,231200," nemlig, at langt, langt største parten får meget, meget få symptomer."
231200,235520," Vi ser det nu på indlæggelsestallene i forhold til positivprocenten,"
235520,240200," vi ser det på dødstal i forhold til positivprocenten, altså med corona,"
240200,245320," og de er markant lavere, end de var for et år siden, markant lavere."
245320,254440," Så derfor, hej, ro på, hej, træk vær, dyb ned i mauset, ro på, slap af, lad angsten fra,"
254440,256000," der er ikke noget at være bange for."
256000,261600," Jo, livet, livet i almindelighed, tabet af kærlighed, der er mange ting, vi kan være bange for,"
261600,266400," men ikke corona, så lad nu få pokker vær."
266400,269440," Jeg skal lige se, om I stiller spørgsmål, eller om I siger, jeg er vild med dig,"
269440,272680," jamen tak for det, og du er bare forhærlig, også tak for det."
272680,276360," Jeg skulle lige se, om der var nogle spørgsmål, så det vil altså så sige, ro på."
276360,280720," Så kan man selvfølgelig godt spørge sig selv."
280720,285120," Det er jo næsten uden undtagelse vaccineret, der bliver syge."
285120,290320," Se, havde du spurgt dem, der låd sig vaccinere, hvorfor bliver de vaccineret?"
290320,296120," Så bilder jeg mig ind af største pakken ved at sige, det er for, at jeg ikke smittes,"
296120,297920," det er for, at jeg ikke bliver syg."
297920,301520," Så må der være nogen, der alligevel tænker, ah, det var sgu lidt øve det her,"
301520,307680," jeg har taget vaccinerne uden helt at vide, hvad er der både kort- og langtidsbivirkninger,"
307680,310720," og jeg bliver alligevel syg, what's in it for me?"
310720,312880," Man må håbe på, at man så er blevet mindre syg."
312880,314800," Når jeg siger, at man må håbe på, at man er blevet mindre syg,"
314800,316800," så kan jeg jo kun tale for mit eget vedkommende."
316800,320520," Jeg har haft covid-19, og det var en halv nat med høj feber,"
320520,323920," så jeg er nok svært ved at se, at jeg kunne beskyttes meget mere."
323920,326320," Så er der rigtig mange af jer, der skriver til mig,"
326320,329120," jamen hvad gør man med mit immunforsvar, og hvordan kan jeg booste det?"
329120,331840," Jamen altså, jeg har sagt det mange gange, før jeg siger det igen,"
331840,335560," sørg for at få din søvn, og jeg mener det helt oprigtigt."
335560,337960," Sørg for at gå til strækkeligt tidlig seng,"
337960,342320," sørg for at få, hvad skal man sige, opelsket din søvnkunst,"
342320,344600," og det er en søvnkunst at sove godt."
344600,347880," Jeg er verdensmester i søvn,"
347880,351880," det er også derfor, jeg har udgivet rigtig mange bøger, lydbøger osv. om det,"
351880,357840," men jeg er også ekstremt fokuseret på, hvor meget søvnen betyder netop for vores immunforsvar,"
357840,359600," netop for vores sundhed."
359600,363160," Det er fint nok at tage D-vitamin-tilskud, og hvad I ellers kan finde på."
363160,366680," Det er fint nok, men jeg vil sige, du er nødt til at holde fokus på det med søvnen,"
366680,369520," som det allerførste og vigtigste, du prioriterer."
369520,374600," Både for at forbygge sygdom, men så sandeligt også i så fald, du skulle blive syg."
374600,376560," Det gælder også med corona."
376560,380560," Hvad tænker du, årsagen fortsat pågår, og hvornår tror du, det slutter?"
380560,384800," Jamen altså, det er da i hvert fald meget tydeligt,"
384800,388040," at vi har en ekstremt enerådet statsminister,"
388040,392800," som i den grad holder kramagtigt fast i sin magt."
392800,396600," Det minder om kommunistiske forhold, det minder om diktatur."
396600,399760," Jeg vender lidt tilbage til med en lille sød fortælling om lidt,"
399760,402640," men jeg må sige, jeg har svært ved at se andet."
402640,406480," Og så er det jo klart, at hvis jeg var Pfizer eller Pfizer, som vi kalder dem derhjemme,"
406480,409280," hvis jeg var nogen af vaccineproducenterne,"
409280,413960," så har jeg, det kan jeg jo så angen sige, at de også har en interesse i at holde fast i angsten,"
413960,416720," og vaccineangsten, eller vaccineønsket,"
416720,419560," på trods af, at vi andre synes, det er et nogetalendigt produkt,"
419560,423400," når det kun virker, som vi nu ved fra forskningen, i ganske få måneder,"
423400,425760," så synes man jo, at det er ikke lidt øv."
425760,432120," Når vi samtidig ikke kender nok til hverken tilstrækkeligt omkring korttidsbivirkninger,"
432120,434840," og da slet ikke i forhold til langtidsbivirkningerne."
434840,437440," Jeg tror, der er mange forklaringer, jeg tror ikke kun, der er én forklaring,"
437440,439120," jeg tror, der er rigtig mange forklaringer."
439120,441960," Og jeg tror også, pressen har en ekstremt stor interesse."
441960,447120," Det er jo klart, at det i mine øjne er sygeligt, at jeg bliver så censureret, som jeg gør."
447120,450560," Nu skal vi jo huske på en baggrund, hvor jeg før corona,"
450560,454600," meget ofte blev spurgt til råd om dette, eller hent fra pressen."
454600,460560," Simpelthen på dagen på klokkeslættet, da statsministeren lukkede landet helt ned,"
460560,463360," så blev jeg helt åbenløs persona non grata."
463360,467040," Og det er derfor, jeg siger, hvem er bange for vibekemanike i det her pressen."
467040,468000," Og hvorfor?"
468000,474400," Jamen, det er jo fordi, at jeg jo helt åbenløs med mit fokus på fakta ville punktere narrativet."
474400,477200," Jeg ville punktere den der frygtballon."
477200,479840," Men tag ikke fejl af, pressen lever jo også af frygt."
479840,483400," Pressen lever jo af, at du kan, gud nej, to mere, der er smidtet."
483400,484800," Oh my god, det højeste tal."
484800,487120," Ja, du har sgu også testet mange."
487120,489000," Åh nej, kan jeg nu sove i nat?"
489000,490000," De lever jo af det."
490000,493760," De lever jo af, at du går ind, og alle går ind og klikker, lad være."
493760,495120," Og jeg mener det helt oprigtigt."
495120,497440," Sæt dig for de næste uger."
497440,500000," Fuldstændig at lave en time out'er."
500000,502000," Lad være med at se nyhederne."
502000,504360," Lad være med at gå på BT og Ekstrabladet."
504360,506000," Koncentrér dig om det nære."
506000,508040," Koncentrér dig om skønheden i livet."
508040,512880," Koncentrér dig om kunst, om naturen, om dem du elsker højst."
512880,513800," Lad være."
513800,515000," Jeg mener det helt oprigtigt."
515000,520120," Fordi de er med til at få folkesjælen herhjemme til at forvidre."
520120,523800," Og så må jeg jo så sige, så har vi altså kun de politikere, vi fortjener."
523800,526560," Og min bedste vurdering er, at rigtig mange af dem,"
526560,529160," og jeg mener det helt oprigtigt, og du må have mig for det,"
529160,532040," men rigtig mange af dem, de er ikke særlig kloge."
532040,534320," Og så kan du sige, Arvib, kød det af Afghalt."
534320,536560," Nej, de er ikke særlig kloge."
536560,541880," Fordi i det at være klog, ligger der også en ydmyghed over for det, man ikke ved."
541880,543960," Og den ydmyghed, det mangler det."
543960,547320," Det kan vi jo tydeligt se, når de forskellige ordfører,"
547320,552080," enhedslistens SF, den soldatspolitiske ordfører, for slet ikke at tale om det fjolds,"
552080,557240," statsministeren, de mangler den der ydmyghed over for den viden, de ikke har,"
557240,559120," som de åbenlyst ikke har."
559120,562400," Dem af os, der er kloge, og jeg mener, at jeg selv er blandt dem,"
562400,566800," vi kender vores begrænsninger, og når vi er i tvivl, så søger vi viden."
566800,568040," Det gør man ikke her."
568040,571880," Der siger man jo fuldstændig, jorden er flad."
571880,574880," Og det er skræmmende, og det er viden om, hvor dum man er."
574880,578240," Tilbage til, hvem er bange for VIP-kødmandiker, så må vi sige, det er pressen."
578240,581560," Og derfor vil jeg sige igen, som jeg også foreslog i går,"
581560,585160," send til pressen alt det, du kan, send dem en mail."
585160,587000," Hvorfor er I bange for VIP-kødmandiker?"
587000,589440," Hvorfor får hun ikke lov til at komme til Aurora?"
589440,593280," Og den synes jeg, du skal sende til, hvad hedder det? TV2."
593280,596000," Det hedder nyhederne@tv2.dk."
596000,600720," Jeg synes, du skal sende den til Danmarks Radio 1-2-3-4@dr.dk."
600720,604320," Jeg synes, du skal sende den til Ekstrabladet, eb@eb.dk."
604320,607760," Jeg synes, du skal sende den til BT, bt@bt.dk."
607760,611840," Jeg synes, du skal sende den til Politiken, inlands@pol.dk."
611840,615280," Jeg synes, kort sagt, du skal sende dem til alle dem, du kan komme i tanke om."
615280,619520," Fordi des flere, der lægger pres, des mere må det jo på et eller andet tidspunkt"
619520,623000," dog være en enkelt redaktør, og det er redaktørerne, der styrer det,"
623000,625720," og chefredaktørerne, der tænker,"
625720,628960," okay, skulle vi bare give hende en lille snas taltid?"
628960,631560," Men det kræver, at der kommer et folkeligt pres."
631560,635960," Og det er klart, at det øjeblik, at det sådan også bliver mere der,"
635960,639200," så begynder vi at kunne åbne op, så begynder vi at kunne give plads"
639200,642840," til den historie, som jeg giver plads til, nemlig den faktuelle."
642840,646320," Og den faktuelle er at få nogen ro på."
646320,651320," Det ser rigtig godt ud. Yes, mange bliver smittet, men meget, meget let syge."
651320,653960," Og så er der jo egentlig kun at sige hurra til det,"
653960,658200," fordi det øger jo, styrker jo immuniteten i befolkningen."
658200,662680," Når det så er sagt, tror jeg også, at vi betaler en høj pris nu for nedlukningerne"
662680,667240," i forhold til, at befolkningen generelt har en elendig immunitet."
667240,670840," Fordi man har siddet for meget indendør, fordi man har isoleret sig,"
670840,673360," fordi man er blevet ensom, fordi man har drukket for meget,"
673360,677920," æt for meget, røget for meget osv., så folkesundheden er i bund."
677920,682160," Det ser vi også på vores overdødelighed, som er ganske markant"
682160,685440," i forhold til de foregående fem år."
685440,690680," Og det er ikke, hvad hedder det, dødelighed som følge af corona eller med corona,"
690680,692720," det er konsekvenserne af nedlukningen."
692720,697280," Så jeg mener lige nu betaler vi på mange måder en ekstremt høj pris"
697280,700520," for de vanvittige nedlukninger, vi har haft."
700520,706040," Jeg så mig lige nu at være afgør om Inger Støjbjerg skal,"
706040,710280," hvad hedder det, forvises fra Folketinget, og det ender vel sådan."
710280,715400," Jeg må sige, sådan er det, retten har talt."
715400,719640," Jeg vil sige, mændene har talt, fordi det var jo markant overrepræsentation af mænd."
719640,722200," Og ja, det var en sag, jeg vil ikke kalde det barnebrug,"
722200,724680," det var en sag om pædofili, ganske enkelt."
724680,728440," Men lad det nu være, men når Inger Støjbjerg skulle have en rigsretssag,"
728440,731960," så skal Mette Frederiksen have mindst to rigsretssager,"
731960,735560," og det skal være med fængsel, selvfølgelig."
735560,738600," Jeg synes, det hun har udsat dig og mig for, vores børn,"
738600,743520," er helt, helt, helt horribelt, vanvittigt faktisk."
743520,747360," Og det fortjener to rigsretssager, et for at nedlukke landet,"
747360,750640," uden at myndigheden stod bag, der løj hun jo gentagende gange,"
750640,753320," to, minksan, minkkatastrofen."
753320,755080," Men lad det nu være."
755080,758200," Jeg skal lige se, om nogen af jer spørger, om hun giver og Mette ryger samme vej."
758200,759280," Hun skal den vej."
759280,760960," Det er jo så sjovt, at en af jer spørger til Sverige."
760960,764200," Jamen, Sveriges dødelighed er jo markant lavere end herhjemme,"
764200,766120," og nu taler jeg om den generelle dødelighed."
766120,768920," Og tallene i Sverige er også mere fredelige."
768920,771840," Vi er vel nærmest nogle af dem, der er ved at slå rekord i forhold til,"
771840,775640," hvor meget smitte vi har, på trods af, at der er så høj en vaccination."
775640,777800," Og derfor er vi jo tilbage til,"
777800,779080," et er, at vaccinerne ikke virker."
779080,781840," Det må vi jo erkende, i hvert fald i meget kort tid."
781840,783800," Og for rigtig mange af dem, der er blevet vaccineret,"
783800,785640," der er det jo langt forbi det."
785640,787840," Men det andet er selvfølgelig også nedlukningen."
787840,790040," Og igen, det her, vi taler om immunitetsgæld."
790040,792080," Altså, des mere vi er blevet isoleret,"
792080,797000," og des mindre vi har fået stimuleret vores immunforsvar,"
797000,800000," des dårligere er det."
800000,801720," Jeg vil sige koro på."
801720,804640," Jeg vil sige, hey, nyd nu julen."
804640,805800," Nyd de kære."
805800,807280," Nyd dem omkring dig."
807280,809920," Og glem jeres konflikter."
809920,811720," Altså, dem, der er vaccineret,"
811720,813640," og stadigvæk ikke har forstået, at vaccineret smitter,"
