start,end,text
880,2880," Her har du mig så igen."
2880,6300," Jeg sætter min, jeg var lige ved at sige badehat, som jeg vil."
6300,8700," Det er som en cykelhjelm, som jeg vil."
8700,16640," Jeg er i Aarhus, snart hernede i vores skønne butik på Klostergade 3 i Latina Kvarteret."
16640,20820," Men jeg vil lige give en lille update på corona."
20820,28260," Jeg hedder Vibe Kemalike, jeg er læge, og så har jeg jo fuldt det her corona-helvede i."
28260,33680," Jeg var lige ved at sige tusind år. Ikke tusind år, men i alt for lang tid."
33680,38560," Jeg har haft, og jeg har alene, fokus på fakta."
38560,44640," Og det gør jo, at jeg, jeg var lige ved at sige heldigvis i et viden samfund, har haft ret hele tiden og har det fortsat."
44640,47940," Lad os se på de tal, vi har nu. Ja, der er mange, der er smittet."
47940,52160," Og, ja, hvad er der at sige til det?"
52160,57760," Og har vi nogensinde lagt et land ned i influenzaepidemier?"
57760,59060," Nej, aldrig."
59060,65320," Er der noget ved corona og covid-19, som lige nu tyder på, at det er anderledes end influenza?"
65320,66200," Nej."
66200,68200," Sådan i bred betydning."
68200,78500," Når vi kigger på tallene, de sidste tal, vi følger jo tallene og statistikken, ja, så er der faktisk en højere positiv procent, end der var for et år siden."
78500,82460," Til gengæld ser det mere fredeligt ud, når vi kigger på indlæggelsestallene."
82460,89460," Kort sagt, noget tyder på, at forventeligt, at virus er blevet mere fredeligt."
89460,96460," Ja, så er der den famøse omikron, den bliver egentlig, som jeg siger, det er primært brugt til at holde frygten ved lige."
96460,103460," Det vil sige at skræmme dig, som ikke er vågen endnu og ikke har forstået, hvad fakta er, til at skræmme dine nærmeste, som er blevet fuldstændig."
103460,108460," Og du kan se det i blikket på dem, det er fuldstændig hjertevaske, det er fuldstændig sådan et tomt, tomt, bange blik."
108460,115460," Altså, det er ligesom om, at man sådan nogle gange tænker, hey, wake up kammerat, hey, hey, kig på fakta, kig på data."
115460,119460," Lad nu for helvede være med at blive manipuleret og propaganderede, som du gør."
119460,122460," Men anyways, det er altså det gode budskab."
122460,132460," Det vi også kan se på den sidste uges tal, og også på forskningen, det er, at vaccinationerne virker i uhyggelig kort tid."
132460,136460," Og vi taler om to-tre måneder."
136460,143460," Og det betyder, at for det første, kan de jo aldrig blive fortalt at tvangsvaccinere, for vi kan jo ikke have sådan en vaccinkarusel, hvor du vaccinerer hver anden måned."
143460,147460," Altså, det er kun Pfizer og andre lignende, der vil være interesserede i det."
147460,153460," Men dem, der er forstandige med eller uden psykihjælp, de vil jo vide, at det holder bare ikke."
153460,157460," Så igen, det bør skal være et privat valg."
157460,164460," Og vi skal lige have, når der lige kommer nogen forbi, så ikke de ufrivilligt kommer med i den her livevideo."
